TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter ASL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221221 113440 5 9 ,53.32805252,5.934216976,9.54,338.24,428,229°,,  5.86 m/s
UTC 221221 113455 5 9 ,53.32814789,5.933698654,9.27,253.1,408,220°,,  5.23 m/s
UTC 221221 113500 5 9 ,53.32808685,5.93333149,9.04,255.01,408,220°,,  4.85 m/s
UTC 221221 113520 5 9 ,53.32813263,5.933464527,9.08,73.64,450,217°,,  5.24 m/s
UTC 221221 113525 5 9 ,53.32819748,5.9338274,9.34,73.42,445,224°,,  6.25 m/s
UTC 221221 113540 5 9 ,53.32818604,5.933598995,9.2,252.98,418,218°,,  4.98 m/s
UTC 221221 113545 5 9 ,53.328125,5.933237076,8.97,253.63,414,218°,,  4.64 m/s
UTC 221221 113600 5 9 ,53.32808304,5.93285656,8.72,73.54,444,200°,,  2.62 m/s
UTC 221221 113605 5 9 ,53.32814789,5.933220863,9,73.54,444,224°,,  5.13 m/s
UTC 221221 113610 5 9 ,53.32820892,5.933582783,9.24,73.45,446,218°,,  5.67 m/s
UTC 221221 113625 5 9 ,53.32827759,5.933800221,9.43,253.34,420,224°,,  6.38 m/s
UTC 221221 113630 5 9 ,53.32821274,5.933427811,9.19,253.27,411,221°,,  4.44 m/s
UTC 221221 113635 5 9 ,53.32814789,5.933066368,8.93,252.77,405,216°,,  4.80 m/s
UTC 221221 113650 5 9 ,53.32815933,5.932958126,8.87,73.19,441,219°,,  5.79 m/s
UTC 221221 113655 5 9 ,53.32822037,5.933325768,9.18,73.7,446,220°,,  5.48 m/s
UTC 221221 113700 5 9 ,53.32828522,5.933691025,9.45,73.99,455,217°,,  4.53 m/s
UTC 221221 113715 5 9 ,53.32830429,5.933629513,9.49,253.29,423,216°,,  4.74 m/s
UTC 221221 113720 5 9 ,53.32823944,5.933263779,9.18,253.06,411,217°,,  5.21 m/s
UTC 221221 113725 5 9 ,53.32817841,5.932902336,8.89,253.18,401,214°,,  4.33 m/s
UTC 221221 113740 5 9 ,53.32823181,5.933064461,9.01,73.57,446,217°,,  5.56 m/s
UTC 221221 113745 5 9 ,53.32829666,5.93342638,9.39,73.48,455,214°,,  4.66 m/s
UTC 221221 113800 5 9 ,53.32839584,5.933840752,9.9,253.55,432,217°,,  5.04 m/s
UTC 221221 113809 5 9 ,53.3282814,5.933189869,9.22,253.8,415,216°,,  5.26 m/s
UTC 221221 113825 5 9 ,53.32823944,5.932785988,8.77,73.54,447,199°,,  3.26 m/s
UTC 221221 113830 5 9 ,53.32830429,5.933148861,9.22,73.45,459,213°,,  4.59 m/s
UTC 221221 113835 5 9 ,53.32836533,5.933512211,9.64,73.55,463,215°,,  4.77 m/s
UTC 221221 113850 5 9 ,53.32843018,5.933716297,10,253.43,432,213°,,  5.09 m/s
UTC 221221 113855 5 9 ,53.32836533,5.933348179,9.56,253.24,423,217°,,  4.69 m/s
UTC 221221 113900 5 9 ,53.32830429,5.932988167,9.1,253.11,414,219°,,  5.13 m/s
UTC 221221 113915 5 9 ,53.32830811,5.932856083,8.91,73.3,462,218°,,  5.49 m/s
UTC 221221 113920 5 9 ,53.32837296,5.933222294,9.4,73.7,473,220°,,  4.99 m/s
UTC 221221 113925 5 9 ,53.32843399,5.933582783,9.91,73.25,466,216°,,  4.19 m/s
UTC 221221 113939 5 9 ,53.32847595,5.933661461,10.13,252.84,426,211°,,  5.34 m/s
UTC 221221 113945 5 9 ,53.32839966,5.933225155,9.51,252.71,418,217°,,  5.10 m/s
UTC 221221 113950 5 9 ,53.32833862,5.932865143,8.96,253.19,414,215°,,  5.47 m/s
UTC 221221 114005 5 9 ,53.32837296,5.932909489,9.05,73.45,462,212°,,  5.04 m/s
UTC 221221 114010 5 9 ,53.32843781,5.933274746,9.6,73.68,473,214°,,  5.62 m/s
UTC 221221 114030 5 9 ,53.32850266,5.93347311,10,252.63,434,213°,,  4.26 m/s
UTC 221221 114035 5 9 ,53.32843781,5.93310976,9.42,253.42,422,219°,,  4.95 m/s
UTC 221221 114050 5 9 ,53.32838058,5.93262291,8.6,73.21,443,204°,,  3.08 m/s
UTC 221221 114055 5 9 ,53.32844162,5.932979107,9.22,73.81,459,217°,,  5.46 m/s
UTC 221221 114100 5 9 ,53.32850266,5.933338642,9.83,73.95,462,226°,,  6.23 m/s
UTC 221221 114115 5 9 ,53.32860184,5.933719158,10.49,253.53,451,221°,,  7.37 m/s
UTC 221221 114120 5 9 ,53.32853699,5.933356762,9.9,252.82,439,220°,,  4.97 m/s
UTC 221221 114124 5 9 ,53.32847214,5.932995319,9.3,253.58,423,219°,,  4.93 m/s
UTC 221221 114140 5 9 ,53.32844162,5.932663918,8.68,73.46,454,211°,,  3.94 m/s
UTC 221221 114145 5 9 ,53.32850647,5.933027744,9.32,73.6,462,220°,,  5.03 m/s
UTC 221221 114150 5 9 ,53.32857132,5.93338871,9.97,73.59,473,222°,,  5.50 m/s
UTC 221221 114200 5 9 ,53.32867813,5.933867455,10.76,282.4,473,217°,,  5.72 m/s
UTC 221221 114210 5 9 ,53.32857513,5.933261395,9.77,253.27,432,216°,,  4.34 m/s
UTC 221221 114216 5 9 ,53.32850266,5.932831287,9.01,253.15,422,214°,,  4.56 m/s
UTC 221221 114230 5 9 ,53.32850266,5.932685852,8.74,73.82,462,217°,,  5.39 m/s
UTC 221221 114235 5 9 ,53.32857895,5.933122158,9.49,73.97,483,223°,,  5.64 m/s
UTC 221221 114240 5 9 ,53.3286438,5.933485031,10.14,73.92,486,227°,,  5.32 m/s
UTC 221221 114250 5 9 ,53.32873154,5.933824062,10.72,256.07,463,215°,,  4.39 m/s
UTC 221221 114300 5 9 ,53.3286171,5.933187485,9.66,253.04,426,217°,,  4.25 m/s
UTC 221221 114305 5 9 ,53.32855606,5.932826996,9.01,253.78,426,218°,,  5.68 m/s
UTC 221221 114319 5 9 ,53.32854843,5.932631016,8.63,73.42,463,215°,,  5.14 m/s
UTC 221221 114325 5 9 ,53.32862473,5.933066845,9.41,73.89,473,216°,,  5.55 m/s
UTC 221221 114329 5 9 ,53.32868576,5.933428764,10.06,73.63,480,225°,,  5.84 m/s
UTC 221221 114345 5 9 ,53.32872772,5.933478832,10.16,253.17,439,215°,,  5.80 m/s
UTC 221221 114350 5 9 ,53.32866287,5.933110714,9.52,253.03,432,218°,,  5.30 m/s
UTC 221221 114410 5 9 ,53.32862473,5.932733059,8.81,73.41,463,217°,,  5.35 m/s
UTC 221221 114415 5 9 ,53.32868576,5.933094978,9.47,73.52,466,210°,,  4.88 m/s
UTC 221221 114435 5 9 ,53.32876968,5.933398247,10.04,253.41,439,217°,,  5.93 m/s
UTC 221221 114438 5 9 ,53.32871628,5.933104515,9.51,253.73,434,215°,,  5.84 m/s
UTC 221221 114455 5 9 ,53.32863235,5.932467461,8.34,73.09,459,192°,,  4.90 m/s
UTC 221221 114500 5 9 ,53.32870865,5.932898045,9.1,73.74,473,214°,,  5.25 m/s
UTC 221221 114505 5 9 ,53.3287468,5.933114052,9.5,73.59,480,214°,,  5.78 m/s
UTC 221221 114520 5 9 ,53.32886887,5.933663845,10.43,253.5,463,223°,,  7.47 m/s
UTC 221221 114525 5 9 ,53.32881165,5.9333148,9.88,253.11,447,217°,,  5.38 m/
UTC 221221 114530 5 9 ,53.3287468,5.932950974,9.26,252.93,443,215°,,  5.42 m/s
UTC 221221 114545 5 9 ,53.32868195,5.932417393,8.39,73.33,473,207°,,  3.82 m/s
UTC 221221 114550 5 9 ,53.32874298,5.932768822,8.97,73.39,476,220°,,  5.08 m/s
UTC 221221 114556 5 9 ,53.32881927,5.933206081,9.71,73.72,483,216°,,  5.40 m/s
UTC 221221 114610 5 9 ,53.32891846,5.933606148,10.29,253.39,466,220°,,  6.56 m/s
UTC 221221 114616 5 9 ,53.32884216,5.933180809,9.67,253.34,439,224°,,  4.58 m/s
UTC 221221 114620 5 9 ,53.32879257,5.932891369,9.22,253.15,447,221°,,  4.58 m/s
UTC 221221 114635 5 9 ,53.32873535,5.932411671,8.56,73.14,466,211°,,  3.72 m/s
UTC 221221 114640 5 9 ,53.3288002,5.932768345,9.06,73.17,480,220°,,  4.50 m/s
UTC 221221 114645 5 9 ,53.32886124,5.933134079,9.56,73.27,483,220°,,  5.13 m/s
UTC 221221 114700 5 9 ,53.32896423,5.93355608,10.1,253.81,454,227°,,  5.42 m/
UTC 221221 114706 5 9 ,53.32889175,5.933129311,9.62,253.42,439,218°,,  5.32 m/s
UTC 221221 114710 5 9 ,53.32883835,5.932840824,9.25,253.16,439,227°,,  4.50 m/s
UTC 221221 114725 5 9 ,53.32878876,5.932395935,8.66,73.54,486,205°,,  3.72 m/s
UTC 221221 114730 5 9 ,53.32885361,5.932756424,9.13,73.33,491,216°,,  4.73 m/s
UTC 221221 114735 5 9 ,53.32891464,5.933115959,9.56,73.42,486,216°,,  4.77 m/s
UTC 221221 114750 5 9 ,53.32901382,5.933520794,10.02,253.56,462,219°,,  5.45 m/s
UTC 221221 114755 5 9 ,53.32895279,5.933172226,9.65,252.49,451,218°,,  4.76 m/s
UTC 221221 114800 5 9 ,53.32888794,5.932804585,9.27,252.85,447,219°,,  3.96 m/s
UTC 221221 114905 5 9 ,53.3287735,5.932332516,8.81,162.34,483,219°,,  5.94 m/s
UTC 221221 114910 5 9 ,53.3285675,5.932429314,8.78,163.3,466,226°,,  5.26 m/s
UTC 221221 114915 5 9 ,53.32835007,5.932532787,8.69,163.49,459,225°,,  5.23 m/s
UTC 221221 114930 5 9 ,53.32806778,5.93271637,8.61,343.01,491,244°,,  5.49 m/s
UTC 221221 114936 5 9 ,53.32832336,5.932592392,8.74,342.84,495,234°,,  5.70 m/s
UTC 221221 114940 5 9 ,53.32849884,5.932508946,8.79,342.85,495,225°,,  4.56 m/s
UTC 221221 114955 5 9 ,53.32876968,5.932432175,9.02,164.52,486,225°,,  4.62 m/s
UTC 221221 115007 5 9 ,53.32876205,5.932437897,8.97,163.73,497,228°,,  5.71 m/s
UTC 221221 115020 5 9 ,53.32876205,5.932437897,9.01,163.33,497,230°,,  5.29 m/s
UTC 221221 115025 5 9 ,53.32876205,5.932436466,9.03,163.75,491,234°,,  4.51 m/s
UTC 221221 115030 5 9 ,53.32876205,5.932437897,8.98,163.44,508,227°,,  5.09 m/s
UTC 221221 115045 5 9 ,53.32873154,5.932443619,8.98,163.09,495,229°,,  5.37 m/s
UTC 221221 115050 5 9 ,53.32854462,5.932532311,8.94,163.35,476,227°,,  5.54 m/s
UTC 221221 115054 5 9 ,53.32836914,5.932615757,8.88,163.61,462,223°,,  5.24 m/s
UTC 221221 115110 5 9 ,53.32811737,5.932787418,8.75,342.92,483,228°,,  4.93 m/s
UTC 221221 115115 5 9 ,53.32833481,5.932682037,8.87,343.04,483,231°,,  5.03 m/s
UTC 221221 115118 5 9 ,53.32863998,5.932534695,8.98,342.66,502,222°,,  5.86 m/s
UTC 221221 115135 5 9 ,53.32880783,5.932506084,9.19,163.06,486,228°,,  5.65 m/s
UTC 221221 115140 5 9 ,53.32880402,5.932506561,9.22,163.41,483,226°,,  5.67 m/s
UTC 221221 115200 5 9 ,53.32831192,5.932738304,8.91,163.39,462,231°,,  5.01 m/s
UTC 221221 115204 5 9 ,53.32801819,5.932929993,8.72,26.4,473,233°,,  4.82 m/s
UTC 221221 115220 5 9 ,53.32836914,5.932758331,8.99,342.84,497,210°,,  6.53 m/s
UTC 221221 115225 5 9 ,53.32859039,5.932653427,9.11,342.77,486,228°,,  6.18 m/s
UTC 221221 115230 5 9 ,53.32880402,5.932548523,9.24,343.06,480,230°,,  4.94 m/s
UTC 221221 115245 5 9 ,53.32880402,5.932602882,9.31,162.93,491,251°,,  4.78 m/s
UTC 221221 115250 5 9 ,53.32872772,5.932634354,9.26,162.8,486,230°,,  4.96 m/s
UTC 221221 115255 5 9 ,53.32860184,5.932693958,9.27,163.7,480,231°,,  4.56 m/s
UTC 221221 115311 5 9 ,53.32828903,5.932845116,8.99,165.02,491,222°,,  4.84 m/s
UTC 221221 115315 5 9 ,53.32830048,5.932840824,8.95,162.87,486,230°,,  5.51 m/s
UTC 221221 115320 5 9 ,53.32827759,5.932852268,9.01,165.26,491,234°,,  5.46 m/s
UTC 221221 115335 5 9 ,53.32802963,5.933017254,8.74,24.61,486,254°,,  4.35 m/s
UTC 221221 115340 5 9 ,53.32817078,5.932948113,8.93,342.85,483,233°,,  5.31 m/s
UTC 221221 115345 5 9 ,53.32838821,5.932844162,9.12,342.89,483,238°,,  5.49 m/s
UTC 221221 115400 5 9 ,53.32888412,5.93265152,9.56,156.31,495,232°,,  5.34 m/s
