TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter ASL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221221 121911 5 9 ,53.32876587,5.935083389,20.2,76.13,462,240°,,  6.73 m/s
UTC 221221 121915 5 9 ,53.32881546,5.93529129,20.43,17.01,465,229°,,  6.71 m/s
UTC 221221 121920 5 9 ,53.32886505,5.935105801,20.58,256.16,436,224°,,  7.54 m/s
UTC 221221 121925 5 9 ,53.32880783,5.934745789,20.24,256,418,226°,,  7.28 m/s
UTC 221221 121940 5 9 ,53.3286438,5.933648586,19.31,255.46,415,236°,,  6.50 m/s
UTC 221221 121945 5 9 ,53.32859039,5.933283329,18.93,255.97,415,240°,,  6.20 m/s
UTC 221221 121950 5 9 ,53.32853699,5.932915211,18.63,255.74,422,238°,,  6.26 m/s
UTC 221221 121955 5 9 ,53.32853317,5.932306767,18.01,44.21,463,232°,,  5.83 m/s
UTC 221221 122005 5 9 ,53.32855988,5.932463169,18.17,75.43,463,232°,,  6.85 m/s
UTC 221221 122025 5 9 ,53.32877731,5.933928013,19.56,75.7,482,227°,,  7.20 m/s
UTC 221221 122029 5 9 ,53.32882309,5.934221745,19.84,75.86,496,229°,,  7.57 m/s
UTC 221221 122035 5 9 ,53.32888794,5.934655666,20.27,75.73,482,234°,,  6.83 m/s
UTC 221221 122040 5 9 ,53.32894135,5.935024262,20.6,75.86,492,230°,,  5.47 m/s
UTC 221221 122045 5 9 ,53.32902527,5.935202122,20.72,342.81,480,215°,,  5.49 m/s
UTC 221221 122050 5 9 ,53.32902527,5.934956551,20.5,255.96,463,217°,,  5.76 m/s
UTC 221221 122105 5 9 ,53.32886124,5.93386507,19.53,255.54,424,243°,,  8.27 m/s
UTC 221221 122110 5 9 ,53.32880783,5.933496952,19.18,255.73,424,237°,,  6.36 m/s
UTC 221221 122115 5 9 ,53.32875061,5.933132172,18.85,255.55,424,240°,,  5.74 m/s
UTC 221221 122120 5 9 ,53.3286972,5.932768345,18.53,255.73,424,240°,,  5.88 m/s
UTC 221221 122125 5 9 ,53.3286438,5.932402611,18.16,255.64,428,239°,,  5.55 m/s
UTC 221221 122130 5 9 ,53.32868195,5.932204247,18.17,354.13,450,238°,,  5.38 m/s
UTC 221221 122135 5 9 ,53.32874298,5.932445049,18.43,75.67,475,231°,,  5.75 m/s
UTC 221221 122150 5 9 ,53.32890701,5.933546066,19.35,75.92,486,223°,,  4.91 m/s
UTC 221221 122155 5 9 ,53.32896042,5.933911324,19.63,75.81,492,232°,,  6.67 m/s
UTC 221221 122200 5 9 ,53.32901382,5.934275627,19.94,76.05,482,233°,,  5.60 m/s
UTC 221221 122205 5 9 ,53.32906723,5.934640884,20.24,75.94,486,223°,,  4.85 m/s
UTC 221221 122210 5 9 ,53.32912445,5.935004711,20.53,75.97,486,236°,,  5.12 m/s
UTC 221221 122215 5 9 ,53.329216,5.935094357,20.31,314.53,480,225°,,  5.51 m/s
UTC 221221 122220 5 9 ,53.3291893,5.93480444,20.14,255.06,454,227°,,  5.23 m/s
UTC 221221 122235 5 9 ,53.32902527,5.933702469,19.47,256.07,435,246°,,  5.72 m/s
UTC 221221 122240 5 9 ,53.32896805,5.933337688,19.24,255.87,439,233°,,  4.57 m/s
UTC 221221 122245 5 9 ,53.32891083,5.932974815,19.06,254.64,439,243°,,  5.38 m/s
UTC 221221 122250 5 9 ,53.32885742,5.93260622,18.81,255.62,445,236°,,  6.36 m/s
UTC 221221 122255 5 9 ,53.32880402,5.93224287,18.53,254.99,439,237°,,  6.24 m/s
UTC 221221 122300 5 9 ,53.32888412,5.93214798,18.63,47.23,460,237°,,  6.55 m/s
UTC 221221 122305 5 9 ,53.32893753,5.932518005,18.76,76.02,496,242°,,  6.40 m/s
UTC 221221 122320 5 9 ,53.32909012,5.933545113,19.2,75.93,496,221°,,  5.36 m/s
UTC 221221 122325 5 9 ,53.32914734,5.933909416,19.32,75.89,496,217°,,  5.82 m/s
UTC 221221 122330 5 9 ,53.32920074,5.934272289,19.47,75.76,496,222°,,  5.95 m/s
UTC 221221 122335 5 9 ,53.32925415,5.934636593,19.64,75.86,502,236°,,  5.97 m/s
UTC 221221 122340 5 9 ,53.32930756,5.934994221,19.76,76.81,506,237°,,  5.15 m/s
UTC 221221 122345 5 9 ,53.32939529,5.934960842,19.12,266.74,492,221°,,  5.13 m/s
UTC 221221 122350 5 9 ,53.3293457,5.9346385,19.16,255.51,463,214°,,  5.01 m/s
UTC 221221 122405 5 9 ,53.32918549,5.933544636,18.91,256.15,434,236°,,  5.02 m/s
UTC 221221 122410 5 9 ,53.32912827,5.933177471,18.9,255.78,424,238°,,  4.35 m/s
UTC 221221 122415 5 9 ,53.32907486,5.932811737,18.86,256.31,422,236°,,  4.79 m/s
UTC 221221 122420 5 9 ,53.32901764,5.932445526,18.73,255.27,422,238°,,  5.19 m/s
UTC 221221 122425 5 9 ,53.32896805,5.932106972,18.73,260.16,434,243°,,  5.10 m/s
UTC 221221 122430 5 9 ,53.32907104,5.9321661,18.54,75.49,475,237°,,  5.53 m/s
UTC 221221 122435 5 9 ,53.32911301,5.932441235,18.57,75.9,477,238°,,  4.80 m/s
UTC 221221 122450 5 9 ,53.32927704,5.933542728,18.66,75.87,492,219°,,  4.36 m/s
UTC 221221 122455 5 9 ,53.32933044,5.933906078,18.67,75.96,496,224°,,  5.17 m/s
UTC 221221 122500 5 9 ,53.32938385,5.934272289,18.7,75.93,496,228°,,  4.95 m/s
UTC 221221 122505 5 9 ,53.3294487,5.934709549,18.73,76.24,506,229°,,  5.18 m/s
UTC 221221 122510 5 9 ,53.32949066,5.934958458,18.71,57.63,496,225°,,  6.32 m/s
UTC 221221 122515 5 9 ,53.32956314,5.934835434,18.41,257.32,480,229°,,  6.22 m/s
UTC 221221 122520 5 9 ,53.32951355,5.934495449,18.47,255.49,454,228°,,  5.52 m/s
UTC 221221 122535 5 9 ,53.3293457,5.93339777,18.48,255.23,435,243°,,  6.00 m/s
UTC 221221 122540 5 9 ,53.3292923,5.933031559,18.49,255.31,435,249°,,  5.86 m/s
UTC 221221 122545 5 9 ,53.32923508,5.932662964,18.49,255.37,435,245°,,  6.40 m/s
UTC 221221 122550 5 9 ,53.32918167,5.932299614,18.48,255.64,435,240°,,  5.92 m/s
UTC 221221 122555 5 9 ,53.32915115,5.931992054,18.43,297.07,450,243°,,  5.80 m/s
UTC 221221 122559 5 9 ,53.32924271,5.932032585,18.14,75,477,242°,,  6.21 m/s
UTC 221221 122620 5 9 ,53.32946014,5.933530808,18.15,76.03,492,232°,,  6.69 m/s
UTC 221221 122625 5 9 ,53.32951355,5.933897972,18.17,76.22,486,234°,,  6.04 m/s
UTC 221221 122630 5 9 ,53.32956696,5.934258938,18.13,76.18,492,232°,,  5.99 m/s
UTC 221221 122635 5 9 ,53.32962418,5.934620857,18.15,75.61,496,238°,,  6.19 m/s
UTC 221221 122640 5 9 ,53.32968521,5.934894085,18.03,10.93,492,240°,,  5.43 m/s
UTC 221221 122645 5 9 ,53.32971954,5.934650421,17.95,256.36,463,233°,,  5.71 m/s
UTC 221221 122659 5 9 ,53.3295784,5.933701038,17.91,255.43,434,237°,,  7.82 m/s
UTC 221221 122705 5 9 ,53.32950974,5.933261395,17.91,255.86,435,239°,,  6.24 m/s
UTC 221221 122710 5 9 ,53.32945633,5.932896614,17.92,255.56,428,248°,,  6.66 m/s
UTC 221221 122714 5 9 ,53.32941437,5.932603836,17.87,255.98,450,242°,,  6.90 m/s
UTC 221221 122720 5 9 ,53.3293457,5.9321661,17.87,255.42,434,250°,,  6.58 m/s
UTC 221221 122725 5 9 ,53.32934189,5.931889534,17.66,330.16,463,245°,,  6.88 m/s
UTC 221221 122730 5 9 ,53.32942581,5.932047367,17.47,75.37,486,248°,,  6.67 m/s
UTC 221221 122745 5 9 ,53.32958603,5.933139801,17.69,75.87,498,215°,,  3.58 m/s
UTC 221221 122750 5 9 ,53.32963943,5.933504582,17.77,75.73,502,228°,,  5.44 m/s
UTC 221221 122755 5 9 ,53.32969666,5.933866978,17.84,76.4,496,227°,,  6.11 m/s
UTC 221221 122800 5 9 ,53.32975006,5.934233189,17.9,75.69,498,235°,,  6.21 m/s
UTC 221221 122805 5 9 ,53.32980347,5.934597969,17.99,75.87,498,239°,,  6.67 m/s
UTC 221221 122810 5 9 ,53.32987976,5.934815407,18.07,345.17,486,238°,,  7.14 m/s
UTC 221221 122815 5 9 ,53.32989883,5.934587956,18.44,256.57,470,240°,,  7.41 m/s
UTC 221221 122830 5 9 ,53.32972717,5.933491707,19.72,254.3,443,248°,,  8.09 m/s
UTC 221221 122834 5 9 ,53.32967377,5.933125973,19.4,255.44,454,244°,,  6.19 m/s
UTC 221221 122840 5 9 ,53.32961655,5.932762623,18.81,254.68,460,234°,,  5.58 m/s
UTC 221221 122845 5 9 ,53.32955933,5.932397366,18.21,254.92,457,239°,,  5.36 m/s
UTC 221221 122850 5 9 ,53.32949066,5.932042599,17.58,239.89,445,239°,,  4.82 m/s
UTC 221221 122855 5 9 ,53.32924271,5.931977272,17.58,164.44,463,239°,,  4.32 m/s
UTC 221221 122900 5 9 ,53.32907104,5.932054043,17.67,164.22,450,244°,,  6.07 m/s
UTC 221221 122910 5 9 ,53.32863235,5.932241917,17.98,162.71,454,234°,,  7.67 m/s
UTC 221221 122914 5 9 ,53.32846069,5.932328224,18.07,161.13,475,231°,,  6.91 m/s
UTC 221221 122920 5 9 ,53.32820511,5.932480812,18.06,159.64,463,233°,,  6.20 m/s
UTC 221221 122925 5 9 ,53.3279953,5.932611942,18.05,159.14,475,235°,,  6.24 m/s
UTC 221221 122930 5 9 ,53.32782745,5.932696819,18.14,110.41,477,233°,,  6.41 m/s
UTC 221221 122935 5 9 ,53.32793808,5.932683468,17.94,344.39,506,235°,,  6.71 m/s
UTC 221221 122955 5 9 ,53.3288002,5.932325363,17.79,344.92,506,233°,,  3.73 m/s
UTC 221221 123000 5 9 ,53.32901764,5.93223381,17.75,344.93,498,246°,,  4.64 m/s
UTC 221221 123004 5 9 ,53.32928085,5.932122707,17.69,345.29,519,247°,,  5.55 m/s
UTC 221221 123010 5 9 ,53.32945633,5.932049751,17.65,344.27,514,239°,,  4.88 m/s
UTC 221221 123015 5 9 ,53.32950211,5.93218708,17.87,137.52,506,256°,,  6.00 m/s
UTC 221221 123020 5 9 ,53.32932281,5.932265759,17.88,165.31,482,246°,,  6.09 m/s
UTC 221221 123035 5 9 ,53.32866287,5.932535648,18.1,165.31,477,239°,,  6.52 m/s
UTC 221221 123040 5 9 ,53.32844543,5.932623386,18.14,165.57,460,237°,,  6.03 m/s
UTC 221221 123045 5 9 ,53.328228,5.9327178,18.14,164.48,457,239°,,  6.30 m/s
UTC 221221 123050 5 9 ,53.32801056,5.93280983,18.23,164.67,457,236°,,  6.36 m/s
UTC 221221 123055 5 9 ,53.32780075,5.932897091,18.3,165.63,457,236°,,  5.94 m/s
UTC 221221 123100 5 9 ,53.32784271,5.933036327,18.37,346.87,463,237°,,  6.53 m/s
UTC 221221 123105 5 9 ,53.328022,5.932954788,18.34,345.38,482,233°,,  5.66 m/s
UTC 221221 123120 5 9 ,53.32868195,5.932683468,18.24,344.86,498,245°,,  4.68 m/s
UTC 221221 123125 5 9 ,53.32889938,5.932591915,18.21,344.55,506,254°,,  4.45 m/s
UTC 221221 123130 5 9 ,53.32912064,5.932500362,18.17,345.21,514,243°,,  5.02 m/s
UTC 221221 123134 5 9 ,53.32933807,5.93241024,18.12,344.87,534,252°,,  4.50 m/s
UTC 221221 123140 5 9 ,53.32953644,5.932330132,18.09,356.29,506,237°,,  4.97 m/s
UTC 221221 123144 5 9 ,53.32951736,5.932502747,18.32,164.12,502,236°,,  5.55 m/s
UTC 221221 123205 5 9 ,53.32865906,5.932848454,18.55,165.07,470,236°,,  6.62 m/s
UTC 221221 123210 5 9 ,53.32843781,5.932941914,18.59,165.27,463,235°,,  6.89 m/s
UTC 221221 123215 5 9 ,53.32821655,5.933028698,18.65,165.32,460,235°,,  5.98 m/s
UTC 221221 123221 5 9 ,53.32791519,5.933159828,18.7,164.99,477,240°,,  5.04 m/s
UTC 221221 123225 5 9 ,53.32782364,5.933220387,18.78,120.36,463,229°,,  6.19 m/s
UTC 221221 123230 5 9 ,53.32792664,5.933310986,18.86,345.82,457,234°,,  5.50 m/s
UTC 221221 123245 5 9 ,53.32857132,5.933041096,18.78,344.91,506,267°,,  4.19 m/s
UTC 221221 123250 5 9 ,53.32878876,5.932948113,18.74,344.7,506,244°,,  4.04 m/s
UTC 221221 123254 5 9 ,53.32905197,5.932837486,18.68,345.1,534,249°,,  4.11 m/s
UTC 221221 123300 5 9 ,53.32922363,5.932765484,18.66,345.04,530,250°,,  5.02 m/s
UTC 221221 123305 5 9 ,53.32944489,5.932675362,18.61,344.8,530,241°,,  5.03 m/s
UTC 221221 123310 5 9 ,53.32960892,5.932664871,18.71,65.83,523,249°,,  4.47 m/s
UTC 221221 123329 5 9 ,53.32873154,5.933127403,19.03,164.82,480,228°,,  7.33 m/s
UTC 221221 123335 5 9 ,53.3286438,5.933164597,19.07,164.79,470,237°,,  8.06 m/s
UTC 221221 123340 5 9 ,53.32842636,5.933252811,19.1,165.44,470,239°,,  7.53 m/s
UTC 221221 123345 5 9 ,53.32820892,5.933345318,19.16,165.14,470,243°,,  7.89 m/s
UTC 221221 123350 5 9 ,53.32799149,5.93343401,19.16,165.48,463,237°,,  6.97 m/
UTC 221221 123355 5 9 ,53.32787323,5.933570385,19.31,75.67,480,235°,,  6.56 m/s
UTC 221221 123400 5 9 ,53.32801056,5.933581829,19.39,345.48,486,239°,,  6.79 m/s
UTC 221221 123415 5 9 ,53.32864761,5.933316708,19.31,344.86,526,253°,,  5.75 m/s
UTC 221221 123420 5 9 ,53.32886887,5.933227062,19.28,344.98,543,250°,,  5.56 m/s
UTC 221221 123425 5 9 ,53.3290863,5.933134556,19.24,344.85,530,250°,,  3.73 m/s
UTC 221221 123430 5 9 ,53.32930756,5.933042526,19.17,344.89,530,240°,,  4.40 m/s
UTC 221221 123435 5 9 ,53.32952499,5.932951927,19.14,345.01,526,250°,,  4.30 m/s
UTC 221221 123440 5 9 ,53.32966232,5.932988644,19.29,75.89,519,243°,,  5.47 m/s
UTC 221221 123445 5 9 ,53.32952499,5.933112145,19.4,164.78,506,243°,,  5.54 m/s
UTC 221221 123500 5 9 ,53.32886887,5.933381081,19.55,164.58,480,229°,,  7.65 m/s
UTC 221221 123505 5 9 ,53.32865143,5.933471203,19.6,165.16,482,235°,,  7.04 m/s
UTC 221221 123510 5 9 ,53.32843018,5.933564186,19.64,165.35,486,236°,,  5.75 m/s
UTC 221221 123513 5 9 ,53.32825851,5.933633804,19.65,165.15,486,239°,,  7.07 m/s
UTC 221221 123520 5 9 ,53.3279953,5.933744907,19.69,164.93,486,235°,,  5.71 m/s
UTC 221221 123525 5 9 ,53.32793045,5.933898449,19.8,53.83,492,240°,,  6.71 m/s
UTC 221221 123530 5 9 ,53.32809448,5.933856487,19.79,345.44,506,237°,,  6.78 m/s
UTC 221221 123545 5 9 ,53.32875061,5.933586597,19.76,344.77,506,249°,,  4.60 m/s
UTC 221221 123550 5 9 ,53.32896805,5.933495045,19.73,344.76,502,256°,,  4.60 m/s
UTC 221221 123555 5 9 ,53.32918549,5.933401585,19.69,345.2,506,251°,,  5.38 m/s
UTC 221221 123600 5 9 ,53.32940292,5.933310509,19.66,344.75,523,244°,,  4.64 m/s
UTC 221221 123605 5 9 ,53.32962036,5.93322134,19.66,344.46,526,244°,,  4.43 m/s
UTC 221221 123610 5 9 ,53.32969666,5.933333874,19.86,119.11,523,250°,,  3.72 m/s
UTC 221221 123615 5 9 ,53.32952118,5.93342495,19.84,164.58,514,247°,,  5.99 m/s
UTC 221221 123630 5 9 ,53.32886505,5.933689594,19.84,165.32,482,245°,,  6.61 m/s
UTC 221221 123635 5 9 ,53.3286438,5.933781147,19.85,165.53,475,238°,,  6.39 m/s
UTC 221221 123640 5 9 ,53.32842636,5.933871746,19.86,165.67,460,238°,,  5.70 m/s
UTC 221221 123645 5 9 ,53.32820892,5.93396616,19.83,164.72,463,237°,,  6.28 m/s
UTC 221221 123650 5 9 ,53.32799149,5.934053898,19.88,167.09,470,237°,,  8.26 m/s
UTC 221221 123654 5 9 ,53.32798004,5.934196472,19.6,47.23,498,236°,,  6.30 m/s
UTC 221221 123715 5 9 ,53.32885361,5.933851719,19.76,344.89,543,249°,,  5.77 m/s
UTC 221221 123720 5 9 ,53.32907486,5.933761597,19.78,344.96,548,251°,,  6.74 m/s
UTC 221221 123735 5 9 ,53.32971573,5.933494568,19.88,347.78,530,235°,,  7.06 m/s
UTC 221221 123740 5 9 ,53.3297081,5.933658123,19.92,165,523,243°,,  7.15 m/s
UTC 221221 123745 5 9 ,53.32951355,5.933735848,19.84,165.27,498,236°,,  6.89 m/s
UTC 221221 123750 5 9 ,53.3292923,5.933822632,19.82,165.2,482,239°,,  7.41 m/s
UTC 221221 123755 5 9 ,53.32907104,5.933916569,19.74,165.01,480,237°,,  7.75 m/s
UTC 221221 123800 5 9 ,53.32885361,5.934005737,19.67,164.99,486,241°,,  7.78 m/s
UTC 221221 123805 5 9 ,53.32863617,5.93409729,19.57,164.96,492,237°,,  6.69 m/s
UTC 221221 123810 5 9 ,53.32842255,5.934187889,19.51,165.06,496,234°,,  6.44 m/s
UTC 221221 123814 5 9 ,53.32820511,5.934279919,19.43,164.3,496,242°,,  6.36 m/s
UTC 221221 123820 5 9 ,53.32801056,5.934367657,19.45,142,502,239°,,  6.42 m/s
UTC 221221 123825 5 9 ,53.32808685,5.934484959,19.19,346.02,514,241°,,  7.00 m/s
UTC 221221 123830 5 9 ,53.32828522,5.934396267,19.29,345.25,530,232°,,  6.50 m/s
UTC 221221 123835 5 9 ,53.32850647,5.934306145,19.38,345.03,530,232°,,  6.44 m/s
UTC 221221 123840 5 9 ,53.32872772,5.934215069,19.49,344.9,530,235°,,  6.50 m/s
UTC 221221 123855 5 9 ,53.32938004,5.933940411,19.75,345.31,555,251°,,  6.45 m/s
UTC 221221 123900 5 9 ,53.32960129,5.933849812,19.83,345.01,561,234°,,  7.55 m/s
UTC 221221 123905 5 9 ,53.32978439,5.933797836,19.86,34.13,561,240°,,  7.57 m/s
UTC 221221 123910 5 9 ,53.32971954,5.933961868,19.67,164.48,543,240°,,  8.53 m/s
UTC 221221 123915 5 9 ,53.32950974,5.934045315,19.64,165.36,534,231°,,  9.22 m/s
UTC 221221 123920 5 9 ,53.32928848,5.934137821,19.54,164.96,534,234°,,  8.41 m/s
UTC 221221 123925 5 9 ,53.32907104,5.934226513,19.5,165.13,530,235°,,  9.19 m/s
UTC 221221 123930 5 9 ,53.32885361,5.934317589,19.42,165.04,526,246°,,  8.37 m/s
UTC 221221 123935 5 9 ,53.32863617,5.934408188,19.3,164.65,523,242°,,  7.77 m/s
UTC 221221 123950 5 9 ,53.32804489,5.93470335,18.99,90,526,239°,,  7.09 m/s
UTC 221221 123955 5 9 ,53.32816315,5.934758663,18.96,345.29,543,249°,,  7.60 m/s
UTC 221221 124000 5 9 ,53.32841492,5.93465519,19.01,344.97,552,247°,,  6.44 m/s
UTC 221221 124005 5 9 ,53.32859039,5.93458271,19.09,344.89,555,249°,,  6.67 m/s
UTC 221221 124010 5 9 ,53.32881165,5.934489727,19.14,344.88,555,242°,,  7.39 m/s
UTC 221221 124015 5 9 ,53.32902908,5.934398174,19.17,345.12,555,250°,,  8.97 m/s
UTC 221221 124030 5 9 ,53.3296814,5.934124947,19.35,345.29,567,242°,,  7.73 m/s
UTC 221221 124040 5 9 ,53.32973862,5.93426466,18.99,164.11,548,243°,,  6.29 m/s
UTC 221221 124045 5 9 ,53.32952499,5.934350491,18.96,165.02,530,250°,,  6.18 m/s
UTC 221221 124050 5 9 ,53.32930374,5.934439182,18.96,165.49,514,253°,,  7.82 m/s
UTC 221221 124055 5 9 ,53.32908249,5.934530258,18.95,165.41,514,252°,,  6.38 m/s
UTC 221221 124100 5 9 ,53.32886124,5.934621334,18.92,165.4,506,242°,,  7.68 m/s
UTC 221221 124115 5 9 ,53.32820892,5.934892178,18.83,165.55,502,245°,,  7.40 m/s
UTC 221221 124120 5 9 ,53.3280983,5.935034752,18.68,75.55,514,240°,,  7.25 m/s
UTC 221221 124125 5 9 ,53.32823944,5.935036182,18.7,345.17,530,241°,,  6.14 m/s
UTC 221221 124130 5 9 ,53.32845306,5.934948921,18.69,344.89,526,244°,,  7.83 m/s
UTC 221221 124135 5 9 ,53.32867432,5.934857845,18.73,344.02,530,248°,,  8.02 m/s
UTC 221221 124140 5 9 ,53.32889175,5.934766293,18.71,345.55,548,243°,,  8.37 m/s
UTC 221221 124145 5 9 ,53.32910919,5.93467617,18.69,344.89,552,247°,,  7.23 m/s
UTC 221221 124200 5 9 ,53.32976532,5.934401035,18.69,344.84,575,247°,,  9.49 m/s
UTC 221221 124205 5 9 ,53.32989502,5.934450626,18.52,77.96,567,249°,,  11.16 m/s
UTC 221221 124210 5 9 ,53.32975388,5.934565544,18.41,165.2,543,241°,,  7.11 m/s
UTC 221221 124215 5 9 ,53.32953262,5.934653759,18.53,165.48,523,252°,,  6.91 m/s
UTC 221221 124220 5 9 ,53.32931519,5.934742928,18.56,165.72,506,252°,,  6.58 m/s
UTC 221221 124225 5 9 ,53.32909393,5.934834957,18.61,165.48,506,248°,,  7.92 m/s
UTC 221221 124230 5 9 ,53.3288765,5.934927464,18.64,165.78,506,245°,,  6.28 m/s
UTC 221221 124245 5 9 ,53.32822418,5.935199738,18.73,164.96,498,247°,,  7.62 m/s
UTC 221221 124250 5 9 ,53.3281517,5.935351849,18.73,56.96,514,239°,,  7.71 m/s
UTC 221221 124255 5 9 ,53.32830429,5.935320377,18.73,345.58,537,245°,,  7.23 m/s
UTC 221221 124300 5 9 ,53.32850647,5.935236931,18.69,344.74,548,248°,,  7.05 m/s
UTC 221221 124305 5 9 ,53.32881546,5.935108662,18.63,345.02,575,250°,,  7.22 m/s
UTC 221221 124310 5 9 ,53.32894897,5.935055256,18.58,344.82,561,246°,,  8.17 m/s
UTC 221221 124315 5 9 ,53.32916641,5.93496275,18.54,344.91,567,239°,,  7.29 m/s
