TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter ASL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221221 121325 5 9 ,53.32816696,5.935441494,18.83,254.87,413,225°,,  8.01 m/s
UTC 221221 121330 5 9 ,53.32812119,5.935081959,18.69,256.28,400,225°,,  7.20 m/s
UTC 221221 121345 5 9 ,53.32795334,5.933982372,18.4,255.95,400,231°,,  7.26 m/s
UTC 221221 121350 5 9 ,53.32789993,5.933616638,18.29,256.08,400,229°,,  6.37 m/s
UTC 221221 121355 5 9 ,53.32784653,5.933256626,18.18,256.29,400,229°,,  7.04 m/s
UTC 221221 121359 5 9 ,53.32778931,5.932889462,18.14,256.02,402,233°,,  7.20 m/s
UTC 221221 121407 5 9 ,53.3278389,5.932623386,18.01,36.4,424,232°,,  6.68 m/s
UTC 221221 121411 5 9 ,53.32787704,5.932849407,18.06,75.42,450,232°,,  6.68 m/s
UTC 221221 121415 5 9 ,53.32791901,5.933146954,18.13,75.79,446,230°,,  6.03 m/s
UTC 221221 121430 5 9 ,53.32808304,5.934243202,18.48,75.89,461,229°,,  6.26 m/s
UTC 221221 121435 5 9 ,53.32813644,5.93460846,18.61,75.97,461,224°,,  6.00 m/s
UTC 221221 121441 5 9 ,53.32820129,5.93504858,18.71,76.52,463,214°,,  5.82 m/s
UTC 221221 121445 5 9 ,53.32824707,5.935340881,18.8,76.02,465,224°,,  7.09 m/s
UTC 221221 121450 5 9 ,53.32832718,5.93551302,18.88,343.48,465,223°,,  8.59 m/s
UTC 221221 121455 5 9 ,53.32833099,5.935256004,18.88,255.18,446,229°,,  7.89 m/s
UTC 221221 121515 5 9 ,53.32810974,5.933791161,18.56,255.17,407,234°,,  6.22 m/s
UTC 221221 121520 5 9 ,53.32805634,5.933426857,18.44,255.43,416,233°,,  5.75 m/s
UTC 221221 121525 5 9 ,53.32800293,5.933058262,18.34,255.28,416,229°,,  6.25 m/s
UTC 221221 121530 5 9 ,53.32794571,5.932693481,18.28,255.78,418,231°,,  6.64 m/s
UTC 221221 121535 5 9 ,53.32800293,5.932531834,18.26,12.76,444,233°,,  6.07 m/s
UTC 221221 121541 5 9 ,53.32806778,5.932885647,18.38,75.95,465,234°,,  6.09 m/s
UTC 221221 121555 5 9 ,53.32822037,5.933913231,18.71,75.92,470,220°,,  3.73 m/s
UTC 221221 121600 5 9 ,53.32827377,5.934279442,18.81,76.09,470,222°,,  5.60 m/s
UTC 221221 121605 5 9 ,53.32833099,5.934644699,18.89,75.91,470,224°,,  6.62 m/s
UTC 221221 121610 5 9 ,53.3283844,5.93501091,18.99,75.98,470,217°,,  5.15 m/s
UTC 221221 121615 5 9 ,53.32843781,5.93537426,19.11,76.97,476,227°,,  6.24 m/s
UTC 221221 121620 5 9 ,53.32853317,5.935375214,19.28,280.25,462,222°,,  5.84 m/s
UTC 221221 121625 5 9 ,53.32849121,5.935072899,19.22,255.91,439,221°,,  5.92 m/s
UTC 221221 121640 5 9 ,53.32832336,5.933970451,18.88,256.35,416,234°,,  6.78 m/s
UTC 221221 121645 5 9 ,53.32826614,5.933601856,18.79,255.96,407,231°,,  6.18 m/s
UTC 221221 121650 5 9 ,53.32821274,5.93323803,18.64,256.03,413,229°,,  5.95 m/s
UTC 221221 121655 5 9 ,53.32815552,5.932870388,18.53,255.1,409,232°,,  6.72 m/s
UTC 221221 121700 5 9 ,53.32810593,5.932521343,18.4,255.41,416,225°,,  6.86 m/s
UTC 221221 121705 5 9 ,53.32819748,5.932506084,18.29,73.46,444,228°,,  7.15 m/s
UTC 221221 121710 5 9 ,53.32824326,5.932816029,18.43,75.91,465,234°,,  6.15 m/s
UTC 221221 121725 5 9 ,53.32840729,5.933918953,18.95,76.29,480,227°,,  4.41 m/s
UTC 221221 121730 5 9 ,53.32845688,5.93428278,19.14,75.65,480,227°,,  5.84 m/s
UTC 221221 121735 5 9 ,53.3285141,5.934652329,19.3,75.97,485,224°,,  5.92 m/s
UTC 221221 121740 5 9 ,53.32857132,5.935015202,19.47,75.92,480,227°,,  7.02 m/s
UTC 221221 121744 5 9 ,53.32862091,5.935349941,19.62,67.07,473,230°,,  7.28 m/s
UTC 221221 121750 5 9 ,53.32870102,5.93524456,19.93,257.48,451,233°,,  7.05 m/s
UTC 221221 121755 5 9 ,53.32865143,5.934915066,19.75,256.33,427,229°,,  6.84 m/s
UTC 221221 121810 5 9 ,53.32848358,5.933814526,19.08,255.93,423,230°,,  6.64 m/s
UTC 221221 121815 5 9 ,53.32843018,5.933450699,18.9,255.61,427,235°,,  6.16 m/s
UTC 221221 121820 5 9 ,53.32837677,5.933085442,18.66,255.72,426,232°,,  5.53 m/s
UTC 221221 121825 5 9 ,53.32831955,5.932720661,18.43,255.56,416,230°,,  7.37 m/s
UTC 221221 121830 5 9 ,53.32827759,5.932398796,18.25,284.8,436,236°,,  6.89 m/s
UTC 221221 121835 5 9 ,53.32838821,5.932529926,18.26,75.28,465,237°,,  5.38 m/s
UTC 221221 121840 5 9 ,53.32842636,5.932816029,18.48,75.89,457,229°,,  5.81 m/s
UTC 221221 121855 5 9 ,53.32859039,5.933915615,19.32,75.8,473,233°,,  7.06 m/s
UTC 221221 121900 5 9 ,53.32864761,5.93428278,19.6,76,465,233°,,  7.15 m/s
UTC 221221 121905 5 9 ,53.32870102,5.934648037,19.89,76.05,465,231°,,  7.75 m/s
