TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter ASL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221222 114640 5 9 ,53.33038712,5.931402683,27.34,341.4,602,229°,,  10.12 m/s
UTC 221222 114645 5 9 ,53.33037567,5.931120396,27.37,207.73,531,236°,,  8.55 m/s
UTC 221222 114650 5 9 ,53.33017349,5.931179524,27.38,166.09,549,236°,,  7.38 m/s
UTC 221222 114656 5 9 ,53.32990265,5.931278706,27.4,166.96,566,234°,,  9.83 m/s
UTC 221222 114700 5 9 ,53.32973099,5.931341171,27.42,167.09,549,238°,,  10.39 m/s
UTC 221222 114706 5 9 ,53.32946777,5.931443691,27.49,166.49,543,241°,,  9.66 m/s
UTC 221222 114710 5 9 ,53.3292923,5.931509972,27.51,166.43,540,231°,,  5.94 m/s
UTC 221222 114715 5 9 ,53.32907104,5.931589603,27.51,167.12,519,242°,,  6.69 m/s
UTC 221222 114720 5 9 ,53.32884979,5.931665421,27.57,167.42,540,240°,,  8.16 m/s
UTC 221222 114725 5 9 ,53.32863235,5.931751251,27.59,166.69,566,234°,,  9.43 m/s
UTC 221222 114729 5 9 ,53.32845688,5.931818962,27.61,166.87,555,231°,,  9.33 m/s
UTC 221222 114745 5 9 ,53.32776642,5.932062149,27.72,190.97,549,245°,,  7.50 m/s
UTC 221222 114750 5 9 ,53.32774353,5.931771278,28.22,325.05,519,233°,,  5.84 m/s
UTC 221222 114754 5 9 ,53.3279953,5.931678772,28.1,346.37,566,229°,,  7.56 m/s
UTC 221222 114800 5 9 ,53.32817078,5.931612015,28.04,346.28,566,237°,,  8.46 m/s
UTC 221222 114805 5 9 ,53.32839584,5.931533337,27.96,346.06,596,233°,,  8.11 m/s
UTC 221222 114810 5 9 ,53.32861328,5.931454182,27.9,346.81,602,235°,,  8.33 m/s
UTC 221222 114815 5 9 ,53.32883453,5.931370735,27.85,346.34,611,237°,,  7.74 m/s
UTC 221222 114820 5 9 ,53.32905197,5.931289196,27.75,346.5,620,238°,,  8.42 m/s
UTC 221222 114825 5 9 ,53.32926941,5.931206226,27.7,346.7,611,241°,,  8.38 m/s
UTC 221222 114830 5 9 ,53.32949066,5.931125641,27.61,346.36,611,235°,,  8.18 m/s
UTC 221222 114835 5 9 ,53.3297081,5.931044102,27.53,346.52,602,237°,,  7.93 m/s
UTC 221222 114851 5 9 ,53.33035278,5.930694103,27.33,267.81,575,231°,,  10.05 m/s
UTC 221222 114855 5 9 ,53.33024979,5.930522919,27.41,175.65,540,236°,,  10.25 m/s
UTC 221222 114900 5 9 ,53.33003998,5.930612564,27.45,165.77,543,238°,,  10.23 m/s
UTC 221222 114905 5 9 ,53.32981873,5.930695534,27.56,166.72,540,237°,,  8.89 m/s
UTC 221222 114910 5 9 ,53.32959747,5.930777073,27.63,166.79,531,241°,,  8.72 m/s
UTC 221222 114915 5 9 ,53.32938004,5.930856705,27.71,167.26,531,238°,,  8.86 m/s
UTC 221222 114920 5 9 ,53.32915878,5.930939674,27.82,166.84,540,239°,,  10.29 m/s
UTC 221222 114925 5 9 ,53.32889938,5.93103838,27.92,166.26,543,233°,,  8.89 m/s
UTC 221222 114930 5 9 ,53.32872009,5.931105137,28.02,166.35,540,240°,,  8.20 m/s
UTC 221222 114935 5 9 ,53.32850266,5.931182861,28.13,166.96,543,237°,,  9.23 m/s
UTC 221222 114941 5 9 ,53.32823944,5.93128252,28.23,166.47,543,236°,,  9.32 m/s
