X,Y,TimeStamp (UTC),"""TriggerID""","""Latitude""","""Longitude""","""Altitude (Meter AGL)""",Gimbal Roll,"""Gimbal Pitch""","""Gimbal Yaw""","""Drone Yaw""","""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter),wind_speed,wind_direction
695404.710030197,5912749.52217503,2022/12/22 10:03:44,"1",53.32782364,5.934483051,0.07,false,false,false,79.59,79.59,0.01,"406","0","149","300","267","146",11.63,"100413",91.83,  2.40 m/s,242°
695404.533893849,5912749.93934519,2022/12/22 10:03:45,"2",53.32782745,5.934480667,0.68,false,false,false,78.92,78.92,0.01,"402","0","148","299","266","146",11.59,"100410",91.83,  2.40 m/s,242°
695404.533893849,5912749.93934519,2022/12/22 10:03:46,"3",53.32782745,5.934480667,2.67,false,false,false,79.61,79.61,0.01,"406","0","149","300","266","146",11.59,"100381",100.22,  2.40 m/s,242°
695404.565650573,5912749.94065079,2022/12/22 10:03:47,"4",53.32782745,5.934481144,5.04,false,false,false,80.07,80.07,0.01,"409","1","148","299","266","145",11.55,"100356",100.22,  2.40 m/s,242°
695404.692610895,5912749.94587048,2022/12/22 10:03:47,"5",53.32782745,5.934483051,6.67,false,false,false,79.96,79.96,0.01,"403","0","147","300","266","145",11.53,"100343",100.22,  2.40 m/s,242°
695404.819637792,5912749.95109292,2022/12/22 10:03:47,"6",53.32782745,5.934484959,6.85,false,false,false,79.84,79.84,0.01,"400","0","146","298","265","144",11.55,"100337",100.22,  2.40 m/s,242°
695404.802172757,5912750.37590043,2022/12/22 10:03:50,"7",53.32783127,5.934484959,6.82,false,false,false,80.1,80.1,0.01,"400","0","146","299","264","145",11.55,"100334",100.22,  2.40 m/s,242°
695404.99264651,5912750.38373135,2022/12/22 10:03:51,"8",53.32783127,5.93448782,6.8,false,false,false,79.35,79.35,0.01,"400","0","145","299","264","144",11.54,"100332",100.22,  2.40 m/s,242°
695405.087850099,5912750.38764544,2022/12/22 10:03:52,"9",53.32783127,5.93448925,6.79,false,false,false,59.93,59.93,0.01,"407","1","143","297","263","144",11.49,"100323",100.22,  2.40 m/s,242°
695405.11960682,5912750.38895105,2022/12/22 10:03:53,"10",53.32783127,5.934489727,6.82,false,false,false,81.93,81.93,0.01,"400","0","142","299","263","144",11.42,"100333",100.22,  2.40 m/s,242°
695405.278323852,5912750.39547637,2022/12/22 10:03:54,"11",53.32783127,5.934492111,6.84,false,false,false,81.71,81.71,0.01,"400","0","141","298","263","144",11.45,"100332",100.22,  5.64 m/s,228°
695405.278323852,5912750.39547637,2022/12/22 10:03:55,"12",53.32783127,5.934492111,6.86,false,false,false,81.44,81.44,0.01,"403","0","140","299","263","144",11.47,"100334",100.22,  5.64 m/s,228°
695405.341837294,5912750.39808759,2022/12/22 10:03:56,"13",53.32783127,5.934493065,6.86,false,false,false,81.59,81.59,0.01,"403","0","140","299","262","143",11.48,"100337",100.22,  5.64 m/s,228°
695405.373594016,5912750.3993932,2022/12/22 10:03:56,"14",53.32783127,5.934493542,6.86,false,false,false,81.64,81.64,0.01,"411","1","139","299","261","143",11.49,"100333",100.22,  5.64 m/s,228°
695405.373594016,5912750.3993932,2022/12/22 10:03:58,"15",53.32783127,5.934493542,6.84,false,false,false,81.51,81.51,0.01,"403","0","138","299","260","143",11.5,"100330",100.22,  5.64 m/s,228°
695405.373594016,5912750.3993932,2022/12/22 10:03:59,"16",53.32783127,5.934493542,6.84,false,false,false,81.39,81.39,0.01,"400","0","137","300","261","143",11.45,"100332",100.22,  5.64 m/s,228°
695405.341837294,5912750.39808759,2022/12/22 10:04:00,"17",53.32783127,5.934493065,6.82,false,false,false,81.53,81.53,0.01,"403","0","137","300","260","143",11.45,"100332",100.22,  5.64 m/s,228°
695405.341837294,5912750.39808759,2022/12/22 10:04:01,"18",53.32783127,5.934493065,6.82,false,false,false,81.35,81.35,0.01,"400","0","136","299","259","143",11.44,"100333",100.22,  5.64 m/s,228°
695405.341837294,5912750.39808759,2022/12/22 10:04:02,"19",53.32783127,5.934493065,6.81,false,false,false,81.78,81.78,0.01,"406","0","136","299","259","142",11.44,"100332",100.22,  5.64 m/s,228°
695405.341837294,5912750.39808759,2022/12/22 10:04:03,"20",53.32783127,5.934493065,6.82,false,false,false,81.53,81.53,0.01,"403","0","136","300","259","142",11.42,"100330",100.22,  5.64 m/s,228°
695405.310080573,5912750.39678198,2022/12/22 10:04:04,"21",53.32783127,5.934492588,6.81,false,false,false,81.01,81.01,0.01,"405","0","135","300","258","143",11.41,"100330",100.22,  5.16 m/s,229°
695405.341837294,5912750.39808759,2022/12/22 10:04:04,"22",53.32783127,5.934493065,7.21,false,false,false,81.61,81.61,0.01,"408","1","134","300","258","142",11.41,"100326",100.22,  5.16 m/s,229°
695405.405350737,5912750.40069882,2022/12/22 10:04:04,"23",53.32783127,5.934494019,8.55,false,false,false,81.63,81.63,0.01,"411","1","134","299","258","142",11.37,"100317",100.22,  5.16 m/s,229°
695405.468797604,5912750.40330731,2022/12/22 10:04:07,"24",53.32783127,5.934494972,9.11,false,false,false,68.16,68.16,0.01,"408","1","133","300","257","143",11.33,"100304",100.22,  5.16 m/s,229°
695405.468797604,5912750.40330731,2022/12/22 10:04:08,"25",53.32783127,5.934494972,9.04,false,false,false,340.76,340.76,0.01,"410","1","133","300","257","142",11.23,"100282",108.61,  5.16 m/s,229°
695405.532311047,5912750.40591853,2022/12/22 10:04:09,"26",53.32783127,5.934495926,8.99,false,false,false,328.12,328.12,0.01,"407","1","133","300","257","143",11.17,"100282",108.61,  5.86 m/s,229°
695405.102187477,5912750.81264651,2022/12/22 10:04:10,"27",53.32783508,5.934489727,8.97,false,false,false,328.62,328.62,0.01,"407","1","132","301","257","143",11.16,"100284",108.61,  5.86 m/s,229°
695403.745151437,5912752.88225489,2022/12/22 10:04:11,"28",53.32785416,5.934470654,8.96,false,false,false,328.31,328.31,0.01,"407","1","133","300","257","143",11.09,"100282",108.61,  5.86 m/s,229°
695402.021486108,5912755.36008826,2022/12/22 10:04:12,"29",53.32787704,5.934446335,8.96,false,false,false,328.54,328.54,0.01,"407","1","133","300","256","143",10.97,"100278",108.61,  5.86 m/s,229°
