X,Y,TimeStamp (UTC),"""TriggerID""","""Latitude""","""Longitude""","""Altitude (Meter AGL)""",Gimbal Roll,"""Gimbal Pitch""","""Gimbal Yaw""","""Drone Yaw""","""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter),wind_speed,wind_direction
695391.92804552,5912758.77040803,2022/12/12 12:27:54,"351",53.32791138,5.934297085,0,false,false,false,326.7,326.7,0.01,"406","0","143","285","180","147",12.57,"101337",16.64,  2.39 m/s,193°
695391.92804552,5912758.77040803,2022/12/12 12:27:55,"352",53.32791138,5.934297085,0,false,false,false,326.67,326.67,0.01,"410","1","143","285","180","147",12.57,"101333",16.64,  2.39 m/s,193°
695391.92804552,5912758.77040803,2022/12/12 12:27:56,"353",53.32791138,5.934297085,0,false,false,false,326.6,326.6,0.01,"410","1","144","284","180","147",12.57,"101333",16.64,  2.39 m/s,193°
695391.959802183,5912758.77171355,2022/12/12 12:27:57,"354",53.32791138,5.934297562,0,false,false,false,326.54,326.54,0.01,"410","1","143","284","179","146",12.49,"101331",16.64,  2.39 m/s,193°
695392.009022785,5912758.34821153,2022/12/12 12:27:58,"355",53.32790756,5.934298039,0.72,false,false,false,325.78,325.78,0.01,"400","0","141","282","179","145",12.35,"101326",16.64,  2.39 m/s,193°
695391.913752787,5912758.34429496,2022/12/12 12:27:58,"356",53.32790756,5.934296608,4.66,false,false,false,325.93,325.93,0.01,"400","0","141","283","179","146",12.32,"101275",24.96,  2.39 m/s,193°
695391.864532193,5912758.76779698,2022/12/12 12:28:00,"357",53.32791138,5.934296131,8.33,false,false,false,326.47,326.47,0.01,"400","0","140","282","178","145",12.33,"101232",24.96,  2.39 m/s,193°
695391.864532193,5912758.76779698,2022/12/12 12:28:01,"358",53.32791138,5.934296131,8.79,false,false,false,325.99,325.99,0.01,"400","0","138","282","177","144",12.19,"101219",24.96,  2.39 m/s,193°
695391.896288856,5912758.7691025,2022/12/12 12:28:02,"359",53.32791138,5.934296608,8.73,false,false,false,326.23,326.23,0.01,"403","0","136","281","177","145",12.1,"101219",24.96,  2.39 m/s,193°
695391.945509453,5912758.34560048,2022/12/12 12:28:03,"360",53.32790756,5.934297085,8.7,false,false,false,326.15,326.15,0.01,"403","0","135","282","177","144",11.99,"101219",24.96,  2.39 m/s,193°
695391.913752787,5912758.34429496,2022/12/12 12:28:03,"361",53.32790756,5.934296608,8.7,false,false,false,326.37,326.37,0.01,"400","0","134","282","176","143",11.89,"101218",24.96,  2.39 m/s,193°
695391.913752787,5912758.34429496,2022/12/12 12:28:05,"362",53.32790756,5.934296608,8.73,false,false,false,326.23,326.23,0.01,"400","0","133","282","176","143",11.79,"101218",24.96,  3.59 m/s,199°
695391.88199612,5912758.34298944,2022/12/12 12:28:06,"363",53.32790756,5.934296131,8.96,false,false,false,326.15,326.15,0.01,"405","0","130","281","175","143",11.65,"101214",24.96,  3.59 m/s,199°
695391.850239454,5912758.34168391,2022/12/12 12:28:07,"364",53.32790756,5.934295654,11.07,false,false,false,325.93,325.93,0.01,"405","0","129","282","175","142",11.46,"101189",33.3,  3.59 m/s,199°
695391.832775529,5912758.76649145,2022/12/12 12:28:07,"365",53.32791138,5.934295654,14.31,false,false,false,326.41,326.41,0.01,"403","0","127","282","174","142",11.34,"101149",33.3,  3.59 m/s,199°
695391.832775529,5912758.76649145,2022/12/12 12:28:09,"366",53.32791138,5.934295654,17.41,false,false,false,326.38,326.38,0.01,"400","0","125","278","174","142",11.17,"101115",33.3,  2.04 m/s,145°
695391.864532193,5912758.76779698,2022/12/12 12:28:10,"367",53.32791138,5.934296131,20.34,false,false,false,326.24,326.24,0.01,"400","0","123","279","172","142",10.97,"101071",41.64,  2.04 m/s,145°
695391.864532193,5912758.76779698,2022/12/12 12:28:11,"368",53.32791138,5.934296131,23.38,false,false,false,326.2,326.2,0.01,"400","0","121","280","172","142",10.82,"101031",41.64,  2.04 m/s,145°
695391.896288856,5912758.7691025,2022/12/12 12:28:11,"369",53.32791138,5.934296608,26.52,false,false,false,326.32,326.32,0.01,"407","1","120","281","171","141",10.68,"100994",49.99,  2.04 m/s,145°
695391.92804552,5912758.77040803,2022/12/12 12:28:13,"370",53.32791138,5.934297085,29.12,false,false,false,326.35,326.35,0.01,"409","1","120","284","172","141",10.55,"100959",49.99,  2.04 m/s,145°
695391.92804552,5912758.77040803,2022/12/12 12:28:14,"371",53.32791138,5.934297085,29.4,false,false,false,357.37,357.37,0.01,"400","0","118","283","171","141",10.52,"100953",49.99,  2.04 m/s,145°
695391.832775529,5912758.76649145,2022/12/12 12:28:15,"372",53.32791138,5.934295654,29.15,false,false,false,68.11,68.11,0.01,"407","1","118","282","171","140",10.42,"100968",49.99,  2.04 m/s,145°
695391.92804552,5912758.77040803,2022/12/12 12:28:15,"373",53.32791138,5.934297085,29.06,false,false,false,68.82,68.82,0.01,"409","1","118","282","171","141",10.37,"100969",49.99,  2.04 m/s,145°
695393.212184353,5912759.24761099,2022/12/12 12:28:17,"374",53.32791519,5.934316635,29.07,false,false,false,68.71,68.71,0.01,"409","1","116","281","170","140",10.32,"100973",49.99,  2.04 m/s,145°
695395.716968848,5912760.20052168,2022/12/12 12:28:18,"375",53.32792282,5.934354782,29.07,false,false,false,68.81,68.81,0.01,"418","2","116","281","169","140",10.3,"100972",49.99,  2.04 m/s,145°
695399.188411031,5912761.6187002,2022/12/12 12:28:19,"376",53.32793427,5.934407711,29.06,false,false,false,68.86,68.86,0.01,"403","0","116","281","170","139",10.05,"100971",49.99,  3.12 m/s,176°
695403.023424244,5912763.4751264,2022/12/12 12:28:20,"377",53.32794952,5.934466362,29.04,false,false,false,68.96,68.96,0.01,"405","0","115","281","169","139",9.89,"100969",49.99,  3.12 m/s,176°
695407.239335183,5912765.34832986,2022/12/12 12:28:21,"378",53.32796478,5.934530735,29.01,false,false,false,68.97,68.97,0.01,"400","0","115","281","169","140",9.75,"100966",49.99,  3.12 m/s,176°
695412.199669513,5912767.67766949,2022/12/12 12:28:22,"379",53.32798386,5.934606552,29,false,false,false,69.14,69.14,0.01,"405","0","115","282","169","140",9.63,"100959",49.99,  3.12 m/s,176°
695416.891789257,5912769.57046114,2022/12/12 12:28:23,"380",53.32799912,5.934678078,29.01,false,false,false,68.88,68.88,0.01,"410","1","114","282","168","140",9.49,"100960",49.99,  3.12 m/s,176°
695421.615641227,5912771.46344844,2022/12/12 12:28:24,"381",53.32801437,5.93475008,29,false,false,false,69.13,69.13,0.01,"401","0","115","283","168","139",9.36,"100961",49.99,  2.37 m/s,165°
695426.212484234,5912773.35233229,2022/12/12 12:28:25,"382",53.32802963,5.934820175,28.96,false,false,false,69.22,69.22,0.01,"400","0","115","283","168","140",9.18,"100955",49.99,  2.37 m/s,165°
695430.872836925,5912775.24383224,2022/12/12 12:28:26,"383",53.32804489,5.934891224,28.95,false,false,false,69.02,69.02,0.01,"403","0","114","284","167","140",9.03,"100956",49.99,  2.37 m/s,165°
695435.420494297,5912777.55511482,2022/12/12 12:28:27,"384",53.32806396,5.934960842,28.97,false,false,false,69.04,69.04,0.01,"405","0","114","283","167","140",8.85,"100951",49.99,  2.37 m/s,165°
695440.049083101,5912779.44531813,2022/12/12 12:28:28,"385",53.32807922,5.935031414,28.92,false,false,false,68.51,68.51,0.01,"400","0","114","283","167","140",8.65,"100973",49.99,  2.37 m/s,165°
695444.614155405,5912781.33291428,2022/12/12 12:28:29,"386",53.32809448,5.935101032,28.92,false,false,false,68.78,68.78,0.02,"405","0","114","283","166","139",8.58,"100973",49.99,  0.54 m/s,260°
695449.130065184,5912783.64401918,2022/12/12 12:28:30,"387",53.32811356,5.935170174,28.93,false,false,false,68.73,68.73,0.02,"408","1","112","283","166","139",8.49,"100973",49.99,  0.54 m/s,260°
695453.568216592,5912785.52529114,2022/12/12 12:28:31,"388",53.32812881,5.935237885,28.94,false,false,false,68.69,68.69,0.02,"409","1","112","282","166","140",8.48,"100975",49.99,  0.54 m/s,260°
695458.323750624,5912787.42073362,2022/12/12 12:28:31,"389",53.32814407,5.935310364,28.95,false,false,false,68.78,68.78,0.02,"408","1","113","282","166","139",8.47,"100971",49.99,  0.54 m/s,260°
695462.839581946,5912789.7318491,2022/12/12 12:28:33,"390",53.32816315,5.935379505,28.96,false,false,false,68.73,68.73,0.02,"408","1","112","283","165","139",8.43,"100971",49.99,  0.54 m/s,260°
695467.436392817,5912791.62077361,2022/12/12 12:28:34,"391",53.32817841,5.9354496,28.95,false,false,false,68.82,68.82,0.02,"408","1","111","282","165","139",8.39,"100971",49.99,  0.54 m/s,260°
