X,Y,TimeStamp (UTC),"""TriggerID""","""Latitude""","""Longitude""","""Altitude (Meter AGL)""",Gimbal Roll,"""Gimbal Pitch""","""Gimbal Yaw""","""Drone Yaw""","""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter),wind_speed,wind_direction
695392.678772078,5912757.52580809,2022/12/21 12:46:58,"1",53.32789993,5.934307575,0.16,false,false,false,339.07,339.07,0.01,"623","33","63","330","83","144",10.44,"100802",58.34,  10.85 m/s,210°
695392.774042094,5912757.52972468,2022/12/21 12:46:59,"2",53.32789993,5.934309006,0.78,false,false,false,339.23,339.23,0.01,"623","33","62","330","83","144",10.42,"100772",66.7,  10.85 m/s,210°
695392.851781522,5912757.95844607,2022/12/21 12:46:59,"3",53.32790375,5.934310436,1.14,false,false,false,338.75,338.75,0.01,"589","28","63","330","83","144",10.4,"100755",66.7,  10.85 m/s,210°
695392.91529486,5912757.96105713,2022/12/21 12:47:01,"4",53.32790375,5.93431139,2.57,false,false,false,338.01,338.01,0.01,"575","26","62","330","83","143",10.36,"100737",66.7,  10.85 m/s,210°
695392.947051529,5912757.96236266,2022/12/21 12:47:02,"5",53.32790375,5.934311867,5.78,false,false,false,338.9,338.9,0.01,"543","21","61","330","83","143",10.33,"100707",66.7,  10.85 m/s,210°
695392.929633226,5912758.38605813,2022/12/21 12:47:03,"6",53.32790756,5.934311867,8.91,false,false,false,338.48,338.48,0.01,"534","20","61","329","83","143",10.28,"100650",75.07,  10.85 m/s,210°
695393.024836649,5912758.38997199,2022/12/21 12:47:04,"7",53.32790756,5.934313297,11.99,false,false,false,338.42,338.42,0.01,"537","20","59","329","83","142",10.2,"100619",75.07,  10.85 m/s,210°
695393.024836649,5912758.38997199,2022/12/21 12:47:04,"8",53.32790756,5.934313297,15.03,false,false,false,338.43,338.43,0.01,"530","19","59","329","82","143",10.11,"100580",83.45,  10.85 m/s,210°
695392.929633226,5912758.38605813,2022/12/21 12:47:04,"9",53.32790756,5.934311867,18.07,false,false,false,338.58,338.58,0.01,"506","16","59","328","83","142",10.05,"100545",83.45,  10.85 m/s,210°
695392.866119894,5912758.38344707,2022/12/21 12:47:07,"10",53.32790756,5.934310913,21.08,false,false,false,338.52,338.52,0.01,"502","15","59","329","82","142",9.99,"100512",83.45,  10.85 m/s,210°
695392.851781522,5912757.95844607,2022/12/21 12:47:08,"11",53.32790375,5.934310436,24.08,false,false,false,338.65,338.65,0.01,"496","14","58","330","82","142",9.96,"100476",91.83,  10.85 m/s,210°
695392.851781522,5912757.95844607,2022/12/21 12:47:09,"12",53.32790375,5.934310436,27.07,false,false,false,338.66,338.66,0.01,"506","16","57","328","83","142",9.89,"100438",91.83,  10.85 m/s,210°
695392.883538191,5912757.9597516,2022/12/21 12:47:10,"13",53.32790375,5.934310913,29.3,false,false,false,338.52,338.52,0.01,"506","16","57","328","82","142",9.83,"100417",91.83,  10.85 m/s,210°
695392.978808198,5912757.96366819,2022/12/21 12:47:11,"14",53.32790375,5.934312344,29.39,false,false,false,29.35,29.35,0.01,"506","16","56","327","82","142",9.79,"100418",91.83,  10.85 m/s,210°
695392.820024854,5912757.95714054,2022/12/21 12:47:12,"15",53.32790375,5.934309959,29.24,false,false,false,69.1,69.1,0.01,"519","18","56","329","82","141",9.73,"100469",91.83,  10.85 m/s,210°
695392.947051529,5912757.96236266,2022/12/21 12:47:13,"16",53.32790375,5.934311867,29.17,false,false,false,68.03,68.03,0.01,"534","20","56","331","82","141",9.75,"100460",91.83,  10.85 m/s,210°
695394.753389912,5912758.88655941,2022/12/21 12:47:14,"17",53.32791138,5.934339523,29.12,false,false,false,68.25,68.25,0.01,"543","21","56","330","82","141",9.76,"100462",91.83,  10.85 m/s,210°
695397.639121082,5912759.85513217,2022/12/21 12:47:15,"18",53.32791901,5.934383392,29.05,false,false,false,68.38,68.38,0.01,"567","25","56","330","82","142",9.77,"100460",91.83,  10.85 m/s,210°
695401.251860646,5912761.70353276,2022/12/21 12:47:16,"19",53.32793427,5.934438705,29,false,false,false,68.35,68.35,0.01,"555","23","55","330","82","141",9.77,"100466",91.83,  10.85 m/s,210°
695405.340859582,5912763.57040281,2022/12/21 12:47:17,"20",53.32794952,5.934501171,28.96,false,false,false,68.4,68.4,0.01,"555","23","55","330","82","141",9.74,"100464",91.83,  10.85 m/s,210°
695409.969472582,5912765.46057624,2022/12/21 12:47:18,"21",53.32796478,5.934571743,28.93,false,false,false,68.74,68.74,0.01,"555","23","56","330","82","141",9.73,"100465",91.83,  10.85 m/s,210°
695414.739332575,5912767.78208742,2022/12/21 12:47:19,"22",53.32798386,5.934644699,28.93,false,false,false,68.55,68.55,0.01,"561","24","55","330","82","141",9.75,"100465",91.83,  10.85 m/s,210°
695419.431451364,5912769.6748816,2022/12/21 12:47:20,"23",53.32799912,5.934716225,28.91,false,false,false,68.49,68.49,0.01,"575","26","55","330","81","141",9.76,"100465",91.83,  10.85 m/s,210°
695424.074322336,5912771.99006746,2022/12/21 12:47:21,"24",53.32801819,5.934787273,28.89,false,false,false,68.56,68.56,0.01,"567","25","54","330","82","141",9.77,"100465",91.83,  10.85 m/s,210°
695428.607717431,5912773.87634492,2022/12/21 12:47:22,"25",53.32803345,5.934856415,28.9,false,false,false,68.5,68.5,0.01,"567","25","55","330","82","141",9.8,"100468",91.83,  10.85 m/s,210°
695433.141042565,5912775.76262404,2022/12/21 12:47:23,"26",53.32804871,5.934925556,28.9,false,false,false,68.33,68.33,0.01,"561","24","55","330","82","140",9.79,"100465",91.83,  10.85 m/s,210°
695437.625251948,5912778.0712999,2022/12/21 12:47:24,"27",53.32806778,5.934994221,28.88,false,false,false,68.29,68.29,0.01,"567","25","55","330","81","140",9.79,"100469",91.83,  10.85 m/s,210°
695442.222082964,5912779.96019953,2022/12/21 12:47:25,"28",53.32808304,5.935064316,28.88,false,false,false,68.32,68.32,0.01,"575","26","55","330","81","141",9.79,"100473",91.83,  10.85 m/s,210°
695446.865000339,5912782.27541087,2022/12/21 12:47:26,"29",53.32810211,5.935135365,28.87,false,false,false,68.82,68.82,0.01,"572","26","54","330","82","141",9.76,"100473",91.83,  10.85 m/s,210°
695451.49351397,5912784.16562281,2022/12/21 12:47:27,"30",53.32811737,5.935205936,28.89,false,false,false,68.64,68.64,0.01,"561","24","54","330","81","141",9.77,"100474",91.83,  10.85 m/s,210°
695456.090400802,5912786.05453885,2022/12/21 12:47:28,"31",53.32813263,5.935276032,28.89,false,false,false,68.66,68.66,0.01,"555","23","53","330","81","140",9.75,"100469",91.83,  10.85 m/s,210°
695460.606280166,5912788.36454009,2022/12/21 12:47:29,"32",53.3281517,5.935345173,28.88,false,false,false,68.56,68.56,0.01,"555","23","53","329","81","141",9.71,"100471",91.83,  10.85 m/s,210°
695465.171336693,5912790.25215636,2022/12/21 12:47:30,"33",53.32816696,5.935414791,28.89,false,false,false,68.49,68.49,0.01,"555","23","54","329","81","141",9.64,"100471",91.83,  10.85 m/s,210°
695469.831659166,5912792.14369526,2022/12/21 12:47:31,"34",53.32818222,5.93548584,28.9,false,false,false,68.66,68.66,0.01,"572","26","53","330","81","140",9.62,"100467",91.83,  10.85 m/s,210°
695474.474552388,5912794.45893417,2022/12/21 12:47:32,"35",53.32820129,5.935556889,28.92,false,false,false,68.85,68.85,0.01,"555","23","53","330","81","141",9.61,"100466",91.83,  10.85 m/s,210°
695478.75385694,5912796.33481177,2022/12/21 12:47:33,"36",53.32821655,5.935622215,28.92,false,false,false,69.41,69.41,0.01,"552","23","53","330","81","141",9.61,"100474",91.83,  10.85 m/s,210°
695481.258606979,5912797.28776838,2022/12/21 12:47:34,"37",53.32822418,5.935660362,28.91,false,false,false,69.92,69.92,0.01,"552","23","53","329","81","141",9.6,"100469",91.83,  10.85 m/s,210°
695481.385632658,5912797.29299289,2022/12/21 12:47:35,"38",53.32822418,5.93566227,28.91,false,false,false,354.86,354.86,0.01,"552","23","52","330","81","140",9.58,"100410",91.83,  10.85 m/s,210°
695481.036378617,5912797.27862824,2022/12/21 12:47:36,"39",53.32822418,5.935657024,28.92,false,false,false,269.08,269.08,0.01,"555","23","53","331","81","140",9.56,"100402",91.83,  10.85 m/s,210°
695480.768130335,5912796.84318325,2022/12/21 12:47:37,"40",53.32822037,5.935652733,28.87,false,false,false,258.3,258.3,0.01,"543","21","52","330","81","140",9.44,"100402",91.83,  10.85 m/s,210°
695479.720501267,5912796.80009499,2022/12/21 12:47:38,"41",53.32822037,5.935636997,28.91,false,false,false,257.46,257.46,0.01,"537","20","52","330","81","141",9.34,"100410",91.83,  10.85 m/s,210°
695477.660207555,5912795.86541914,2022/12/21 12:47:39,"42",53.32821274,5.935605526,28.89,false,false,false,257.7,257.7,0.01,"526","19","52","330","81","141",9.19,"100399",100.22,  10.85 m/s,210°
695474.630127127,5912795.31527069,2022/12/21 12:47:40,"43",53.32820892,5.93555975,28.91,false,false,false,257.02,257.02,0.01,"523","18","52","331","81","141",9.09,"100409",91.83,  10.85 m/s,210°
695470.60153192,5912794.29964592,2022/12/21 12:47:41,"44",53.32820129,5.935498714,28.96,false,false,false,257.17,257.17,0.01,"530","19","52","331","81","141",9.03,"100393",100.22,  10.85 m/s,210°
695465.892051295,5912792.83161036,2022/12/21 12:47:42,"45",53.32818985,5.935427189,28.97,false,false,false,257.57,257.57,0.01,"523","18","52","330","81","141",8.93,"100396",100.22,  10.85 m/s,210°
695460.769800668,5912791.3466044,2022/12/21 12:47:43,"46",53.32817841,5.935349464,28.98,false,false,false,257.23,257.23,0.01,"514","17","52","330","81","141",8.85,"100386",100.22,  10.85 m/s,210°
695455.788905401,5912790.29182919,2022/12/21 12:47:44,"47",53.32817078,5.935274124,28.98,false,false,false,257.05,257.05,0.01,"506","16","51","330","81","140",8.74,"100389",100.22,  10.85 m/s,210°
695450.888990546,5912788.81486363,2022/12/21 12:47:45,"48",53.32815933,5.935199738,29,false,false,false,256.91,256.91,0.01,"506","16","51","331","81","141",8.64,"100391",100.22,  10.85 m/s,210°
695446.052473588,5912787.3416243,2022/12/21 12:47:46,"49",53.32814789,5.935126305,29,false,false,false,256.96,256.96,0.01,"514","17","51","331","81","141",8.57,"100392",100.22,  10.85 m/s,210°
695441.198531151,5912786.29208537,2022/12/21 12:47:47,"50",53.32814026,5.935052872,29.01,false,false,false,256.7,256.7,0.01,"519","18","51","330","81","140",8.5,"100387",100.22,  10.85 m/s,210°
695436.362054919,5912784.81774396,2022/12/21 12:47:48,"51",53.32812881,5.934979439,29.01,false,false,false,256.63,256.63,0.01,"498","14","51","331","80","140",8.41,"100394",100.22,  10.85 m/s,210°
695431.430260722,5912783.34060223,2022/12/21 12:47:49,"52",53.32811737,5.934904575,29.01,false,false,false,256.61,256.61,0.01,"496","14","51","331","81","140",8.35,"100396",100.22,  10.85 m/s,210°
695426.608068369,5912782.29238415,2022/12/21 12:47:50,"53",53.32810974,5.934831619,29.01,false,false,false,256.5,256.5,0.01,"492","14","51","331","80","140",8.29,"100400",91.83,  10.85 m/s,210°
695421.835051708,5912780.8217813,2022/12/21 12:47:51,"54",53.3280983,5.93475914,29.02,false,false,false,257.11,257.11,0.01,"496","14","50","331","81","140",8.22,"100388",100.22,  10.85 m/s,210°
695417.044611791,5912779.77487875,2022/12/21 12:47:52,"55",53.32809067,5.934686661,29.01,false,false,false,257.71,257.71,0.01,"506","16","50","331","80","140",8.14,"100382",100.22,  10.85 m/s,210°
695412.285860014,5912778.729284,2022/12/21 12:47:53,"56",53.32808304,5.934614658,29.01,false,false,false,257.45,257.45,0.01,"492","14","50","332","80","140",8.09,"100380",100.22,  10.85 m/s,210°
695407.481125355,5912777.25627802,2022/12/21 12:47:54,"57",53.32807159,5.934541702,29.04,false,false,false,257.7,257.7,0.01,"498","14","50","330","80","140",8.03,"100372",100.22,  10.85 m/s,210°
695402.658923001,5912776.20808449,2022/12/21 12:47:55,"58",53.32806396,5.934468746,29.03,false,false,false,257.68,257.68,0.01,"496","14","50","332","81","140",7.99,"100382",100.22,  10.85 m/s,210°
695397.631908325,5912774.7270642,2022/12/21 12:47:56,"59",53.32805252,5.934392452,29.06,false,false,false,257.38,257.38,0.01,"486","13","49","332","81","140",7.94,"100388",100.22,  10.85 m/s,210°
695392.795363643,5912773.25387975,2022/12/21 12:47:57,"60",53.32804108,5.934319019,29.09,false,false,false,256.96,256.96,0.01,"486","13","49","331","81","140",7.91,"100385",100.22,  10.85 m/s,210°
695387.877951732,5912772.20178752,2022/12/21 12:47:58,"61",53.32803345,5.934244633,29.11,false,false,false,257.41,257.41,0.01,"492","14","49","331","80","140",7.89,"100380",100.22,  10.85 m/s,210°
695383.055741116,5912771.15361409,2022/12/21 12:47:58,"62",53.32802582,5.934171677,29.12,false,false,false,257.79,257.79,0.01,"498","14","49","332","80","140",7.86,"100380",100.22,  10.85 m/s,210°
695378.250991444,5912769.68063803,2022/12/21 12:48:00,"63",53.32801437,5.934098721,29.12,false,false,false,257.38,257.38,0.01,"502","15","49","331","81","140",7.85,"100371",100.22,  10.85 m/s,210°
695373.446193355,5912768.20877895,2022/12/21 12:48:00,"64",53.32800293,5.934025765,29.09,false,false,false,257.04,257.04,0.01,"482","12","49","332","80","140",7.81,"100378",100.22,  10.85 m/s,210°
695368.655666402,5912767.16192295,2022/12/21 12:48:02,"65",53.3279953,5.933953285,29.07,false,false,false,257.46,257.46,0.01,"486","13","49","332","80","140",7.78,"100364",100.22,  10.85 m/s,210°
695363.81910674,5912765.68876836,2022/12/21 12:48:03,"66",53.32798386,5.933879852,29.08,false,false,false,257.48,257.48,0.01,"486","13","49","332","80","139",7.75,"100369",100.22,  10.85 m/s,210°
695358.933439,5912764.63801172,2022/12/21 12:48:04,"67",53.32797623,5.933805943,29.11,false,false,false,257.28,257.28,0.01,"492","14","49","333","80","139",7.73,"100377",100.22,  10.85 m/s,210°
695354.128676664,5912763.16506036,2022/12/21 12:48:05,"68",53.32796478,5.933732987,29.12,false,false,false,257.4,257.4,0.01,"502","15","48","333","80","140",7.71,"100381",100.22,  10.85 m/s,210°
695349.228596004,5912761.68931026,2022/12/21 12:48:06,"69",53.32795334,5.9336586,29.14,false,false,false,257.07,257.07,0.01,"492","14","48","333","80","140",7.71,"100383",100.22,  10.85 m/s,210°
695344.342855243,5912760.63856605,2022/12/21 12:48:07,"70",53.32794571,5.93358469,29.14,false,false,false,257.07,257.07,0.01,"492","14","49","333","80","140",7.71,"100383",100.22,  10.85 m/s,210°
695339.506282829,5912759.16543652,2022/12/21 12:48:08,"71",53.32793427,5.933511257,29.16,false,false,false,257.23,257.23,0.01,"496","14","48","333","80","140",7.7,"100385",100.22,  10.85 m/s,210°
695334.65229458,5912758.11600755,2022/12/21 12:48:09,"72",53.32792664,5.933437824,29.16,false,false,false,257.22,257.22,0.01,"492","14","48","333","80","140",7.69,"100382",100.22,  10.85 m/s,210°
695329.911032871,5912756.64569126,2022/12/21 12:48:10,"73",53.32791519,5.933365822,29.18,false,false,false,256.76,256.76,0.01,"486","13","49","334","80","140",7.67,"100374",100.22,  10.85 m/s,210°
695325.074452761,5912755.1725766,2022/12/21 12:48:11,"74",53.32790375,5.933292389,29.21,false,false,false,256.62,256.62,0.01,"486","13","48","332","80","139",7.63,"100385",100.22,  10.85 m/s,210°
695320.283971491,5912754.12577261,2022/12/21 12:48:12,"75",53.32789612,5.93321991,29.22,false,false,false,256.7,256.7,0.01,"482","12","48","334","80","141",7.61,"100379",100.22,  10.85 m/s,210°
695315.352162017,5912752.64764078,2022/12/21 12:48:13,"76",53.32788467,5.933145046,29.23,false,false,false,256.89,256.89,0.01,"482","12","48","333","81","139",7.59,"100381",100.22,  10.85 m/s,210°
695310.529919947,5912751.59954172,2022/12/21 12:48:13,"77",53.32787704,5.93307209,29.22,false,false,false,257.64,257.64,0.01,"482","12","48","333","80","140",7.56,"100376",100.22,  10.85 m/s,210°
695305.72508654,5912750.12775198,2022/12/21 12:48:15,"78",53.3278656,5.932999134,29.19,false,false,false,257.91,257.91,0.01,"486","13","48","333","80","140",7.54,"100364",100.22,  10.85 m/s,210°
695300.871083658,5912749.07835787,2022/12/21 12:48:16,"79",53.32785797,5.932925701,29.24,false,false,false,257.69,257.69,0.01,"480","12","48","334","80","139",7.52,"100371",100.22,  10.85 m/s,210°
