X,Y,TimeStamp (UTC),"""TriggerID""","""Latitude""","""Longitude""","""Altitude (Meter AGL)""",Gimbal Roll,"""Gimbal Pitch""","""Gimbal Yaw""","""Drone Yaw""","""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter),wind_speed,wind_direction
695404.692610895,5912749.94587048,2022/12/22 10:38:48,"1",53.32782745,5.934483051,0.13,false,false,false,80.91,80.91,0.01,"478","11","70","309","139","143",12.92,"100414",91.83,  2.64 m/s,230°
695404.502137124,5912749.93803958,2022/12/22 10:38:49,"2",53.32782745,5.93448019,0.77,false,false,false,80.75,80.75,0.01,"481","12","70","308","139","143",12.88,"100414",91.83,  2.64 m/s,230°
695404.438690252,5912749.9354311,2022/12/22 10:38:50,"3",53.32782745,5.934479237,1.11,false,false,false,80.56,80.56,0.01,"488","13","69","309","139","143",12.85,"100414",91.83,  2.64 m/s,230°
695404.438690252,5912749.9354311,2022/12/22 10:38:51,"4",53.32782745,5.934479237,2.6,false,false,false,80.26,80.26,0.01,"475","11","69","308","138","142",12.83,"100390",100.22,  2.64 m/s,230°
695404.597407297,5912749.9419564,2022/12/22 10:38:52,"5",53.32782745,5.934481621,5.78,false,false,false,80.67,80.67,0.01,"459","8","69","308","139","142",12.77,"100356",100.22,  2.64 m/s,230°
695404.756124343,5912749.9484817,2022/12/22 10:38:53,"6",53.32782745,5.934484005,8.91,false,false,false,80.97,80.97,0.01,"456","8","67","308","138","140",12.67,"100325",100.22,  2.64 m/s,230°
695404.833929479,5912750.37720604,2022/12/22 10:38:54,"7",53.32783127,5.934485436,11.95,false,false,false,81.07,81.07,0.01,"456","8","67","308","137","140",12.63,"100290",108.61,  2.64 m/s,230°
695404.865619624,5912750.37850891,2022/12/22 10:38:55,"8",53.32783127,5.934485912,14.98,false,false,false,80.96,80.96,0.01,"461","9","66","308","137","139",12.57,"100249",108.61,  2.64 m/s,230°
695404.865619624,5912750.37850891,2022/12/22 10:38:55,"9",53.32783127,5.934485912,17.88,false,false,false,81.34,81.34,0.01,"447","7","66","307","137","140",12.49,"100215",108.61,  2.64 m/s,230°
695404.865619624,5912750.37850891,2022/12/22 10:38:57,"10",53.32783127,5.934485912,18.83,false,false,false,77.46,77.46,0.01,"452","7","64","307","137","140",12.49,"100194",117.01,  2.64 m/s,230°
695404.770416036,5912750.37459482,2022/12/22 10:38:58,"11",53.32783127,5.934484482,18.66,false,false,false,59.9,59.9,0.01,"442","6","63","305","135","141",12.43,"100178",117.01,  8.01 m/s,225°
695405.278323852,5912750.39547637,2022/12/22 10:38:58,"12",53.32783127,5.934492111,18.55,false,false,false,59.6,59.6,0.01,"418","2","63","308","136","140",12.28,"100170",117.01,  8.01 m/s,225°
695407.716469572,5912752.19559068,2022/12/22 10:38:58,"13",53.32784653,5.934529781,18.44,false,false,false,60.16,60.16,0.01,"418","2","62","308","136","141",12.16,"100192",117.01,  8.01 m/s,225°
695411.075291402,5912754.03355913,2022/12/22 10:39:01,"14",53.32786179,5.93458128,18.36,false,false,false,60.61,60.61,0.01,"417","2","61","307","136","140",12.16,"100202",108.61,  8.01 m/s,225°
695415.224611125,5912756.75285479,2022/12/22 10:39:02,"15",53.32788467,5.934645176,18.32,false,false,false,60.68,60.68,0.01,"418","2","61","308","135","140",12.17,"100201",108.61,  8.01 m/s,225°
695419.818340593,5912759.49154069,2022/12/22 10:39:03,"16",53.32790756,5.934715748,18.3,false,false,false,60.63,60.63,0.01,"438","5","61","307","135","140",12.19,"100205",108.61,  8.01 m/s,225°
695424.316794969,5912762.22631394,2022/12/22 10:39:04,"17",53.32793045,5.934784889,18.29,false,false,false,60.66,60.66,0.01,"427","4","60","307","135","140",12.18,"100209",108.61,  8.01 m/s,225°
695428.70575161,5912764.53106374,2022/12/22 10:39:05,"18",53.32794952,5.934852123,18.29,false,false,false,60.55,60.55,0.01,"427","4","60","307","134","140",12.17,"100207",108.61,  8.01 m/s,225°
