X,Y,TimeStamp (UTC),"""TriggerID""","""Latitude""","""Longitude""","""Altitude (Meter AGL)""",Gimbal Roll,"""Gimbal Pitch""","""Gimbal Yaw""","""Drone Yaw""","""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter),wind_speed,wind_direction
695392.047030421,5912756.64989997,2022/12/12 10:56:05,"41",53.3278923,5.934297562,0,false,false,false,309.29,309.29,0.01,"759","54","143","302","169","152",3.04,"101350",16.64,  2.02 m/s,170°
695392.047030421,5912756.64989997,2022/12/12 10:56:06,"42",53.3278923,5.934297562,0,false,false,false,309.28,309.28,0.01,"759","54","142","302","169","151",3.09,"101352",16.64,  2.02 m/s,170°
695392.047030421,5912756.64989997,2022/12/12 10:56:07,"43",53.3278923,5.934297562,0,false,false,false,309.28,309.28,0.01,"740","51","142","302","169","151",3.12,"101353",16.64,  2.02 m/s,170°
695392.047030421,5912756.64989997,2022/12/12 10:56:08,"44",53.3278923,5.934297562,0,false,false,false,309.29,309.29,0.01,"740","51","141","302","169","151",3.12,"101357",16.64,  2.02 m/s,170°
695392.047030421,5912756.64989997,2022/12/12 10:56:09,"45",53.3278923,5.934297562,0,false,false,false,309.3,309.3,0.01,"748","53","140","301","169","150",3.14,"101350",16.64,  2.02 m/s,170°
695392.047030421,5912756.64989997,2022/12/12 10:56:10,"46",53.3278923,5.934297562,0,false,false,false,309.27,309.27,0.01,"740","51","140","301","169","150",3.17,"101348",16.64,  2.02 m/s,170°
695392.047030421,5912756.64989997,2022/12/12 10:56:11,"47",53.3278923,5.934297562,0,false,false,false,309.29,309.29,0.01,"732","50","139","301","169","150",3.16,"101346",16.64,  2.02 m/s,170°
695392.047030421,5912756.64989997,2022/12/12 10:56:12,"48",53.3278923,5.934297562,0.02,false,false,false,308.33,308.33,0.01,"748","53","137","301","168","150",3.17,"101346",16.64,  2.02 m/s,170°
695392.015273744,5912756.64859445,2022/12/12 10:56:13,"49",53.3278923,5.934297085,0.58,false,false,false,308.12,308.12,0.01,"697","45","136","300","168","150",3.16,"101341",16.64,  2.02 m/s,170°
695391.983517066,5912756.64728892,2022/12/12 10:56:14,"50",53.3278923,5.934296608,1.05,false,false,false,308.02,308.02,0.01,"688","43","135","300","168","149",3.14,"101334",16.64,  2.02 m/s,170°
695391.951760388,5912756.6459834,2022/12/12 10:56:15,"51",53.3278923,5.934296131,1.86,false,false,false,307.75,307.75,0.01,"688","43","134","299","168","148",3.17,"101324",16.64,  2.43 m/s,191°
695391.951760388,5912756.6459834,2022/12/12 10:56:16,"52",53.3278923,5.934296131,4.81,false,false,false,308.04,308.04,0.01,"678","42","132","300","167","149",3.16,"101282",24.96,  2.43 m/s,191°
695391.920003711,5912756.64467788,2022/12/12 10:56:16,"53",53.3278923,5.934295654,7.98,false,false,false,308.13,308.13,0.01,"688","43","132","302","167","148",3.12,"101240",24.96,  2.43 m/s,191°
695391.951760388,5912756.6459834,2022/12/12 10:56:18,"54",53.3278923,5.934296131,11.05,false,false,false,308.07,308.07,0.01,"660","39","131","301","167","148",3.14,"101208",24.96,  2.43 m/s,191°
695391.983517066,5912756.64728892,2022/12/12 10:56:19,"55",53.3278923,5.934296608,14.08,false,false,false,308.28,308.28,0.01,"671","41","131","300","167","149",3.17,"101167",33.3,  2.43 m/s,191°
695391.983517066,5912756.64728892,2022/12/12 10:56:20,"56",53.3278923,5.934296608,17.1,false,false,false,308.17,308.17,0.01,"643","37","129","301","167","148",3.15,"101132",33.3,  2.43 m/s,191°
695391.951760388,5912756.6459834,2022/12/12 10:56:20,"57",53.3278923,5.934296131,19.25,false,false,false,308.29,308.29,0.01,"643","37","129","302","166","148",3.09,"101101",33.3,  2.43 m/s,191°
695391.888313609,5912756.64337509,2022/12/12 10:56:22,"58",53.3278923,5.934295178,19.32,false,false,false,356.61,356.61,0.01,"671","41","128","302","166","149",3.11,"101102",33.3,  2.43 m/s,191°
695391.856556931,5912756.64206957,2022/12/12 10:56:23,"59",53.3278923,5.934294701,19.12,false,false,false,68.44,68.44,0.01,"643","37","127","301","166","149",3.09,"101107",33.3,  2.43 m/s,191°
695391.951760388,5912756.6459834,2022/12/12 10:56:24,"60",53.3278923,5.934296131,19.01,false,false,false,68.94,68.94,0.01,"650","38","127","301","166","149",3.12,"101109",33.3,  2.43 m/s,191°
695393.299367445,5912757.12690948,2022/12/12 10:56:25,"61",53.32789612,5.934316635,18.96,false,false,false,68.74,68.74,0.01,"650","38","126","301","166","149",3.16,"101110",33.3,  2.43 m/s,191°
695395.882004524,5912758.50743231,2022/12/12 10:56:26,"62",53.32790756,5.934356213,18.95,false,false,false,69.13,69.13,0.01,"643","37","125","300","165","148",3.12,"101102",33.3,  2.43 m/s,191°
695399.099461271,5912759.91516908,2022/12/12 10:56:27,"63",53.32791901,5.934405327,18.93,false,false,false,68.68,68.68,0.01,"660","39","125","300","165","148",3.04,"101103",33.3,  2.43 m/s,191°
695402.920138518,5912761.34659411,2022/12/12 10:56:28,"64",53.32793045,5.934463501,18.89,false,false,false,68.7,68.7,0.01,"633","35","125","300","166","148",3.01,"101104",33.3,  2.43 m/s,191°
695407.49957831,5912763.65915494,2022/12/12 10:56:29,"65",53.32794952,5.934533596,18.87,false,false,false,68.59,68.59,0.01,"637","36","124","300","166","148",2.98,"101111",33.3,  2.43 m/s,191°
695412.382176893,5912765.55977304,2022/12/12 10:56:30,"66",53.32796478,5.934607983,18.87,false,false,false,70.23,70.23,0.01,"633","35","123","300","165","147",2.93,"101096",41.64,  3.24 m/s,157°
695417.010785528,5912767.44995344,2022/12/12 10:56:31,"67",53.32798004,5.934678555,18.88,false,false,false,69.19,69.19,0.01,"623","33","124","300","165","146",2.88,"101088",41.64,  3.24 m/s,157°
695421.748883861,5912769.77016608,2022/12/12 10:56:32,"68",53.32799912,5.934751034,18.85,false,false,false,68.55,68.55,0.01,"633","35","123","299","165","147",2.8,"101100",33.3,  3.24 m/s,157°
695426.377530834,5912771.65924372,2022/12/12 10:56:32,"69",53.32801437,5.934821606,18.83,false,false,false,68.63,68.63,0.01,"623","33","122","299","164","146",2.75,"101110",33.3,  3.24 m/s,157°
695430.925147981,5912773.97163392,2022/12/12 10:56:34,"70",53.32803345,5.934891224,18.82,false,false,false,68.97,68.97,0.01,"615","32","123","298","165","146",2.73,"101103",33.3,  3.24 m/s,157°
695435.236242929,5912775.8487773,2022/12/12 10:56:35,"71",53.32804871,5.934957027,18.85,false,false,false,68.96,68.96,0.01,"607","31","122","299","165","146",2.67,"101105",33.3,  3.66 m/s,162°
695439.991905426,5912777.74309172,2022/12/12 10:56:35,"72",53.32806396,5.935029507,18.85,false,false,false,69.04,69.04,0.01,"607","31","122","298","164","145",2.64,"101106",33.3,  3.66 m/s,162°
695444.461709853,5912779.62677014,2022/12/12 10:56:37,"73",53.32807922,5.935097694,18.85,false,false,false,68.99,68.99,0.01,"615","32","121","298","163","145",2.6,"101099",41.64,  3.66 m/s,162°
695449.136337409,5912781.94440166,2022/12/12 10:56:38,"74",53.3280983,5.93516922,18.86,false,false,false,69.12,69.12,0.01,"607","31","121","299","164","145",2.54,"101096",41.64,  3.66 m/s,162°
695453.764917191,5912783.83461855,2022/12/12 10:56:39,"75",53.32811356,5.935239792,18.86,false,false,false,68.87,68.87,0.01,"594","29","120","298","164","145",2.52,"101104",33.3,  3.66 m/s,162°
695458.425295741,5912785.72503395,2022/12/12 10:56:40,"76",53.32812881,5.935310841,18.86,false,false,false,68.93,68.93,0.01,"594","29","121","298","163","144",2.48,"101105",33.3,  3.66 m/s,162°
695463.053868595,5912787.61526006,2022/12/12 10:56:41,"77",53.32814407,5.935381413,18.85,false,false,false,68.74,68.74,0.01,"588","28","120","297","163","144",2.49,"101112",33.3,  3.66 m/s,162°
695467.569697719,5912789.92638008,2022/12/12 10:56:41,"78",53.32816315,5.935450554,18.85,false,false,false,68.42,68.42,0.01,"600","30","118","297","162","144",2.46,"101110",33.3,  3.66 m/s,162°
695472.007791115,5912791.80878163,2022/12/12 10:56:43,"79",53.32817841,5.935518265,18.85,false,false,false,68.85,68.85,0.01,"607","31","118","297","163","144",2.46,"101110",33.3,  3.66 m/s,162°
695475.874510686,5912793.6665739,2022/12/12 10:56:44,"80",53.32819366,5.935577393,18.85,false,false,false,69.9,69.9,0.01,"588","28","117","297","163","144",2.47,"101107",33.3,  3.66 m/s,162°
695476.999871449,5912794.13838426,2022/12/12 10:56:45,"81",53.32819748,5.935594559,18.78,false,false,false,43.42,43.42,0.01,"588","28","117","297","161","144",2.5,"101113",33.3,  3.66 m/s,162°
