X,Y,TimeStamp (UTC),"""TriggerID""","""Latitude""","""Longitude""","""Altitude (Meter AGL)""",Gimbal Roll,"""Gimbal Pitch""","""Gimbal Yaw""","""Drone Yaw""","""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter),wind_speed,wind_direction
695392.932758877,5912757.53624959,2022/12/21 12:12:47,"1",53.32789993,5.93431139,0.26,false,false,false,346.25,346.25,0.01,"466","10","99","321","153","150",10.67,"100825",58.34,  7.07 m/s,201°
695392.932758877,5912757.53624959,2022/12/21 12:12:48,"2",53.32789993,5.93431139,0.84,false,false,false,345.32,345.32,0.01,"466","10","99","321","152","150",10.62,"100796",66.7,  7.07 m/s,201°
695392.978808198,5912757.96366819,2022/12/21 12:12:49,"3",53.32790375,5.934312344,1.18,false,false,false,345.4,345.4,0.01,"463","9","98","321","152","150",10.62,"100790",66.7,  7.07 m/s,201°
695393.042254961,5912757.96627651,2022/12/21 12:12:50,"4",53.32790375,5.934313297,2.81,false,false,false,345.08,345.08,0.01,"451","7","98","320","152","150",10.6,"100772",66.7,  7.07 m/s,201°
695393.042254961,5912757.96627651,2022/12/21 12:12:51,"5",53.32790375,5.934313297,6.05,false,false,false,345.12,345.12,0.01,"444","6","96","316","151","149",10.57,"100736",66.7,  7.07 m/s,201°
695392.947051529,5912757.96236266,2022/12/21 12:12:52,"6",53.32790375,5.934311867,9.19,false,false,false,345.39,345.39,0.01,"442","6","95","315","151","149",10.49,"100696",75.07,  7.07 m/s,201°
695392.91529486,5912757.96105713,2022/12/21 12:12:53,"7",53.32790375,5.93431139,12.14,false,false,false,345.72,345.72,0.01,"438","5","94","322","150","149",10.45,"100661",75.07,  7.07 m/s,201°
695392.91529486,5912757.96105713,2022/12/21 12:12:53,"8",53.32790375,5.93431139,15.26,false,false,false,345.45,345.45,0.01,"433","5","94","323","151","148",10.38,"100620",75.07,  7.07 m/s,201°
695392.978808198,5912757.96366819,2022/12/21 12:12:55,"9",53.32790375,5.934312344,18.23,false,false,false,345.67,345.67,0.01,"433","5","93","322","151","149",10.35,"100583",83.45,  7.07 m/s,201°
695393.042254961,5912757.96627651,2022/12/21 12:12:56,"10",53.32790375,5.934313297,19.37,false,false,false,347.02,347.02,0.01,"423","3","93","322","150","149",10.34,"100577",83.45,  7.07 m/s,201°
695392.947051529,5912757.96236266,2022/12/21 12:12:57,"11",53.32790375,5.934311867,19.21,false,false,false,63.18,63.18,0.01,"425","3","92","322","149","149",10.32,"100597",83.45,  8.08 m/s,214°
695392.851781522,5912757.95844607,2022/12/21 12:12:58,"12",53.32790375,5.934310436,19.07,false,false,false,69.08,69.08,0.01,"433","5","92","322","149","148",10.32,"100600",75.07,  8.08 m/s,214°
695393.723283575,5912758.41868551,2022/12/21 12:12:59,"13",53.32790756,5.934323788,19,false,false,false,68.62,68.62,0.01,"438","5","91","321","149","149",10.31,"100600",75.07,  8.08 m/s,214°
695396.259825099,5912759.37290201,2022/12/21 12:13:00,"14",53.32791519,5.934362412,18.91,false,false,false,69.47,69.47,0.01,"451","7","91","321","149","148",10.3,"100600",75.07,  8.08 m/s,214°
695399.826471151,5912760.79499491,2022/12/21 12:13:01,"15",53.32792664,5.934416771,18.88,false,false,false,69.09,69.09,0.01,"442","6","91","321","148","148",10.3,"100599",83.45,  8.08 m/s,214°
695403.820201465,5912762.65794689,2022/12/21 12:13:01,"16",53.32794189,5.934477806,18.88,false,false,false,69.1,69.1,0.01,"442","6","90","320","148","149",10.28,"100600",75.07,  8.08 m/s,214°
695408.321855962,5912764.54289901,2022/12/21 12:13:03,"17",53.32795715,5.934546471,18.87,false,false,false,69.06,69.06,0.01,"442","6","89","321","149","148",10.26,"100602",75.07,  8.08 m/s,214°
695413.077426869,5912766.43829532,2022/12/21 12:13:04,"18",53.32797241,5.93461895,18.85,false,false,false,69.68,69.68,0.01,"444","6","89","321","148","148",10.25,"100608",75.07,  8.08 m/s,214°
695417.974244348,5912768.76502973,2022/12/21 12:13:05,"19",53.32799149,5.934693813,18.84,false,false,false,69.45,69.45,0.01,"451","7","88","321","148","148",10.25,"100606",75.07,  8.08 m/s,214°
695422.793366553,5912770.66193528,2022/12/21 12:13:06,"20",53.32800674,5.934767246,18.82,false,false,false,69.54,69.54,0.01,"447","7","88","320","148","147",10.25,"100605",75.07,  8.08 m/s,214°
695427.421966549,5912772.55212603,2022/12/21 12:13:07,"21",53.328022,5.934837818,18.83,false,false,false,69.39,69.39,0.01,"444","6","88","321","147","147",10.27,"100602",75.07,  8.08 m/s,214°
695432.018806522,5912774.44101557,2022/12/21 12:13:08,"22",53.32803726,5.934907913,18.83,false,false,false,69.63,69.63,0.01,"444","6","87","321","147","147",10.28,"100603",75.07,  8.08 m/s,214°
695436.55219653,5912776.32730073,2022/12/21 12:13:09,"23",53.32805252,5.934977055,18.84,false,false,false,69.51,69.51,0.01,"444","6","88","320","147","147",10.26,"100605",75.07,  8.08 m/s,214°
695440.768084317,5912778.2005345,2022/12/21 12:13:10,"24",53.32806778,5.935041428,18.85,false,false,false,69.12,69.12,0.01,"451","7","87","321","147","147",10.24,"100602",75.07,  8.08 m/s,214°
695445.474450586,5912780.5183534,2022/12/21 12:13:11,"25",53.32808685,5.93511343,18.84,false,false,false,69.2,69.2,0.01,"447","7","86","320","147","147",10.22,"100607",75.07,  8.08 m/s,214°
695449.912560524,5912782.40073391,2022/12/21 12:13:12,"26",53.32810211,5.935181141,18.83,false,false,false,69.68,69.68,0.01,"442","6","87","320","147","147",10.2,"100604",75.07,  5.50 m/s,192°
695454.668099019,5912784.29617262,2022/12/21 12:13:12,"27",53.32811737,5.93525362,18.86,false,false,false,69.62,69.62,0.01,"442","6","86","321","147","147",10.13,"100604",75.07,  5.50 m/s,192°
695459.391944045,5912786.19031294,2022/12/21 12:13:14,"28",53.32813263,5.935325623,18.85,false,false,false,69.73,69.73,0.01,"442","6","86","321","146","147",10.11,"100603",75.07,  5.50 m/s,192°
695464.147475444,5912788.08576131,2022/12/21 12:13:15,"29",53.32814789,5.935398102,18.81,false,false,false,69.1,69.1,0.01,"444","6","86","320","146","148",10.09,"100604",75.07,  5.50 m/s,192°
695468.949090969,5912790.40752198,2022/12/21 12:13:16,"30",53.32816696,5.935471535,18.81,false,false,false,69.45,69.45,0.01,"451","7","86","321","146","148",10.06,"100610",75.07,  5.50 m/s,192°
695473.482386216,5912792.29384032,2022/12/21 12:13:17,"31",53.32818222,5.935540676,18.82,false,false,false,69.98,69.98,0.01,"444","6","85","320","145","148",10.1,"100608",75.07,  8.83 m/s,195°
695476.699845325,5912793.70051862,2022/12/21 12:13:18,"32",53.32819366,5.93558979,18.81,false,false,false,70.12,70.12,0.01,"442","6","86","321","145","147",10.07,"100608",75.07,  8.83 m/s,195°
695477.144302375,5912793.7187985,2022/12/21 12:13:19,"33",53.32819366,5.935596466,18.79,false,false,false,21.67,21.67,0.01,"438","5","85","317","145","148",10.05,"100583",83.45,  8.83 m/s,195°
695476.668155458,5912793.69921526,2022/12/21 12:13:20,"34",53.32819366,5.935589314,18.8,false,false,false,293.91,293.91,0.01,"433","5","85","321","145","148",10.03,"100576",83.45,  8.83 m/s,195°
695476.350657604,5912793.68615705,2022/12/21 12:13:21,"35",53.32819366,5.935584545,18.81,false,false,false,256.73,256.73,0.01,"442","6","85","321","145","147",9.99,"100566",83.45,  8.83 m/s,195°
695475.542682246,5912793.2285143,2022/12/21 12:13:22,"36",53.32818985,5.935572147,18.82,false,false,false,256.07,256.07,0.01,"423","3","85","321","145","147",9.86,"100565",83.45,  8.83 m/s,195°
695473.591940606,5912792.72387203,2022/12/21 12:13:23,"37",53.32818604,5.935542584,18.84,false,false,false,255.93,255.93,0.01,"421","3","84","321","145","147",9.74,"100559",83.45,  8.83 m/s,195°
695470.484013883,5912791.74611271,2022/12/21 12:13:24,"38",53.32817841,5.935495377,18.81,false,false,false,254.96,254.96,0.01,"421","3","84","320","145","147",9.63,"100565",83.45,  8.83 m/s,195°
695466.949099502,5912790.32526906,2022/12/21 12:13:25,"39",53.32816696,5.935441494,18.83,false,false,false,254.87,254.87,0.01,"413","1","83","321","144","147",9.52,"100561",83.45,  8.83 m/s,195°
695462.888808856,5912789.30834767,2022/12/21 12:13:26,"40",53.32815933,5.935379982,18.8,false,false,false,255.18,255.18,0.01,"421","3","83","321","144","146",9.42,"100557",83.45,  8.83 m/s,195°
695458.179254683,5912787.84031718,2022/12/21 12:13:27,"41",53.32814789,5.935308456,18.77,false,false,false,255.4,255.4,0.01,"407","1","82","321","144","147",9.26,"100550",83.45,  8.83 m/s,195°
695453.103152393,5912786.78162971,2022/12/21 12:13:28,"42",53.32814026,5.935231686,18.71,false,false,false,256.2,256.2,0.01,"400","0","82","321","143","147",9.1,"100531",83.45,  8.83 m/s,195°
695448.012694197,5912785.29683161,2022/12/21 12:13:29,"43",53.32812881,5.935154438,18.69,false,false,false,256.38,256.38,0.01,"403","0","82","320","143","146",8.97,"100532",83.45,  8.83 m/s,195°
695443.222217208,5912784.25101452,2022/12/21 12:13:30,"44",53.32812119,5.935081959,18.69,false,false,false,256.28,256.28,0.01,"400","0","81","321","143","146",8.84,"100530",83.45,  8.83 m/s,195°
695438.449252355,5912782.77928277,2022/12/21 12:13:31,"45",53.32810974,5.93500948,18.7,false,false,false,255.94,255.94,0.01,"400","0","81","321","143","147",8.73,"100542",83.45,  8.83 m/s,195°
695433.549213012,5912781.30344471,2022/12/21 12:13:32,"46",53.3280983,5.934935093,18.71,false,false,false,255.34,255.34,0.01,"408","1","81","322","143","146",8.66,"100546",83.45,  8.83 m/s,195°
695428.680973166,5912779.82780549,2022/12/21 12:13:33,"47",53.32808685,5.934861183,18.7,false,false,false,255.54,255.54,0.01,"403","0","80","322","143","147",8.59,"100546",83.45,  8.83 m/s,195°
695423.590522243,5912778.34414868,2022/12/21 12:13:34,"48",53.32807541,5.934783936,18.65,false,false,false,255.26,255.26,0.01,"403","0","80","322","143","146",8.53,"100545",83.45,  8.83 m/s,195°
695419.00795262,5912776.88026568,2022/12/21 12:13:35,"49",53.32806396,5.934714317,18.65,false,false,false,255.32,255.32,0.01,"408","1","80","321","143","146",8.47,"100544",83.45,  8.83 m/s,195°
695414.203171959,5912775.40836496,2022/12/21 12:13:36,"50",53.32805252,5.934641361,18.61,false,false,false,255.44,255.44,0.01,"405","0","80","322","142","146",8.38,"100529",83.45,  8.83 m/s,195°
695409.43014516,5912773.93777481,2022/12/21 12:13:37,"51",53.32804108,5.934568882,18.58,false,false,false,255.98,255.98,0.01,"413","1","79","321","142","147",8.33,"100534",83.45,  9.20 m/s,196°
695404.59364825,5912772.46346624,2022/12/21 12:13:38,"52",53.32802963,5.934495449,18.56,false,false,false,255.94,255.94,0.01,"400","0","79","321","141","146",8.28,"100542",83.45,  9.20 m/s,196°
695399.771440495,5912771.41527577,2022/12/21 12:13:39,"53",53.328022,5.934422493,18.54,false,false,false,255.96,255.96,0.01,"400","0","78","323","141","146",8.23,"100537",83.45,  9.20 m/s,196°
695394.903136281,5912769.94078367,2022/12/21 12:13:40,"54",53.32801056,5.934348583,18.51,false,false,false,255.2,255.2,0.01,"400","0","78","322","141","146",8.19,"100547",83.45,  9.20 m/s,196°
695390.08404975,5912768.04279458,2022/12/21 12:13:41,"55",53.3279953,5.93427515,18.49,false,false,false,255.15,255.15,0.01,"400","0","77","322","141","146",8.14,"100544",83.45,  9.20 m/s,196°
695385.247496235,5912766.56961803,2022/12/21 12:13:42,"56",53.32798386,5.934201717,18.48,false,false,false,255.23,255.23,0.01,"411","1","76","321","141","146",8.1,"100543",83.45,  7.67 m/s,196°
695380.457036005,5912765.52275286,2022/12/21 12:13:43,"57",53.32797623,5.934129238,18.46,false,false,false,255.09,255.09,0.01,"400","0","76","323","141","146",8.07,"100544",83.45,  7.67 m/s,196°
695375.479223448,5912763.61825431,2022/12/21 12:13:44,"58",53.32796097,5.934053421,18.45,false,false,false,255.22,255.22,0.01,"402","0","76","323","141","146",8.03,"100540",83.45,  7.67 m/s,196°
695370.783962001,5912762.57531251,2022/12/21 12:13:45,"59",53.32795334,5.933982372,18.4,false,false,false,255.95,255.95,0.01,"400","0","77","322","140","145",7.98,"100539",83.45,  7.67 m/s,196°
695365.947443771,5912761.10104379,2022/12/21 12:13:46,"60",53.32794189,5.933908939,18.39,false,false,false,256.51,256.51,0.01,"400","0","76","322","140","146",7.94,"100528",83.45,  7.67 m/s,196°
695361.283955821,5912760.06053163,2022/12/21 12:13:47,"61",53.32793427,5.933838368,18.35,false,false,false,256.84,256.84,0.01,"410","1","76","322","140","145",7.92,"100528",83.45,  10.95 m/s,194°
695356.415675983,5912758.58496741,2022/12/21 12:13:48,"62",53.32792282,5.933764458,18.34,false,false,false,256.31,256.31,0.01,"406","0","75","323","140","146",7.9,"100532",83.45,  10.95 m/s,194°
695351.38863093,5912757.10399678,2022/12/21 12:13:49,"63",53.32791138,5.933688164,18.32,false,false,false,256.12,256.12,0.01,"403","0","75","322","140","146",7.89,"100533",83.45,  10.95 m/s,194°
