X,Y,TimeStamp (UTC),"""TriggerID""","""Latitude""","""Longitude""","""Altitude (Meter AGL)""",Gimbal Roll,"""Gimbal Pitch""","""Gimbal Yaw""","""Drone Yaw""","""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter),wind_speed,wind_direction
695392.078787099,5912756.6512055,2022/12/12 10:12:40,"1186",53.3278923,5.934298039,0,false,false,false,349.07,349.07,0.01,"432","4","159","274","197","135",8.29,"101360",16.64,  2.10 m/s,203°
695392.078787099,5912756.6512055,2022/12/12 10:12:40,"1187",53.3278923,5.934298039,0.01,false,false,false,348.65,348.65,0.01,"416","2","158","274","197","134",8.23,"101348",16.64,  2.10 m/s,203°
695391.983517066,5912756.64728892,2022/12/12 10:12:42,"1188",53.3278923,5.934296608,0.41,false,false,false,346.85,346.85,0.01,"423","3","156","274","198","134",8.09,"101356",16.64,  2.10 m/s,203°
695391.983517066,5912756.64728892,2022/12/12 10:12:43,"1189",53.3278923,5.934296608,1.69,false,false,false,346.82,346.82,0.01,"415","2","156","274","197","134",8.12,"101336",16.64,  2.10 m/s,203°
695391.951760388,5912756.6459834,2022/12/12 10:12:44,"1190",53.3278923,5.934296131,3.83,false,false,false,347.11,347.11,0.01,"415","2","155","274","197","134",8.13,"101316",16.64,  2.10 m/s,203°
695391.951760388,5912756.6459834,2022/12/12 10:12:45,"1191",53.3278923,5.934296131,4.62,false,false,false,346.8,346.8,0.01,"411","1","153","274","197","133",8.11,"101302",16.64,  2.10 m/s,203°
695391.983517066,5912756.64728892,2022/12/12 10:12:45,"1192",53.3278923,5.934296608,4.57,false,false,false,346.97,346.97,0.01,"401","0","152","274","197","133",8.01,"101304",16.64,  2.10 m/s,203°
695392.015273744,5912756.64859445,2022/12/12 10:12:47,"1193",53.3278923,5.934297085,4.55,false,false,false,347.17,347.17,0.01,"405","0","151","274","197","133",7.94,"101304",16.64,  2.10 m/s,203°
695392.364464046,5912756.66294975,2022/12/12 10:12:48,"1194",53.3278923,5.93430233,4.55,false,false,false,347.42,347.42,0.01,"408","1","151","275","197","133",7.87,"101305",16.64,  2.10 m/s,203°
695392.4279774,5912756.6655608,2022/12/12 10:12:49,"1195",53.3278923,5.934303284,4.57,false,false,false,347.55,347.55,0.01,"400","0","149","274","197","133",7.84,"101300",16.64,  2.10 m/s,203°
695392.269260588,5912756.65903591,2022/12/12 10:12:50,"1196",53.3278923,5.9343009,4.58,false,false,false,347.43,347.43,0.01,"400","0","147","274","196","132",7.8,"101302",16.64,  2.10 m/s,203°
