Flight time,Altitude,Wind Direction,Wind Speed
00m 10s,14.7 m,201°,  7.07 m/s
00m 25s,18.8 m,214°,  8.08 m/s
00m 30s,18.8 m,192°,  5.50 m/s
00m 50s,18.6 m,195°,  8.83 m/s
00m 55s,18.5 m,196°,  9.20 m/s
01m 00s,18.4 m,196°,  7.67 m/s
01m 05s,18.3 m,194°,  10.95 m/s
01m 10s,18.2 m,197°,  9.87 m/s
01m 15s,18.1 m,199°,  11.56 m/s
01m 30s,18.1 m,200°,  9.74 m/s
01m 35s,18.2 m,206°,  9.82 m/s
01m 40s,18.3 m,197°,  8.74 m/s
01m 45s,18.4 m,207°,  9.28 m/s
01m 50s,18.5 m,203°,  10.07 m/s
01m 55s,18.6 m,204°,  8.03 m/s
02m 00s,18.7 m,212°,  7.97 m/s
02m 15s,18.8 m,192°,  7.03 m/s
02m 20s,18.7 m,198°,  10.26 m/s
02m 25s,18.6 m,200°,  10.82 m/s
02m 30s,18.6 m,201°,  9.02 m/s
02m 35s,18.4 m,195°,  8.18 m/s
02m 40s,18.3 m,196°,  9.18 m/s
02m 45s,18.3 m,194°,  8.49 m/s
03m 00s,18.4 m,201°,  8.56 m/s
03m 05s,18.6 m,201°,  9.45 m/s
03m 10s,18.6 m,208°,  10.48 m/s
03m 15s,18.7 m,205°,  9.23 m/s
03m 20s,18.8 m,205°,  9.23 m/s
03m 25s,18.9 m,204°,  8.98 m/s
03m 30s,19.0 m,204°,  6.86 m/s
03m 45s,19.1 m,197°,  10.25 m/s
03m 50s,19.0 m,201°,  9.80 m/s
03m 55s,18.8 m,195°,  10.52 m/s
04m 00s,18.7 m,201°,  11.63 m/s
04m 05s,18.6 m,197°,  10.68 m/s
04m 10s,18.5 m,197°,  10.07 m/s
04m 15s,18.3 m,199°,  9.13 m/s
04m 30s,18.5 m,203°,  10.64 m/s
04m 35s,18.7 m,206°,  9.84 m/s
04m 40s,18.9 m,205°,  9.46 m/s
04m 45s,19.1 m,207°,  9.50 m/s
04m 50s,19.2 m,211°,  7.89 m/s
04m 55s,19.4 m,208°,  8.52 m/s
05m 15s,19.5 m,197°,  9.01 m/s
05m 20s,19.3 m,198°,  10.75 m/s
05m 25s,19.1 m,198°,  10.29 m/s
05m 30s,18.9 m,193°,  9.61 m/s
05m 35s,18.7 m,199°,  10.55 m/s
05m 40s,18.4 m,198°,  10.39 m/s
06m 00s,18.7 m,208°,  9.43 m/s
06m 05s,19.0 m,207°,  8.99 m/s
06m 10s,19.2 m,206°,  9.14 m/s
06m 15s,19.5 m,206°,  10.14 m/s
06m 20s,19.8 m,206°,  10.42 m/s
06m 25s,20.1 m,208°,  10.71 m/s
06m 40s,20.3 m,202°,  10.88 m/s
06m 45s,20.0 m,199°,  11.23 m/s
06m 50s,19.7 m,199°,  11.41 m/s
06m 55s,19.4 m,198°,  9.56 m/s
07m 00s,19.0 m,195°,  9.75 m/s
07m 05s,18.6 m,193°,  11.00 m/s
07m 10s,18.3 m,196°,  9.35 m/s
07m 25s,18.4 m,200°,  8.00 m/s
07m 30s,18.8 m,198°,  8.29 m/s
07m 35s,19.1 m,201°,  8.38 m/s
07m 40s,19.4 m,203°,  8.82 m/s
07m 45s,19.8 m,205°,  9.30 m/s
07m 50s,20.1 m,204°,  7.95 m/s
07m 55s,20.5 m,206°,  9.19 m/s
08m 10s,20.2 m,201°,  9.95 m/s
08m 15s,19.9 m,194°,  9.29 m/s
08m 20s,19.6 m,196°,  9.59 m/s
08m 25s,19.2 m,198°,  9.69 m/s
08m 30s,18.9 m,195°,  9.39 m/s
08m 35s,18.5 m,196°,  8.65 m/s
08m 40s,18.2 m,196°,  8.52 m/s
08m 55s,18.6 m,199°,  8.63 m/s
09m 00s,18.9 m,202°,  9.76 m/s
09m 05s,19.2 m,203°,  10.93 m/s
09m 10s,19.5 m,207°,  9.52 m/s
09m 15s,19.8 m,202°,  8.77 m/s
09m 20s,20.1 m,211°,  8.78 m/s
09m 25s,20.4 m,206°,  8.33 m/s
09m 40s,19.9 m,196°,  8.20 m/s
09m 45s,19.7 m,198°,  9.70 m/s
09m 50s,19.5 m,199°,  11.08 m/s
09m 55s,19.2 m,196°,  10.49 m/s
10m 00s,19.1 m,196°,  10.45 m/s
10m 05s,18.8 m,195°,  8.57 m/s
10m 10s,18.5 m,199°,  8.61 m/s
10m 25s,18.8 m,206°,  8.13 m/s
10m 30s,18.9 m,210°,  8.35 m/s
10m 35s,19.1 m,209°,  9.15 m/s
10m 40s,19.2 m,209°,  8.77 m/s
10m 45s,19.4 m,211°,  8.56 m/s
10m 50s,19.6 m,206°,  8.60 m/s
10m 55s,19.7 m,207°,  8.23 m/s
11m 10s,19.1 m,197°,  8.59 m/s
11m 15s,19.0 m,196°,  7.95 m/s
11m 20s,18.9 m,199°,  11.85 m/s
11m 25s,18.8 m,199°,  11.86 m/s
11m 30s,18.8 m,198°,  11.37 m/s
11m 35s,18.7 m,199°,  10.61 m/s
11m 40s,18.7 m,196°,  7.99 m/s
11m 55s,18.5 m,209°,  10.14 m/s
12m 00s,18.6 m,209°,  9.77 m/s
12m 05s,18.6 m,209°,  8.62 m/s
12m 10s,18.6 m,206°,  9.44 m/s
12m 15s,18.6 m,212°,  9.95 m/s
12m 20s,18.7 m,205°,  9.22 m/s
12m 40s,18.4 m,196°,  10.78 m/s
12m 45s,18.4 m,196°,  11.24 m/s
12m 50s,18.4 m,198°,  10.09 m/s
12m 55s,18.5 m,198°,  8.72 m/s
13m 00s,18.4 m,196°,  7.18 m/s
13m 05s,18.4 m,193°,  8.54 m/s
13m 20s,18.1 m,188°,  7.49 m/s
13m 25s,18.2 m,196°,  8.34 m/s
13m 30s,18.1 m,202°,  9.21 m/s
13m 35s,18.1 m,194°,  9.63 m/s
13m 40s,18.1 m,207°,  11.01 m/s
13m 45s,18.1 m,206°,  9.78 m/s
13m 50s,18.1 m,204°,  9.30 m/s
14m 05s,17.9 m,204°,  12.11 m/s
14m 10s,17.9 m,196°,  10.94 m/s
14m 15s,17.9 m,198°,  11.17 m/s
14m 20s,17.9 m,199°,  9.74 m/s
14m 25s,17.8 m,197°,  9.37 m/s
14m 30s,17.8 m,194°,  10.48 m/s
14m 35s,17.8 m,196°,  8.86 m/s
14m 50s,17.5 m,193°,  7.44 m/s
14m 55s,17.6 m,202°,  7.72 m/s
15m 00s,17.6 m,206°,  9.34 m/s
15m 05s,17.7 m,205°,  8.31 m/s
15m 10s,17.8 m,203°,  8.02 m/s
15m 15s,17.8 m,211°,  8.93 m/s
15m 20s,17.9 m,201°,  9.02 m/s
15m 35s,18.7 m,196°,  11.69 m/s
15m 40s,19.2 m,195°,  11.57 m/s
15m 45s,19.7 m,196°,  10.40 m/s
15m 50s,19.5 m,201°,  7.63 m/s
15m 55s,18.9 m,191°,  9.39 m/s
16m 00s,18.3 m,185°,  10.26 m/s
16m 05s,17.7 m,192°,  9.57 m/s
16m 15s,17.6 m,208°,  8.44 m/s
16m 20s,17.7 m,207°,  11.92 m/s
16m 25s,17.9 m,210°,  11.56 m/s
16m 30s,18.0 m,211°,  10.50 m/s
