Flight time,Altitude,Wind Direction,Wind Speed
16m 35s,18.0 m,206°,  7.83 m/s
16m 40s,18.0 m,205°,  7.62 m/s
17m 00s,17.9 m,195°,  6.77 m/s
17m 05s,17.8 m,195°,  7.54 m/s
17m 10s,17.8 m,200°,  8.50 m/s
17m 15s,17.7 m,199°,  7.90 m/s
17m 20s,17.7 m,196°,  6.60 m/s
17m 25s,17.6 m,194°,  7.37 m/s
17m 40s,17.9 m,202°,  8.80 m/s
17m 45s,18.0 m,209°,  8.86 m/s
17m 50s,18.1 m,210°,  9.72 m/s
17m 55s,18.1 m,202°,  7.75 m/s
18m 00s,18.1 m,197°,  9.84 m/s
18m 05s,18.1 m,209°,  11.07 m/s
18m 10s,18.2 m,210°,  10.01 m/s
18m 25s,18.3 m,194°,  8.84 m/s
18m 30s,18.2 m,194°,  9.01 m/s
18m 35s,18.2 m,195°,  9.48 m/s
18m 40s,18.2 m,194°,  7.96 m/s
18m 45s,18.1 m,202°,  7.46 m/s
18m 50s,18.1 m,198°,  9.44 m/s
19m 10s,18.4 m,214°,  9.82 m/s
19m 15s,18.5 m,209°,  8.74 m/s
19m 20s,18.5 m,209°,  9.05 m/s
19m 25s,18.5 m,213°,  9.33 m/s
19m 30s,18.6 m,205°,  7.55 m/s
19m 35s,18.6 m,209°,  9.11 m/s
19m 50s,18.8 m,206°,  8.95 m/s
19m 55s,18.8 m,191°,  10.64 m/s
20m 00s,18.7 m,202°,  9.16 m/s
20m 05s,18.7 m,199°,  10.40 m/s
20m 10s,18.7 m,199°,  9.41 m/s
20m 15s,18.6 m,195°,  8.52 m/s
20m 20s,18.6 m,201°,  8.60 m/s
20m 35s,18.9 m,205°,  10.18 m/s
20m 40s,19.0 m,215°,  9.29 m/s
20m 45s,19.0 m,207°,  9.37 m/s
20m 50s,19.0 m,213°,  9.58 m/s
20m 55s,19.0 m,211°,  10.42 m/s
21m 00s,19.1 m,212°,  9.11 m/s
21m 05s,19.1 m,215°,  9.05 m/s
21m 20s,19.3 m,209°,  5.51 m/s
21m 25s,19.3 m,198°,  8.10 m/s
21m 30s,19.3 m,201°,  8.48 m/s
21m 35s,19.2 m,199°,  8.90 m/s
21m 40s,19.2 m,203°,  8.72 m/s
21m 45s,19.1 m,202°,  8.18 m/s
21m 50s,19.1 m,203°,  8.77 m/s
22m 05s,19.4 m,216°,  8.93 m/s
22m 10s,19.4 m,212°,  8.52 m/s
22m 15s,19.5 m,214°,  6.59 m/s
22m 20s,19.5 m,219°,  8.40 m/s
22m 25s,19.6 m,216°,  9.24 m/s
22m 30s,19.6 m,209°,  9.45 m/s
22m 35s,19.6 m,216°,  8.61 m/s
22m 50s,19.8 m,210°,  7.05 m/s
22m 55s,19.7 m,200°,  8.09 m/s
23m 00s,19.7 m,200°,  7.87 m/s
23m 05s,19.7 m,204°,  9.70 m/s
23m 10s,19.7 m,204°,  8.69 m/s
23m 15s,19.6 m,195°,  8.00 m/s
23m 20s,19.6 m,195°,  7.56 m/s
23m 35s,19.9 m,216°,  9.46 m/s
23m 40s,19.8 m,210°,  8.67 m/s
23m 45s,19.8 m,208°,  8.39 m/s
23m 50s,19.8 m,208°,  8.32 m/s
23m 55s,19.8 m,203°,  7.00 m/s
24m 00s,19.8 m,205°,  7.72 m/s
24m 05s,19.8 m,209°,  8.29 m/s
24m 20s,19.6 m,203°,  7.01 m/s
24m 25s,19.7 m,199°,  6.80 m/s
24m 30s,19.7 m,197°,  8.06 m/s
24m 35s,19.7 m,197°,  9.86 m/s
24m 40s,19.8 m,202°,  9.01 m/s
24m 45s,19.8 m,202°,  6.97 m/s
24m 50s,19.8 m,203°,  7.79 m/s
25m 05s,19.8 m,203°,  8.53 m/s
25m 10s,19.7 m,209°,  9.21 m/s
25m 15s,19.6 m,213°,  9.42 m/s
25m 20s,19.6 m,221°,  8.84 m/s
25m 25s,19.5 m,212°,  9.34 m/s
25m 30s,19.5 m,213°,  10.94 m/s
25m 50s,19.3 m,213°,  8.65 m/s
25m 55s,19.4 m,212°,  9.60 m/s
26m 00s,19.5 m,211°,  9.66 m/s
26m 05s,19.6 m,209°,  9.42 m/s
26m 10s,19.7 m,212°,  7.73 m/s
26m 15s,19.8 m,210°,  7.94 m/s
26m 30s,19.6 m,207°,  9.96 m/s
26m 35s,19.5 m,221°,  9.72 m/s
26m 40s,19.4 m,224°,  10.65 m/s
26m 45s,19.4 m,220°,  10.00 m/s
26m 50s,19.3 m,223°,  9.99 m/s
26m 55s,19.2 m,225°,  11.53 m/s
27m 00s,19.1 m,218°,  9.85 m/s
27m 15s,19.0 m,223°,  6.61 m/s
27m 20s,19.0 m,210°,  10.04 m/s
27m 25s,19.1 m,206°,  9.84 m/s
27m 30s,19.1 m,203°,  10.37 m/s
27m 35s,19.2 m,204°,  9.18 m/s
27m 40s,19.2 m,206°,  9.41 m/s
27m 45s,19.3 m,207°,  9.34 m/s
28m 00s,18.9 m,213°,  10.09 m/s
28m 05s,18.9 m,214°,  10.33 m/s
28m 10s,18.9 m,213°,  8.55 m/s
28m 15s,18.9 m,215°,  8.30 m/s
28m 20s,18.9 m,217°,  9.34 m/s
28m 25s,18.8 m,215°,  7.99 m/s
28m 30s,18.8 m,212°,  6.92 m/s
28m 45s,18.7 m,209°,  6.30 m/s
28m 50s,18.7 m,200°,  8.56 m/s
28m 55s,18.6 m,208°,  6.37 m/s
29m 00s,18.6 m,209°,  8.64 m/s
29m 05s,18.6 m,207°,  8.80 m/s
29m 10s,18.6 m,207°,  9.34 m/s
29m 15s,18.7 m,204°,  8.35 m/s
29m 30s,18.5 m,206°,  8.76 m/s
29m 35s,18.5 m,207°,  7.82 m/s
29m 40s,18.5 m,208°,  7.60 m/s
29m 45s,18.6 m,211°,  6.59 m/s
29m 50s,18.6 m,214°,  7.30 m/s
29m 55s,18.6 m,214°,  8.42 m/s
30m 00s,18.7 m,208°,  9.31 m/s
30m 15s,18.7 m,220°,  6.80 m/s
30m 25s,18.5 m,203°,  8.85 m/s
30m 30s,18.5 m,202°,  9.97 m/s
30m 35s,18.4 m,207°,  8.56 m/s
30m 40s,18.4 m,202°,  10.62 m/s
31m 00s,19.2 m,215°,  10.44 m/s
31m 05s,19.3 m,205°,  7.85 m/s
31m 10s,19.2 m,209°,  7.13 m/s
31m 15s,19.2 m,213°,  8.05 m/s
31m 25s,18.9 m,217°,  12.91 m/s
