Flight time,Altitude,Wind Direction,Wind Speed
01m 00s,9.2 m,210°,  9.45 m/s
01m 05s,9.0 m,202°,  5.77 m/s
01m 25s,9.0 m,189°,  7.19 m/s
01m 30s,9.3 m,193°,  7.93 m/s
01m 45s,9.2 m,200°,  7.23 m/s
01m 50s,8.9 m,196°,  7.63 m/s
01m 55s,8.7 m,196°,  7.51 m/s
02m 10s,8.9 m,189°,  6.95 m/s
02m 15s,9.2 m,193°,  7.30 m/s
02m 20s,9.4 m,202°,  8.45 m/s
02m 35s,9.1 m,195°,  7.76 m/s
02m 40s,8.9 m,197°,  7.51 m/s
02m 45s,8.6 m,191°,  7.62 m/s
03m 00s,9.1 m,197°,  8.42 m/s
03m 05s,9.4 m,204°,  8.27 m/s
03m 20s,9.5 m,205°,  7.71 m/s
03m 25s,9.1 m,196°,  7.18 m/s
03m 30s,8.8 m,198°,  8.22 m/s
03m 45s,9.0 m,197°,  7.38 m/s
03m 50s,9.3 m,202°,  8.11 m/s
03m 55s,9.7 m,193°,  7.80 m/s
04m 10s,9.5 m,192°,  7.08 m/s
04m 15s,9.1 m,199°,  8.58 m/s
04m 20s,8.7 m,198°,  7.69 m/s
04m 35s,9.2 m,198°,  7.00 m/s
04m 40s,9.6 m,202°,  7.37 m/s
04m 45s,10.0 m,202°,  6.57 m/s
05m 00s,9.5 m,190°,  7.37 m/s
05m 05s,9.1 m,196°,  9.49 m/s
05m 10s,8.6 m,188°,  6.24 m/s
05m 25s,9.3 m,196°,  9.14 m/s
05m 30s,9.8 m,192°,  8.55 m/s
05m 50s,9.5 m,194°,  7.94 m/s
05m 55s,8.9 m,195°,  7.68 m/s
06m 10s,9.0 m,186°,  5.76 m/s
06m 15s,9.5 m,207°,  8.56 m/s
06m 20s,10.1 m,197°,  7.13 m/s
06m 35s,10.0 m,198°,  9.51 m/s
06m 40s,9.4 m,195°,  6.89 m/s
06m 45s,8.8 m,196°,  8.26 m/s
07m 00s,9.1 m,198°,  7.46 m/s
07m 05s,9.8 m,199°,  7.50 m/s
07m 10s,10.4 m,198°,  8.34 m/s
07m 25s,9.9 m,197°,  7.95 m/s
07m 30s,9.3 m,198°,  8.19 m/s
07m 35s,8.6 m,196°,  8.33 m/s
07m 50s,9.3 m,203°,  6.71 m/s
07m 55s,9.9 m,204°,  8.00 m/s
08m 00s,10.5 m,200°,  5.96 m/s
08m 15s,9.7 m,193°,  6.21 m/s
08m 20s,9.1 m,196°,  7.55 m/s
08m 25s,8.4 m,198°,  7.34 m/s
08m 40s,9.3 m,199°,  6.29 m/s
08m 45s,9.9 m,199°,  7.23 m/s
08m 50s,10.6 m,200°,  8.36 m/s
09m 05s,9.6 m,197°,  6.73 m/s
09m 10s,9.0 m,197°,  9.11 m/s
09m 15s,8.3 m,189°,  8.08 m/s
09m 30s,9.3 m,197°,  8.82 m/s
09m 35s,10.0 m,203°,  6.89 m/s
