Flight time,Altitude,Wind Direction,Wind Speed
41m 55s,28.1 m,208°,  13.98 m/s
42m 00s,28.1 m,203°,  13.50 m/s
42m 05s,28.0 m,208°,  13.56 m/s
42m 10s,27.9 m,197°,  12.94 m/s
42m 15s,27.8 m,202°,  15.96 m/s
42m 20s,27.9 m,205°,  16.38 m/s
42m 25s,27.8 m,203°,  14.72 m/s
42m 30s,27.7 m,201°,  12.69 m/s
42m 35s,27.6 m,196°,  14.70 m/s
42m 40s,27.6 m,205°,  12.18 m/s
43m 00s,27.1 m,208°,  13.34 m/s
43m 05s,27.2 m,204°,  12.45 m/s
43m 10s,27.3 m,199°,  12.58 m/s
43m 15s,27.3 m,204°,  11.58 m/s
43m 20s,27.4 m,204°,  13.72 m/s
43m 25s,27.5 m,203°,  13.63 m/s
43m 30s,27.6 m,196°,  12.17 m/s
43m 35s,27.6 m,206°,  9.99 m/s
43m 40s,27.6 m,206°,  15.26 m/s
43m 45s,27.8 m,206°,  13.43 m/s
44m 05s,27.7 m,199°,  13.02 m/s
44m 10s,27.7 m,204°,  13.20 m/s
44m 15s,27.6 m,197°,  13.72 m/s
44m 20s,27.5 m,203°,  11.67 m/s
44m 25s,27.4 m,199°,  11.66 m/s
44m 30s,27.3 m,203°,  11.54 m/s
44m 35s,27.2 m,201°,  13.37 m/s
44m 40s,27.1 m,200°,  14.12 m/s
44m 45s,27.1 m,197°,  13.58 m/s
44m 50s,27.0 m,201°,  12.77 m/s
45m 05s,27.0 m,186°,  9.30 m/s
45m 10s,27.2 m,203°,  10.78 m/s
45m 15s,27.3 m,201°,  12.96 m/s
45m 20s,27.4 m,205°,  13.29 m/s
45m 25s,27.5 m,207°,  13.51 m/s
45m 30s,27.7 m,207°,  11.69 m/s
45m 35s,27.8 m,205°,  13.01 m/s
45m 40s,27.9 m,208°,  13.54 m/s
45m 45s,28.1 m,205°,  9.61 m/s
45m 50s,28.2 m,207°,  12.79 m/s
45m 55s,28.3 m,206°,  13.05 m/s
46m 10s,28.7 m,203°,  14.48 m/s
46m 15s,28.5 m,199°,  14.52 m/s
46m 20s,28.4 m,197°,  14.06 m/s
46m 25s,28.2 m,194°,  13.01 m/s
46m 30s,28.1 m,196°,  13.12 m/s
46m 35s,27.9 m,192°,  12.66 m/s
46m 40s,27.8 m,197°,  13.96 m/s
46m 45s,27.6 m,194°,  14.86 m/s
46m 50s,27.5 m,195°,  14.22 m/s
46m 55s,27.3 m,202°,  15.41 m/s
47m 00s,27.2 m,198°,  14.43 m/s
47m 15s,27.3 m,201°,  13.38 m/s
47m 20s,27.4 m,206°,  12.71 m/s
47m 25s,27.6 m,205°,  12.77 m/s
47m 30s,27.7 m,204°,  11.87 m/s
47m 35s,27.9 m,206°,  12.69 m/s
47m 40s,28.0 m,204°,  11.01 m/s
47m 45s,28.2 m,201°,  10.77 m/s
47m 50s,28.3 m,199°,  11.61 m/s
47m 55s,28.5 m,201°,  12.65 m/s
48m 00s,28.6 m,203°,  12.87 m/s
48m 05s,28.7 m,202°,  13.22 m/s
48m 20s,28.7 m,201°,  16.58 m/s
48m 25s,28.6 m,199°,  15.07 m/s
48m 30s,28.5 m,204°,  12.64 m/s
48m 35s,28.4 m,199°,  12.77 m/s
48m 45s,28.1 m,192°,  12.05 m/s
48m 50s,28.0 m,194°,  10.71 m/s
48m 55s,27.9 m,196°,  11.73 m/s
49m 00s,27.8 m,195°,  14.10 m/s
49m 05s,27.7 m,197°,  15.17 m/s
49m 10s,27.6 m,197°,  13.86 m/s
49m 25s,27.9 m,203°,  11.90 m/s
49m 30s,28.0 m,200°,  11.02 m/s
49m 35s,28.2 m,197°,  12.08 m/s
49m 40s,28.2 m,201°,  11.50 m/s
49m 45s,28.3 m,200°,  12.54 m/s
49m 50s,28.4 m,200°,  11.27 m/s
49m 55s,28.4 m,203°,  12.53 m/s
50m 00s,28.6 m,198°,  11.96 m/s
50m 05s,28.6 m,199°,  10.38 m/s
50m 10s,28.8 m,200°,  10.89 m/s
50m 15s,28.8 m,204°,  11.48 m/s
50m 30s,28.9 m,206°,  12.56 m/s
50m 35s,28.9 m,208°,  11.88 m/s
50m 40s,28.9 m,209°,  12.78 m/s
50m 45s,28.9 m,209°,  13.92 m/s
50m 50s,28.9 m,207°,  13.76 m/s
51m 00s,28.9 m,215°,  12.57 m/s
51m 05s,28.9 m,207°,  12.31 m/s
51m 10s,28.8 m,203°,  11.73 m/s
51m 15s,28.9 m,213°,  11.55 m/s
51m 20s,28.8 m,213°,  13.55 m/s
51m 35s,28.7 m,196°,  11.43 m/s
51m 40s,28.7 m,197°,  12.29 m/s
51m 45s,28.7 m,201°,  10.90 m/s
51m 50s,28.7 m,201°,  9.53 m/s
51m 55s,28.8 m,204°,  10.21 m/s
52m 00s,28.8 m,197°,  10.04 m/s
52m 05s,28.8 m,202°,  11.22 m/s
52m 10s,28.8 m,198°,  12.48 m/s
52m 15s,28.8 m,195°,  14.20 m/s
52m 20s,28.8 m,208°,  11.80 m/s
52m 25s,28.8 m,202°,  12.72 m/s
52m 40s,28.9 m,208°,  11.66 m/s
52m 45s,28.9 m,210°,  10.79 m/s
52m 50s,28.8 m,207°,  9.84 m/s
52m 55s,28.8 m,204°,  11.15 m/s
53m 00s,28.8 m,211°,  11.84 m/s
53m 05s,28.7 m,205°,  12.87 m/s
53m 10s,28.7 m,203°,  11.54 m/s
53m 15s,28.7 m,212°,  14.35 m/s
53m 20s,28.7 m,214°,  12.61 m/s
53m 25s,28.7 m,207°,  13.92 m/s
53m 30s,28.7 m,212°,  12.06 m/s
53m 45s,28.8 m,201°,  13.91 m/s
53m 50s,28.8 m,197°,  13.70 m/s
53m 55s,28.8 m,198°,  11.78 m/s
54m 00s,28.8 m,196°,  12.62 m/s
54m 05s,28.8 m,201°,  13.45 m/s
54m 10s,28.7 m,202°,  13.19 m/s
54m 15s,28.7 m,199°,  12.59 m/s
54m 20s,28.7 m,197°,  12.07 m/s
54m 25s,28.6 m,196°,  11.62 m/s
54m 30s,28.6 m,197°,  12.29 m/s
54m 35s,28.6 m,198°,  12.09 m/s
54m 50s,28.2 m,206°,  14.17 m/s
54m 55s,28.3 m,206°,  11.88 m/s
55m 00s,28.4 m,213°,  15.27 m/s
55m 05s,28.5 m,209°,  13.32 m/s
55m 10s,28.6 m,207°,  13.39 m/s
55m 15s,28.6 m,205°,  15.03 m/s
55m 20s,28.8 m,209°,  13.61 m/s
55m 25s,28.8 m,208°,  11.54 m/s
55m 30s,28.9 m,206°,  11.03 m/s
55m 35s,29.0 m,208°,  11.22 m/s
55m 40s,29.1 m,212°,  12.91 m/s
55m 55s,29.4 m,208°,  10.68 m/s
56m 00s,29.3 m,201°,  11.91 m/s
56m 05s,29.2 m,206°,  11.22 m/s
56m 10s,29.1 m,210°,  10.36 m/s
56m 15s,28.9 m,206°,  10.57 m/s
56m 20s,28.8 m,204°,  12.33 m/s
56m 25s,28.7 m,201°,  12.39 m/s
56m 30s,28.6 m,201°,  13.08 m/s
56m 35s,28.5 m,204°,  12.50 m/s
56m 40s,28.4 m,202°,  12.63 m/s
56m 45s,28.3 m,195°,  12.42 m/s
57m 00s,28.8 m,201°,  13.99 m/s
57m 05s,29.0 m,207°,  14.22 m/s
57m 10s,29.0 m,212°,  13.09 m/s
57m 15s,29.1 m,213°,  13.27 m/s
57m 20s,29.2 m,208°,  11.79 m/s
57m 25s,29.3 m,213°,  12.22 m/s
57m 30s,29.3 m,212°,  12.25 m/s
57m 35s,29.5 m,207°,  12.88 m/s
57m 40s,29.5 m,210°,  13.18 m/s
57m 45s,29.6 m,213°,  12.61 m/s
57m 50s,29.7 m,208°,  11.61 m/s
58m 05s,29.2 m,201°,  10.27 m/s
58m 10s,29.2 m,194°,  8.99 m/s
58m 15s,29.1 m,195°,  10.51 m/s
58m 20s,29.1 m,193°,  10.47 m/s
58m 25s,29.1 m,203°,  10.92 m/s
58m 30s,29.0 m,206°,  10.93 m/s
58m 35s,29.0 m,207°,  12.05 m/s
58m 40s,29.0 m,200°,  12.41 m/s
58m 45s,29.0 m,195°,  12.31 m/s
58m 50s,28.9 m,197°,  12.60 m/s
58m 55s,28.9 m,195°,  12.89 m/s
59m 10s,28.9 m,211°,  12.36 m/s
59m 15s,28.8 m,214°,  12.17 m/s
59m 20s,28.8 m,211°,  11.60 m/s
59m 25s,28.8 m,212°,  12.67 m/s
59m 30s,28.9 m,213°,  11.02 m/s
59m 35s,28.8 m,217°,  11.96 m/s
59m 40s,28.8 m,209°,  13.84 m/s
59m 45s,28.8 m,206°,  14.20 m/s
59m 50s,28.8 m,208°,  14.65 m/s
59m 55s,28.8 m,212°,  15.29 m/s
60m 00s,28.8 m,207°,  14.09 m/s
60m 15s,28.4 m,200°,  12.29 m/s
60m 20s,28.4 m,196°,  13.60 m/s
60m 25s,28.4 m,199°,  13.65 m/s
60m 30s,28.3 m,209°,  12.16 m/s
60m 35s,28.4 m,212°,  10.32 m/s
60m 40s,28.4 m,206°,  9.53 m/s
60m 45s,28.4 m,202°,  9.99 m/s
60m 50s,28.4 m,202°,  9.31 m/s
60m 55s,28.4 m,198°,  9.53 m/s
61m 00s,28.5 m,203°,  11.04 m/s
61m 05s,28.4 m,198°,  13.45 m/s
61m 20s,28.0 m,212°,  14.46 m/s
61m 25s,27.9 m,212°,  13.66 m/s
61m 30s,28.0 m,210°,  13.20 m/s
61m 35s,27.9 m,209°,  14.24 m/s
61m 40s,28.0 m,210°,  13.59 m/s
61m 45s,28.0 m,209°,  12.66 m/s
61m 50s,28.0 m,217°,  12.81 m/s
61m 55s,28.0 m,217°,  11.83 m/s
62m 00s,27.9 m,211°,  13.11 m/s
62m 05s,28.1 m,212°,  14.59 m/s
62m 10s,28.0 m,214°,  12.59 m/s
62m 25s,27.9 m,208°,  10.31 m/s
62m 30s,27.9 m,205°,  10.51 m/s
62m 35s,27.9 m,206°,  10.94 m/s
62m 40s,27.9 m,200°,  10.95 m/s
62m 45s,27.9 m,204°,  10.82 m/s
62m 50s,27.9 m,204°,  11.83 m/s
62m 55s,27.9 m,208°,  12.35 m/s
63m 00s,27.9 m,207°,  12.76 m/s
63m 05s,27.9 m,210°,  10.84 m/s
63m 10s,27.9 m,211°,  11.68 m/s
63m 15s,27.9 m,209°,  10.84 m/s
63m 30s,27.9 m,214°,  11.44 m/s
63m 35s,27.9 m,214°,  12.02 m/s
63m 40s,28.0 m,223°,  12.29 m/s
63m 45s,28.0 m,222°,  10.69 m/s
63m 50s,28.0 m,220°,  11.26 m/s
63m 55s,28.1 m,209°,  11.73 m/s
64m 00s,28.1 m,210°,  11.24 m/s
64m 05s,28.1 m,220°,  11.90 m/s
64m 10s,28.1 m,212°,  12.92 m/s
64m 15s,28.2 m,213°,  14.92 m/s
64m 20s,28.3 m,215°,  15.46 m/s
64m 35s,28.6 m,208°,  13.42 m/s
64m 40s,28.5 m,207°,  12.70 m/s
64m 45s,28.4 m,208°,  12.42 m/s
64m 50s,28.4 m,206°,  12.57 m/s
64m 55s,28.3 m,207°,  11.82 m/s
65m 00s,28.2 m,206°,  9.02 m/s
65m 05s,28.2 m,203°,  8.56 m/s
65m 10s,28.1 m,202°,  9.31 m/s
65m 15s,28.0 m,206°,  11.03 m/s
65m 20s,28.0 m,202°,  12.02 m/s
65m 40s,28.0 m,213°,  11.24 m/s
65m 45s,28.1 m,210°,  13.07 m/s
65m 50s,28.2 m,212°,  13.01 m/s
65m 55s,28.3 m,216°,  11.86 m/s
66m 00s,28.4 m,211°,  10.79 m/s
66m 05s,28.5 m,214°,  11.21 m/s
66m 10s,28.6 m,217°,  12.79 m/s
66m 15s,28.7 m,216°,  11.36 m/s
66m 20s,28.8 m,217°,  13.08 m/s
66m 25s,28.9 m,213°,  13.87 m/s
