Flight time,Altitude,Wind Direction,Wind Speed
32m 35s,19.6 m,210°,  10.85 m/s
32m 50s,28.8 m,208°,  10.00 m/s
32m 55s,28.8 m,201°,  9.64 m/s
33m 00s,28.9 m,211°,  10.40 m/s
33m 15s,29.0 m,199°,  9.47 m/s
33m 20s,29.0 m,205°,  8.03 m/s
33m 25s,29.0 m,204°,  10.19 m/s
33m 30s,29.0 m,203°,  10.83 m/s
33m 35s,29.1 m,202°,  10.60 m/s
33m 40s,29.2 m,207°,  10.09 m/s
33m 45s,29.2 m,207°,  11.44 m/s
33m 50s,29.2 m,203°,  11.36 m/s
33m 55s,29.2 m,206°,  13.39 m/s
34m 00s,29.4 m,211°,  11.27 m/s
34m 05s,29.3 m,203°,  12.73 m/s
34m 20s,28.9 m,210°,  9.94 m/s
34m 25s,28.9 m,215°,  10.13 m/s
34m 30s,28.9 m,200°,  8.44 m/s
34m 35s,28.9 m,204°,  8.53 m/s
34m 40s,28.9 m,204°,  10.01 m/s
34m 45s,29.0 m,207°,  9.54 m/s
34m 50s,29.0 m,207°,  10.24 m/s
34m 55s,29.0 m,211°,  10.10 m/s
35m 00s,29.0 m,204°,  10.93 m/s
35m 05s,29.0 m,207°,  10.48 m/s
35m 10s,29.0 m,206°,  9.05 m/s
35m 25s,29.6 m,201°,  10.43 m/s
35m 30s,29.5 m,201°,  10.16 m/s
35m 35s,29.4 m,204°,  10.10 m/s
35m 40s,29.4 m,206°,  8.12 m/s
35m 45s,29.3 m,203°,  9.07 m/s
35m 50s,29.2 m,202°,  11.46 m/s
35m 55s,29.1 m,202°,  10.45 m/s
36m 00s,29.1 m,202°,  10.00 m/s
36m 05s,29.0 m,204°,  8.94 m/s
36m 10s,28.9 m,208°,  9.67 m/s
36m 15s,28.9 m,202°,  10.79 m/s
36m 30s,29.0 m,211°,  8.17 m/s
36m 35s,29.1 m,213°,  8.87 m/s
36m 40s,29.2 m,209°,  8.51 m/s
36m 45s,29.3 m,211°,  9.10 m/s
36m 50s,29.5 m,211°,  9.39 m/s
36m 55s,29.6 m,210°,  9.82 m/s
37m 00s,29.7 m,212°,  10.19 m/s
37m 05s,29.8 m,209°,  9.60 m/s
37m 10s,29.9 m,211°,  9.70 m/s
37m 15s,30.0 m,209°,  8.59 m/s
37m 20s,30.2 m,207°,  7.22 m/s
37m 35s,30.5 m,198°,  6.69 m/s
37m 40s,30.4 m,194°,  7.04 m/s
37m 45s,30.2 m,195°,  6.99 m/s
37m 50s,30.0 m,198°,  7.72 m/s
37m 55s,29.9 m,199°,  7.70 m/s
38m 00s,29.8 m,197°,  7.90 m/s
38m 05s,29.6 m,199°,  7.97 m/s
38m 10s,29.4 m,196°,  8.45 m/s
38m 15s,29.3 m,195°,  8.80 m/s
38m 20s,29.1 m,193°,  8.65 m/s
38m 25s,28.9 m,194°,  7.27 m/s
38m 40s,28.8 m,203°,  7.93 m/s
38m 45s,28.9 m,201°,  8.06 m/s
38m 50s,29.1 m,201°,  7.88 m/s
38m 55s,29.3 m,195°,  7.62 m/s
39m 00s,29.4 m,199°,  7.68 m/s
39m 05s,29.6 m,194°,  6.90 m/s
39m 10s,29.7 m,201°,  8.11 m/s
39m 15s,29.9 m,190°,  6.97 m/s
39m 20s,30.0 m,196°,  9.02 m/s
39m 25s,30.2 m,203°,  8.97 m/s
39m 30s,30.3 m,198°,  9.79 m/s
39m 45s,29.6 m,191°,  11.19 m/s
39m 50s,29.5 m,191°,  9.81 m/s
39m 55s,29.4 m,195°,  9.96 m/s
40m 00s,29.3 m,191°,  9.61 m/s
40m 05s,29.1 m,199°,  7.17 m/s
40m 10s,29.0 m,198°,  9.11 m/s
40m 15s,28.8 m,197°,  7.46 m/s
40m 20s,28.7 m,194°,  8.05 m/s
40m 25s,28.6 m,194°,  8.30 m/s
40m 30s,28.4 m,204°,  13.15 m/s
40m 35s,28.4 m,185°,  12.95 m/s
40m 50s,28.1 m,207°,  13.45 m/s
40m 55s,28.1 m,203°,  11.09 m/s
41m 00s,28.3 m,209°,  10.42 m/s
41m 05s,28.3 m,210°,  7.70 m/s
41m 10s,28.4 m,185°,  9.14 m/s
41m 15s,28.4 m,201°,  9.58 m/s
41m 20s,28.5 m,216°,  12.61 m/s
41m 25s,28.6 m,210°,  12.13 m/s
41m 30s,28.7 m,207°,  12.95 m/s
41m 35s,28.8 m,207°,  11.53 m/s
41m 40s,28.8 m,212°,  11.48 m/s
