Flight time,Altitude,Wind Direction,Wind Speed
48m 15s,27.8 m,244°,  6.89 m/s
48m 30s,28.1 m,231°,  7.42 m/s
48m 35s,27.9 m,222°,  5.90 m/s
48m 40s,27.8 m,229°,  7.46 m/s
48m 45s,27.6 m,232°,  8.14 m/s
48m 50s,27.5 m,230°,  7.70 m/s
48m 55s,27.3 m,233°,  6.75 m/s
49m 00s,27.2 m,230°,  6.65 m/s
49m 05s,27.0 m,227°,  5.97 m/s
49m 10s,26.9 m,234°,  6.45 m/s
49m 15s,26.7 m,232°,  6.02 m/s
49m 20s,26.6 m,235°,  5.61 m/s
49m 35s,26.8 m,246°,  6.60 m/s
49m 40s,27.0 m,242°,  6.34 m/s
49m 45s,27.1 m,242°,  5.98 m/s
49m 50s,27.3 m,239°,  5.48 m/s
49m 55s,27.4 m,238°,  6.26 m/s
50m 00s,27.5 m,236°,  7.00 m/s
50m 05s,27.7 m,237°,  7.12 m/s
50m 10s,27.8 m,235°,  7.31 m/s
50m 15s,28.0 m,237°,  7.94 m/s
50m 20s,28.1 m,241°,  7.85 m/s
50m 40s,28.1 m,229°,  7.57 m/s
50m 45s,28.0 m,238°,  6.60 m/s
50m 50s,27.9 m,234°,  6.59 m/s
50m 55s,27.7 m,230°,  6.02 m/s
51m 00s,27.6 m,230°,  7.67 m/s
51m 05s,27.5 m,231°,  8.05 m/s
51m 10s,27.4 m,233°,  7.87 m/s
51m 15s,27.3 m,237°,  7.06 m/s
51m 20s,27.2 m,237°,  7.04 m/s
51m 25s,27.0 m,226°,  8.01 m/s
51m 40s,27.4 m,234°,  6.37 m/s
51m 45s,27.5 m,238°,  6.58 m/s
51m 50s,27.5 m,240°,  6.68 m/s
51m 55s,27.6 m,239°,  6.31 m/s
52m 00s,27.7 m,242°,  6.77 m/s
52m 05s,27.8 m,239°,  7.04 m/s
52m 10s,27.9 m,237°,  7.08 m/s
52m 15s,28.0 m,240°,  7.35 m/s
52m 20s,28.1 m,235°,  7.49 m/s
52m 25s,28.1 m,236°,  8.16 m/s
52m 30s,28.2 m,239°,  8.00 m/s
52m 45s,28.3 m,224°,  8.51 m/s
52m 50s,28.3 m,233°,  7.47 m/s
52m 55s,28.3 m,241°,  6.32 m/s
53m 00s,28.3 m,241°,  7.77 m/s
53m 05s,28.3 m,243°,  8.60 m/s
53m 10s,28.3 m,232°,  7.17 m/s
53m 15s,28.3 m,236°,  7.49 m/s
53m 20s,28.3 m,230°,  6.90 m/s
53m 25s,28.3 m,232°,  9.09 m/s
53m 30s,28.3 m,240°,  9.60 m/s
53m 35s,28.3 m,238°,  9.41 m/s
53m 50s,28.2 m,240°,  7.11 m/s
53m 55s,28.2 m,237°,  7.34 m/s
54m 00s,28.2 m,242°,  6.96 m/s
54m 05s,28.2 m,233°,  6.40 m/s
54m 10s,28.2 m,236°,  7.53 m/s
54m 15s,28.3 m,246°,  7.84 m/s
54m 20s,28.3 m,246°,  7.22 m/s
54m 25s,28.3 m,232°,  7.23 m/s
54m 30s,28.3 m,241°,  6.10 m/s
