Flight time,Altitude,Wind Direction,Wind Speed
00m 10s,6.8 m,230°,  2.64 m/s
00m 20s,6.8 m,224°,  5.95 m/s
00m 25s,6.8 m,224°,  5.47 m/s
00m 40s,8.9 m,228°,  5.38 m/s
00m 55s,8.6 m,225°,  4.96 m/s
01m 00s,8.3 m,225°,  4.57 m/s
01m 20s,8.6 m,212°,  5.59 m/s
01m 25s,8.9 m,220°,  6.54 m/s
01m 40s,8.5 m,223°,  4.69 m/s
01m 45s,8.2 m,223°,  4.35 m/s
02m 00s,8.3 m,194°,  3.09 m/s
02m 05s,8.5 m,219°,  5.42 m/s
02m 10s,8.8 m,214°,  6.00 m/s
02m 25s,8.7 m,228°,  6.13 m/s
02m 30s,8.4 m,227°,  4.18 m/s
02m 35s,8.2 m,221°,  4.49 m/s
02m 50s,8.4 m,215°,  6.11 m/s
02m 55s,8.7 m,216°,  5.80 m/s
03m 00s,9.0 m,212°,  4.88 m/s
03m 15s,8.7 m,221°,  4.43 m/s
03m 20s,8.4 m,222°,  4.91 m/s
03m 25s,8.1 m,220°,  4.01 m/s
03m 40s,8.6 m,213°,  5.90 m/s
03m 45s,9.0 m,209°,  5.02 m/s
04m 05s,8.7 m,222°,  4.75 m/s
04m 10s,8.3 m,221°,  4.95 m/s
04m 25s,8.4 m,194°,  3.72 m/s
04m 30s,8.8 m,209°,  4.96 m/s
04m 35s,9.3 m,210°,  5.13 m/s
04m 50s,9.1 m,218°,  4.77 m/s
04m 55s,8.6 m,222°,  4.39 m/s
05m 00s,8.2 m,224°,  4.85 m/s
05m 15s,8.6 m,213°,  5.83 m/s
05m 20s,9.1 m,215°,  5.32 m/s
05m 25s,9.6 m,211°,  4.55 m/s
05m 40s,9.1 m,215°,  5.00 m/s
05m 45s,8.5 m,222°,  4.80 m/s
05m 50s,8.0 m,219°,  5.16 m/s
06m 05s,8.8 m,208°,  5.41 m/s
06m 10s,9.4 m,210°,  5.98 m/s
06m 30s,9.0 m,219°,  3.94 m/s
06m 35s,8.4 m,224°,  4.67 m/s
06m 50s,8.5 m,199°,  3.52 m/s
06m 55s,9.1 m,213°,  5.79 m/s
07m 00s,9.7 m,221°,  6.51 m/s
07m 15s,9.5 m,225°,  7.11 m/s
07m 20s,8.9 m,225°,  4.69 m/s
07m 25s,8.2 m,225°,  4.65 m/s
07m 40s,8.5 m,205°,  4.33 m/s
07m 45s,9.2 m,215°,  5.36 m/s
07m 50s,9.8 m,217°,  5.80 m/s
08m 05s,9.3 m,222°,  5.43 m/s
08m 10s,8.7 m,222°,  4.03 m/s
08m 15s,8.0 m,219°,  4.24 m/s
08m 30s,8.6 m,212°,  5.73 m/s
08m 35s,9.3 m,219°,  5.94 m/s
08m 40s,9.9 m,222°,  5.59 m/s
08m 55s,9.2 m,221°,  4.08 m/s
09m 00s,8.5 m,224°,  3.95 m/s
09m 05s,7.8 m,223°,  5.38 m/s
09m 20s,8.7 m,210°,  5.49 m/s
09m 25s,9.4 m,212°,  5.90 m/s
09m 30s,10.0 m,220°,  6.13 m/s
09m 45s,9.0 m,219°,  5.49 m/s
09m 50s,8.3 m,223°,  5.01 m/s
10m 10s,8.8 m,213°,  5.69 m/s
10m 15s,9.4 m,206°,  5.26 m/s
10m 35s,8.9 m,221°,  5.63 m/s
10m 40s,8.2 m,219°,  5.52 m/s
10m 55s,8.2 m,189°,  5.37 m/s
11m 00s,8.8 m,210°,  5.61 m/s
11m 05s,9.5 m,210°,  6.14 m/s
11m 20s,9.3 m,227°,  7.21 m/s
11m 25s,8.7 m,221°,  5.08 m/s
11m 30s,8.1 m,220°,  5.11 m/s
11m 45s,8.3 m,202°,  4.24 m/s
11m 50s,8.9 m,215°,  5.40 m/s
11m 55s,9.4 m,212°,  5.74 m/s
12m 10s,9.3 m,224°,  6.29 m/s
12m 15s,8.7 m,230°,  4.33 m/s
12m 20s,8.1 m,227°,  4.31 m/s
12m 35s,8.4 m,205°,  4.12 m/s
12m 40s,8.9 m,215°,  4.83 m/s
12m 45s,9.4 m,215°,  5.45 m/s
13m 00s,9.1 m,232°,  5.20 m/s
13m 05s,8.7 m,223°,  5.03 m/s
13m 10s,8.2 m,234°,  4.29 m/s
13m 25s,8.4 m,200°,  4.14 m/s
13m 30s,8.9 m,211°,  5.08 m/s
13m 35s,9.3 m,211°,  5.12 m/s
13m 50s,9.1 m,224°,  5.17 m/s
13m 55s,8.7 m,223°,  4.47 m/s
14m 00s,8.2 m,226°,  3.67 m/s
