Flight time,Altitude,Wind Direction,Wind Speed
00m 10s,6.8 m,242°,  2.40 m/s
00m 20s,6.8 m,228°,  5.64 m/s
00m 25s,6.8 m,229°,  5.16 m/s
00m 40s,8.9 m,229°,  5.86 m/s
00m 55s,8.6 m,220°,  5.23 m/s
01m 00s,8.3 m,220°,  4.85 m/s
01m 20s,8.6 m,217°,  5.24 m/s
01m 25s,8.9 m,224°,  6.25 m/s
01m 40s,8.5 m,218°,  4.98 m/s
01m 45s,8.2 m,218°,  4.64 m/s
02m 00s,8.3 m,200°,  2.62 m/s
02m 05s,8.5 m,224°,  5.13 m/s
02m 10s,8.8 m,218°,  5.67 m/s
02m 25s,8.7 m,224°,  6.38 m/s
02m 30s,8.4 m,221°,  4.44 m/s
02m 35s,8.2 m,216°,  4.80 m/s
02m 50s,8.4 m,219°,  5.79 m/s
02m 55s,8.7 m,220°,  5.48 m/s
03m 00s,9.0 m,217°,  4.53 m/s
03m 15s,8.7 m,216°,  4.74 m/s
03m 20s,8.4 m,217°,  5.21 m/s
03m 25s,8.1 m,214°,  4.33 m/s
03m 40s,8.6 m,217°,  5.56 m/s
03m 45s,9.0 m,214°,  4.66 m/s
04m 05s,8.7 m,217°,  5.04 m/s
04m 10s,8.3 m,216°,  5.26 m/s
04m 25s,8.4 m,199°,  3.26 m/s
04m 30s,8.8 m,213°,  4.59 m/s
04m 35s,9.3 m,215°,  4.77 m/s
04m 50s,9.1 m,213°,  5.09 m/s
04m 55s,8.6 m,217°,  4.69 m/s
05m 00s,8.2 m,219°,  5.13 m/s
05m 15s,8.6 m,218°,  5.49 m/s
05m 20s,9.1 m,220°,  4.99 m/s
05m 25s,9.6 m,216°,  4.19 m/s
05m 40s,9.1 m,211°,  5.34 m/s
05m 45s,8.5 m,217°,  5.10 m/s
05m 50s,8.0 m,215°,  5.47 m/s
06m 05s,8.8 m,212°,  5.04 m/s
06m 10s,9.4 m,214°,  5.62 m/s
06m 30s,9.0 m,213°,  4.26 m/s
06m 35s,8.4 m,219°,  4.95 m/s
06m 50s,8.5 m,204°,  3.08 m/s
06m 55s,9.1 m,217°,  5.46 m/s
07m 00s,9.7 m,226°,  6.23 m/s
07m 15s,9.5 m,221°,  7.37 m/s
07m 20s,8.9 m,220°,  4.97 m/s
07m 25s,8.2 m,219°,  4.93 m/s
07m 40s,8.5 m,211°,  3.94 m/s
07m 45s,9.2 m,220°,  5.03 m/s
07m 50s,9.8 m,222°,  5.50 m/s
08m 05s,9.3 m,217°,  5.72 m/s
08m 10s,8.7 m,216°,  4.34 m/s
08m 15s,8.0 m,214°,  4.56 m/s
08m 30s,8.6 m,217°,  5.39 m/s
08m 35s,9.3 m,223°,  5.64 m/s
08m 40s,9.9 m,227°,  5.32 m/s
08m 55s,9.2 m,215°,  4.39 m/s
09m 00s,8.5 m,217°,  4.25 m/s
09m 05s,7.8 m,218°,  5.68 m/s
09m 20s,8.7 m,215°,  5.14 m/s
09m 25s,9.4 m,216°,  5.55 m/s
09m 30s,10.0 m,225°,  5.84 m/s
09m 45s,9.0 m,215°,  5.80 m/s
09m 50s,8.3 m,218°,  5.30 m/s
10m 10s,8.8 m,217°,  5.35 m/s
10m 15s,9.4 m,210°,  4.88 m/s
10m 35s,8.9 m,217°,  5.93 m/s
10m 40s,8.2 m,215°,  5.84 m/s
10m 55s,8.2 m,192°,  4.90 m/s
11m 00s,8.8 m,214°,  5.25 m/s
11m 05s,9.5 m,214°,  5.78 m/s
11m 20s,9.3 m,223°,  7.47 m/s
11m 25s,8.7 m,217°,  5.38 m/s
11m 30s,8.1 m,215°,  5.42 m/s
11m 45s,8.3 m,207°,  3.82 m/s
11m 50s,8.9 m,220°,  5.08 m/s
11m 55s,9.4 m,216°,  5.40 m/s
12m 10s,9.3 m,220°,  6.56 m/s
12m 15s,8.7 m,224°,  4.58 m/s
12m 20s,8.1 m,221°,  4.58 m/s
12m 35s,8.4 m,211°,  3.72 m/s
12m 40s,8.9 m,220°,  4.50 m/s
12m 45s,9.4 m,220°,  5.13 m/s
13m 00s,9.1 m,227°,  5.42 m/s
13m 05s,8.7 m,218°,  5.32 m/s
13m 10s,8.2 m,227°,  4.50 m/s
13m 25s,8.4 m,205°,  3.72 m/s
13m 30s,8.9 m,216°,  4.73 m/s
13m 35s,9.3 m,216°,  4.77 m/s
13m 50s,9.1 m,219°,  5.45 m/s
13m 55s,8.7 m,218°,  4.76 m/s
14m 00s,8.2 m,219°,  3.96 m/s
15m 05s,8.1 m,219°,  5.94 m/s
15m 10s,8.1 m,226°,  5.26 m/s
15m 15s,8.0 m,225°,  5.23 m/s
15m 30s,8.1 m,244°,  5.49 m/s
15m 35s,8.2 m,234°,  5.70 m/s
15m 40s,8.2 m,225°,  4.56 m/s
15m 55s,8.3 m,225°,  4.62 m/s
16m 00s,8.2 m,228°,  5.46 m/s
16m 05s,8.1 m,228°,  5.71 m/s
16m 20s,8.3 m,230°,  5.29 m/s
16m 25s,8.4 m,234°,  4.51 m/s
16m 30s,8.4 m,227°,  5.09 m/s
16m 45s,8.4 m,229°,  5.37 m/s
16m 50s,8.3 m,227°,  5.54 m/s
16m 55s,8.2 m,223°,  5.24 m/s
17m 10s,8.4 m,228°,  4.93 m/s
17m 15s,8.5 m,231°,  5.03 m/s
