TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221221 113428 5 9 ,1,53.32790375,5.934310436,0.87,0,0,0,348.57,348.57,0.01,416,2,153,306,268,146,9.85,100864,58.34
UTC 221221 113430 5 9 ,2,53.32790375,5.934310436,1.22,0,0,0,348.44,348.44,0.01,413,1,151,307,267,146,9.82,100854,58.34
UTC 221221 113431 5 9 ,3,53.32790375,5.934310436,3.09,0,0,0,348.7,348.7,0.01,402,0,152,307,267,146,9.78,100838,58.34
UTC 221221 113432 5 9 ,4,53.32790375,5.934310436,6.24,0,0,0,348.27,348.27,0.01,400,0,150,306,267,146,9.74,100799,66.7
UTC 221221 113433 5 9 ,5,53.32790375,5.934309483,9.12,0,0,0,348.68,348.68,0.01,400,0,149,301,266,145,9.69,100770,66.7
UTC 221221 113433 5 9 ,6,53.32790375,5.934309959,9.92,0,0,0,344.02,344.02,0.01,409,1,149,307,266,146,9.65,100744,66.7
UTC 221221 113435 5 9 ,7,53.32790375,5.93431139,9.78,0,0,0,338.07,338.07,0.01,409,1,148,306,264,145,9.66,100736,66.7
UTC 221221 113436 5 9 ,8,53.32791138,5.934308052,9.69,0,0,0,338.77,338.77,0.01,400,0,147,305,264,145,9.65,100733,66.7
UTC 221221 113437 5 9 ,9,53.32793427,5.934292316,9.59,0,0,0,338.23,338.23,0.01,406,0,147,305,264,145,9.59,100748,66.7
UTC 221221 113438 5 9 ,10,53.3279686,5.934269905,9.55,0,0,0,338.15,338.15,0.01,409,1,146,305,263,145,9.56,100755,66.7
