TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221221 121247 5 9 ,1,53.32789993,5.93431139,0.26,0,0,0,346.25,346.25,0.01,466,10,99,321,153,150,10.67,100825,58.34
UTC 221221 121248 5 9 ,2,53.32789993,5.93431139,0.84,0,0,0,345.32,345.32,0.01,466,10,99,321,152,150,10.62,100796,66.7
UTC 221221 121249 5 9 ,3,53.32790375,5.934312344,1.18,0,0,0,345.4,345.4,0.01,463,9,98,321,152,150,10.62,100790,66.7
UTC 221221 121250 5 9 ,4,53.32790375,5.934313297,2.81,0,0,0,345.08,345.08,0.01,451,7,98,320,152,150,10.6,100772,66.7
UTC 221221 121251 5 9 ,5,53.32790375,5.934313297,6.05,0,0,0,345.12,345.12,0.01,444,6,96,316,151,149,10.57,100736,66.7
UTC 221221 121252 5 9 ,6,53.32790375,5.934311867,9.19,0,0,0,345.39,345.39,0.01,442,6,95,315,151,149,10.49,100696,75.07
UTC 221221 121253 5 9 ,7,53.32790375,5.93431139,12.14,0,0,0,345.72,345.72,0.01,438,5,94,322,150,149,10.45,100661,75.07
UTC 221221 121253 5 9 ,8,53.32790375,5.93431139,15.26,0,0,0,345.45,345.45,0.01,433,5,94,323,151,148,10.38,100620,75.07
UTC 221221 121255 5 9 ,9,53.32790375,5.934312344,18.23,0,0,0,345.67,345.67,0.01,433,5,93,322,151,149,10.35,100583,83.45
UTC 221221 121256 5 9 ,10,53.32790375,5.934313297,19.37,0,0,0,347.02,347.02,0.01,423,3,93,322,150,149,10.34,100577,83.45
UTC 221221 121257 5 9 ,11,53.32790375,5.934311867,19.21,0,0,0,63.18,63.18,0.01,425,3,92,322,149,149,10.32,100597,83.45
UTC 221221 121258 5 9 ,12,53.32790375,5.934310436,19.07,0,0,0,69.08,69.08,0.01,433,5,92,322,149,148,10.32,100600,75.07
UTC 221221 121259 5 9 ,13,53.32790756,5.934323788,19,0,0,0,68.62,68.62,0.01,438,5,91,321,149,149,10.31,100600,75.07
UTC 221221 121300 5 9 ,14,53.32791519,5.934362412,18.91,0,0,0,69.47,69.47,0.01,451,7,91,321,149,148,10.3,100600,75.07
UTC 221221 121301 5 9 ,15,53.32792664,5.934416771,18.88,0,0,0,69.09,69.09,0.01,442,6,91,321,148,148,10.3,100599,83.45
UTC 221221 121301 5 9 ,16,53.32794189,5.934477806,18.88,0,0,0,69.1,69.1,0.01,442,6,90,320,148,149,10.28,100600,75.07
UTC 221221 121303 5 9 ,17,53.32795715,5.934546471,18.87,0,0,0,69.06,69.06,0.01,442,6,89,321,149,148,10.26,100602,75.07
UTC 221221 121304 5 9 ,18,53.32797241,5.93461895,18.85,0,0,0,69.68,69.68,0.01,444,6,89,321,148,148,10.25,100608,75.07
UTC 221221 121305 5 9 ,19,53.32799149,5.934693813,18.84,0,0,0,69.45,69.45,0.01,451,7,88,321,148,148,10.25,100606,75.07
UTC 221221 121306 5 9 ,20,53.32800674,5.934767246,18.82,0,0,0,69.54,69.54,0.01,447,7,88,320,148,147,10.25,100605,75.07
UTC 221221 121307 5 9 ,21,53.328022,5.934837818,18.83,0,0,0,69.39,69.39,0.01,444,6,88,321,147,147,10.27,100602,75.07
UTC 221221 121308 5 9 ,22,53.32803726,5.934907913,18.83,0,0,0,69.63,69.63,0.01,444,6,87,321,147,147,10.28,100603,75.07
UTC 221221 121309 5 9 ,23,53.32805252,5.934977055,18.84,0,0,0,69.51,69.51,0.01,444,6,88,320,147,147,10.26,100605,75.07
