TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221221 124658 5 9 ,1,53.32789993,5.934307575,0.16,0,0,0,339.07,339.07,0.01,623,33,63,330,83,144,10.44,100802,58.34
UTC 221221 124659 5 9 ,2,53.32789993,5.934309006,0.78,0,0,0,339.23,339.23,0.01,623,33,62,330,83,144,10.42,100772,66.7
UTC 221221 124659 5 9 ,3,53.32790375,5.934310436,1.14,0,0,0,338.75,338.75,0.01,589,28,63,330,83,144,10.4,100755,66.7
UTC 221221 124701 5 9 ,4,53.32790375,5.93431139,2.57,0,0,0,338.01,338.01,0.01,575,26,62,330,83,143,10.36,100737,66.7
UTC 221221 124702 5 9 ,5,53.32790375,5.934311867,5.78,0,0,0,338.9,338.9,0.01,543,21,61,330,83,143,10.33,100707,66.7
UTC 221221 124703 5 9 ,6,53.32790756,5.934311867,8.91,0,0,0,338.48,338.48,0.01,534,20,61,329,83,143,10.28,100650,75.07
UTC 221221 124704 5 9 ,7,53.32790756,5.934313297,11.99,0,0,0,338.42,338.42,0.01,537,20,59,329,83,142,10.2,100619,75.07
UTC 221221 124704 5 9 ,8,53.32790756,5.934313297,15.03,0,0,0,338.43,338.43,0.01,530,19,59,329,82,143,10.11,100580,83.45
UTC 221221 124704 5 9 ,9,53.32790756,5.934311867,18.07,0,0,0,338.58,338.58,0.01,506,16,59,328,83,142,10.05,100545,83.45
UTC 221221 124707 5 9 ,10,53.32790756,5.934310913,21.08,0,0,0,338.52,338.52,0.01,502,15,59,329,82,142,9.99,100512,83.45
UTC 221221 124708 5 9 ,11,53.32790375,5.934310436,24.08,0,0,0,338.65,338.65,0.01,496,14,58,330,82,142,9.96,100476,91.83
UTC 221221 124709 5 9 ,12,53.32790375,5.934310436,27.07,0,0,0,338.66,338.66,0.01,506,16,57,328,83,142,9.89,100438,91.83
UTC 221221 124710 5 9 ,13,53.32790375,5.934310913,29.3,0,0,0,338.52,338.52,0.01,506,16,57,328,82,142,9.83,100417,91.83
UTC 221221 124711 5 9 ,14,53.32790375,5.934312344,29.39,0,0,0,29.35,29.35,0.01,506,16,56,327,82,142,9.79,100418,91.83
UTC 221221 124712 5 9 ,15,53.32790375,5.934309959,29.24,0,0,0,69.1,69.1,0.01,519,18,56,329,82,141,9.73,100469,91.83
