Flight time,Altitude,Wind Direction,Wind Speed
00m 10s,14.6 m,170°,  2.02 m/s
00m 25s,18.8 m,191°,  2.43 m/s
00m 30s,18.8 m,157°,  3.24 m/s
00m 50s,19.2 m,162°,  3.66 m/s
00m 55s,19.4 m,128°,  1.54 m/s
01m 00s,19.7 m,140°,  2.54 m/s
01m 10s,19.3 m,188°,  4.27 m/s
01m 15s,18.8 m,177°,  4.93 m/s
01m 20s,18.3 m,165°,  4.79 m/s
01m 40s,18.8 m,163°,  5.07 m/s
01m 45s,19.3 m,167°,  5.07 m/s
02m 00s,19.4 m,179°,  2.67 m/s
02m 05s,19.1 m,158°,  2.84 m/s
02m 10s,18.9 m,169°,  4.28 m/s
02m 40s,18.9 m,171°,  2.56 m/s
02m 45s,19.4 m,176°,  3.20 m/s
02m 55s,19.3 m,189°,  5.11 m/s
03m 00s,18.9 m,175°,  4.10 m/s
03m 05s,18.4 m,162°,  3.32 m/s
03m 25s,19.0 m,171°,  4.55 m/s
03m 30s,19.4 m,168°,  4.37 m/s
03m 45s,18.9 m,163°,  3.17 m/s
03m 50s,18.4 m,174°,  2.24 m/s
04m 25s,18.8 m,193°,  3.20 m/s
04m 30s,19.2 m,179°,  1.91 m/s
04m 35s,19.7 m,164°,  2.68 m/s
04m 45s,19.3 m,197°,  4.24 m/s
04m 50s,18.9 m,177°,  4.58 m/s
04m 55s,18.4 m,168°,  4.00 m/s
05m 15s,19.1 m,175°,  4.49 m/s
05m 20s,19.6 m,174°,  3.55 m/s
05m 35s,19.8 m,191°,  2.79 m/s
05m 40s,19.7 m,167°,  2.13 m/s
05m 45s,19.6 m,176°,  3.62 m/s
06m 05s,20.0 m,160°,  3.27 m/s
06m 10s,20.2 m,164°,  2.27 m/s
06m 15s,20.3 m,179°,  2.06 m/s
06m 25s,19.7 m,182°,  4.21 m/s
06m 30s,19.2 m,182°,  4.76 m/s
06m 35s,18.7 m,172°,  4.02 m/s
06m 55s,18.9 m,172°,  3.23 m/s
07m 00s,19.5 m,173°,  4.72 m/s
07m 05s,20.1 m,176°,  4.38 m/s
07m 20s,20.5 m,181°,  1.96 m/s
07m 25s,20.5 m,202°,  3.01 m/s
07m 30s,20.3 m,174°,  4.94 m/s
07m 50s,20.7 m,159°,  3.03 m/s
07m 55s,20.7 m,180°,  2.08 m/s
08m 10s,19.6 m,180°,  3.13 m/s
08m 15s,18.9 m,162°,  2.87 m/s
08m 20s,18.3 m,178°,  2.56 m/s
08m 40s,19.2 m,182°,  2.94 m/s
08m 45s,19.9 m,176°,  3.64 m/s
08m 50s,20.5 m,175°,  3.83 m/s
09m 00s,20.7 m,151°,  1.98 m/s
09m 05s,20.7 m,202°,  2.50 m/s
09m 10s,20.7 m,178°,  3.03 m/s
09m 30s,20.6 m,175°,  2.32 m/s
09m 35s,20.7 m,175°,  2.05 m/s
09m 50s,19.7 m,193°,  3.15 m/s
09m 55s,19.1 m,182°,  4.30 m/s
10m 00s,18.4 m,180°,  3.63 m/s
10m 20s,19.0 m,184°,  4.41 m/s
10m 25s,19.5 m,176°,  3.95 m/s
10m 30s,20.1 m,174°,  3.40 m/s
10m 45s,20.6 m,159°,  2.98 m/s
10m 50s,20.5 m,183°,  2.49 m/s
11m 10s,19.9 m,198°,  2.40 m/s
11m 15s,19.7 m,166°,  2.22 m/s
11m 20s,19.5 m,183°,  2.82 m/s
11m 25s,19.2 m,183°,  3.07 m/s
11m 30s,19.0 m,179°,  3.65 m/s
11m 35s,18.8 m,178°,  4.22 m/s
11m 40s,18.6 m,176°,  4.81 m/s
12m 00s,18.8 m,175°,  4.30 m/s
12m 05s,18.9 m,182°,  4.66 m/s
12m 10s,19.1 m,171°,  3.98 m/s
12m 15s,19.2 m,173°,  3.89 m/s
12m 20s,19.4 m,177°,  3.46 m/s
12m 25s,19.5 m,166°,  2.36 m/s
12m 30s,19.6 m,168°,  3.58 m/s
12m 50s,19.3 m,163°,  1.90 m/s
12m 55s,19.4 m,171°,  3.06 m/s
13m 00s,19.6 m,176°,  3.59 m/s
13m 05s,19.7 m,177°,  3.89 m/s
13m 10s,19.8 m,175°,  3.54 m/s
13m 20s,19.0 m,189°,  4.21 m/s
13m 40s,19.0 m,178°,  4.73 m/s
13m 45s,19.4 m,173°,  4.18 m/s
13m 50s,19.7 m,171°,  4.30 m/s
14m 00s,19.5 m,153°,  4.52 m/s
14m 05s,19.2 m,177°,  2.47 m/s
14m 10s,18.9 m,192°,  1.98 m/s
14m 30s,19.0 m,180°,  2.25 m/s
14m 35s,19.5 m,170°,  2.28 m/s
14m 50s,19.3 m,190°,  4.59 m/s
14m 55s,19.0 m,179°,  4.63 m/s
15m 00s,18.7 m,175°,  4.60 m/s
15m 05s,18.4 m,173°,  4.00 m/s
15m 20s,18.5 m,145°,  4.67 m/s
15m 25s,18.8 m,171°,  5.15 m/s
15m 30s,19.1 m,168°,  4.75 m/s
15m 35s,19.5 m,172°,  4.65 m/s
15m 50s,19.0 m,149°,  3.16 m/s
15m 55s,18.4 m,167°,  3.65 m/s
16m 15s,18.8 m,162°,  1.76 m/s
16m 20s,19.3 m,185°,  3.20 m/s
16m 35s,19.1 m,182°,  4.01 m/s
16m 40s,18.6 m,175°,  4.08 m/s
16m 45s,18.1 m,175°,  4.63 m/s
17m 05s,18.2 m,167°,  4.40 m/s
17m 10s,18.8 m,167°,  4.32 m/s
17m 15s,19.4 m,173°,  4.40 m/s
17m 30s,18.9 m,182°,  3.80 m/s
17m 35s,18.5 m,186°,  2.65 m/s
17m 55s,18.7 m,182°,  1.92 m/s
18m 00s,19.2 m,179°,  2.96 m/s
18m 05s,19.7 m,177°,  3.47 m/s
18m 15s,19.1 m,195°,  4.31 m/s
18m 20s,18.6 m,172°,  4.06 m/s
18m 25s,18.0 m,169°,  3.98 m/s
18m 30s,17.4 m,171°,  3.23 m/s
18m 40s,17.5 m,187°,  3.47 m/s
18m 45s,17.6 m,187°,  1.79 m/s
18m 50s,17.8 m,188°,  1.70 m/s
19m 05s,17.9 m,188°,  2.73 m/s
19m 10s,18.0 m,190°,  1.74 m/s
19m 15s,18.0 m,182°,  2.20 m/s
19m 30s,18.3 m,176°,  3.51 m/s
19m 35s,18.5 m,173°,  2.98 m/s
19m 40s,18.6 m,174°,  2.64 m/s
19m 45s,18.8 m,165°,  2.96 m/s
19m 55s,18.3 m,190°,  1.95 m/s
20m 00s,17.9 m,182°,  3.52 m/s
20m 20s,18.7 m,196°,  2.04 m/s
20m 35s,18.9 m,182°,  2.31 m/s
20m 40s,18.7 m,190°,  2.48 m/s
20m 45s,18.5 m,191°,  3.07 m/s
20m 50s,18.3 m,193°,  2.78 m/s
21m 10s,18.7 m,182°,  3.89 m/s
21m 15s,18.9 m,174°,  3.27 m/s
21m 20s,19.1 m,181°,  3.61 m/s
21m 25s,19.4 m,179°,  3.95 m/s
21m 35s,19.0 m,193°,  3.23 m/s
21m 40s,18.5 m,179°,  3.17 m/s
22m 00s,19.0 m,188°,  3.12 m/s
22m 05s,19.5 m,183°,  2.86 m/s
22m 15s,19.5 m,177°,  4.01 m/s
22m 20s,19.3 m,186°,  3.25 m/s
22m 25s,19.0 m,194°,  3.16 m/s
22m 30s,18.9 m,187°,  2.73 m/s
22m 35s,18.6 m,177°,  2.31 m/s
22m 50s,18.8 m,195°,  4.91 m/s
23m 00s,36.5 m,193°,  3.19 m/s
23m 20s,49.5 m,181°,  4.82 m/s
23m 25s,49.6 m,178°,  4.46 m/s
24m 25s,14.5 m,181°,  2.60 m/s
24m 40s,18.8 m,179°,  3.39 m/s
24m 55s,19.0 m,173°,  3.79 m/s
25m 00s,19.2 m,177°,  4.14 m/s
25m 05s,19.4 m,174°,  4.01 m/s
25m 10s,19.6 m,176°,  3.88 m/s
25m 15s,19.8 m,174°,  3.96 m/s
25m 25s,19.1 m,178°,  1.95 m/s
25m 45s,18.8 m,189°,  3.99 m/s
25m 50s,18.9 m,198°,  3.18 m/s
25m 55s,18.9 m,192°,  2.81 m/s
26m 00s,18.9 m,181°,  2.97 m/s
26m 05s,19.0 m,182°,  2.85 m/s
26m 10s,19.0 m,188°,  2.82 m/s
26m 15s,19.0 m,184°,  2.71 m/s
26m 35s,19.3 m,179°,  4.22 m/s
26m 40s,19.2 m,179°,  3.90 m/s
26m 45s,19.2 m,171°,  3.68 m/s
26m 50s,19.2 m,170°,  3.55 m/s
26m 55s,19.1 m,173°,  3.24 m/s
27m 00s,19.1 m,161°,  3.35 m/s
27m 05s,19.1 m,168°,  3.64 m/s
27m 20s,19.3 m,178°,  4.52 m/s
27m 25s,19.4 m,188°,  3.26 m/s
27m 30s,19.4 m,188°,  3.84 m/s
27m 35s,19.4 m,189°,  4.10 m/s
27m 40s,19.5 m,188°,  3.75 m/s
27m 45s,19.5 m,191°,  2.97 m/s
27m 50s,19.6 m,192°,  3.90 m/s
28m 10s,19.7 m,186°,  3.01 m/s
28m 15s,19.7 m,176°,  3.47 m/s
28m 20s,19.7 m,179°,  3.88 m/s
28m 25s,19.6 m,178°,  3.72 m/s
28m 30s,19.6 m,182°,  4.12 m/s
28m 35s,19.6 m,182°,  4.32 m/s
28m 40s,19.6 m,180°,  4.43 m/s
29m 00s,19.8 m,190°,  2.41 m/s
29m 05s,19.8 m,185°,  3.01 m/s
29m 10s,19.7 m,178°,  3.20 m/s
29m 15s,19.8 m,182°,  3.07 m/s
29m 20s,19.8 m,174°,  3.71 m/s
