Flight time,Altitude,Wind Direction,Wind Speed
29m 25s,19.7 m,177°,  3.32 m/s
29m 30s,19.7 m,181°,  3.69 m/s
29m 50s,20.4 m,181°,  3.69 m/s
30m 05s,20.5 m,179°,  3.30 m/s
30m 10s,20.3 m,179°,  3.75 m/s
30m 15s,20.1 m,180°,  3.86 m/s
30m 20s,19.9 m,179°,  3.78 m/s
30m 40s,20.2 m,180°,  3.19 m/s
30m 45s,20.3 m,187°,  3.69 m/s
30m 50s,20.5 m,188°,  3.70 m/s
30m 55s,20.7 m,183°,  2.88 m/s
31m 05s,20.2 m,178°,  4.71 m/s
31m 10s,19.7 m,184°,  2.97 m/s
31m 30s,20.1 m,175°,  3.89 m/s
31m 35s,20.7 m,175°,  4.41 m/s
31m 45s,20.6 m,173°,  3.98 m/s
31m 50s,20.4 m,168°,  4.75 m/s
31m 55s,20.2 m,173°,  4.96 m/s
32m 00s,20.0 m,177°,  5.00 m/s
32m 20s,20.0 m,188°,  3.64 m/s
32m 25s,20.2 m,192°,  3.54 m/s
32m 30s,20.5 m,192°,  3.51 m/s
32m 35s,20.7 m,192°,  2.96 m/s
32m 45s,19.6 m,177°,  4.39 m/s
33m 20s,19.3 m,254°,  0.37 m/s
33m 25s,20.3 m,172°,  2.55 m/s
33m 35s,20.4 m,180°,  0.77 m/s
33m 40s,20.1 m,179°,  3.86 m/s
33m 45s,19.8 m,187°,  2.91 m/s
33m 50s,19.5 m,181°,  2.88 m/s
34m 10s,19.6 m,205°,  2.62 m/s
34m 15s,20.0 m,193°,  3.16 m/s
34m 20s,20.5 m,196°,  2.87 m/s
34m 30s,19.8 m,186°,  4.45 m/s
34m 35s,18.8 m,204°,  1.48 m/s
35m 10s,19.5 m,189°,  1.38 m/s
35m 15s,20.5 m,179°,  2.78 m/s
35m 25s,20.1 m,201°,  2.24 m/s
35m 30s,19.6 m,181°,  4.35 m/s
35m 35s,19.1 m,181°,  4.59 m/s
35m 40s,18.6 m,178°,  4.84 m/s
35m 55s,19.0 m,194°,  3.86 m/s
36m 00s,19.6 m,201°,  2.97 m/s
36m 05s,20.1 m,199°,  2.99 m/s
36m 10s,20.7 m,186°,  1.52 m/s
36m 20s,19.4 m,155°,  1.91 m/s
36m 50s,19.4 m,172°,  3.85 m/s
36m 55s,20.0 m,154°,  3.22 m/s
37m 00s,20.5 m,170°,  3.63 m/s
37m 10s,20.1 m,191°,  1.45 m/s
37m 15s,19.5 m,175°,  2.86 m/s
37m 20s,18.9 m,179°,  2.94 m/s
37m 25s,18.3 m,167°,  4.09 m/s
37m 35s,18.7 m,176°,  3.48 m/s
37m 40s,19.1 m,177°,  2.21 m/s
37m 50s,20.0 m,175°,  4.03 m/s
37m 55s,20.7 m,195°,  1.58 m/s
38m 05s,20.0 m,184°,  2.94 m/s
38m 10s,19.4 m,194°,  1.94 m/s
38m 30s,27.7 m,167°,  4.11 m/s
38m 35s,42.7 m,167°,  4.47 m/s
38m 55s,49.5 m,177°,  3.64 m/s
00m 10s,14.3 m,191°,  3.06 m/s
00m 20s,19.8 m,210°,  4.20 m/s
00m 35s,19.7 m,185°,  3.22 m/s
00m 40s,19.7 m,186°,  3.44 m/s
00m 45s,19.7 m,187°,  3.26 m/s
00m 50s,19.7 m,191°,  3.17 m/s
00m 55s,19.7 m,191°,  2.89 m/s
01m 00s,19.6 m,198°,  2.68 m/s
01m 05s,19.6 m,195°,  3.05 m/s
01m 25s,19.8 m,209°,  2.33 m/s
01m 30s,19.8 m,204°,  2.52 m/s
01m 35s,19.8 m,204°,  2.76 m/s
01m 40s,19.8 m,199°,  2.99 m/s
01m 45s,19.8 m,203°,  2.70 m/s
01m 50s,19.7 m,199°,  2.44 m/s
01m 55s,19.8 m,203°,  2.51 m/s
02m 10s,20.1 m,197°,  2.47 m/s
02m 15s,20.5 m,194°,  3.11 m/s
02m 30s,20.5 m,206°,  2.26 m/s
02m 35s,20.3 m,191°,  3.45 m/s
02m 40s,20.1 m,188°,  3.13 m/s
02m 45s,19.9 m,190°,  3.28 m/s
03m 00s,20.1 m,192°,  4.10 m/s
03m 05s,20.2 m,200°,  2.54 m/s
03m 10s,20.4 m,200°,  2.38 m/s
03m 15s,20.6 m,194°,  2.43 m/s
03m 30s,20.1 m,193°,  2.93 m/s
03m 35s,19.6 m,199°,  2.72 m/s
03m 55s,20.3 m,183°,  3.84 m/s
04m 10s,20.5 m,187°,  2.97 m/s
04m 15s,20.3 m,188°,  2.95 m/s
04m 20s,20.1 m,189°,  3.03 m/s
04m 25s,19.9 m,191°,  2.76 m/s
04m 45s,20.1 m,200°,  2.24 m/s
04m 50s,20.4 m,194°,  1.90 m/s
04m 55s,20.6 m,183°,  2.45 m/s
05m 10s,19.2 m,190°,  2.73 m/s
05m 20s,19.0 m,176°,  3.07 m/s
05m 45s,19.9 m,167°,  1.28 m/s
06m 00s,20.2 m,187°,  3.65 m/s
06m 05s,19.9 m,189°,  3.35 m/s
06m 10s,19.6 m,185°,  3.18 m/s
06m 30s,19.6 m,196°,  2.43 m/s
06m 35s,20.0 m,190°,  2.35 m/s
06m 40s,20.3 m,192°,  2.46 m/s
06m 55s,19.2 m,178°,  1.03 m/s
07m 30s,19.3 m,176°,  2.04 m/s
07m 35s,20.3 m,186°,  2.19 m/s
07m 45s,20.3 m,204°,  0.92 m/s
07m 50s,19.8 m,160°,  1.54 m/s
07m 55s,19.3 m,175°,  2.00 m/s
08m 00s,18.8 m,168°,  2.55 m/s
08m 15s,18.9 m,170°,  2.95 m/s
08m 20s,19.5 m,194°,  1.23 m/s
08m 25s,20.0 m,201°,  1.39 m/s
08m 30s,20.6 m,198°,  1.48 m/s
08m 40s,19.6 m,182°,  3.26 m/s
08m 45s,18.6 m,187°,  1.54 m/s
08m 55s,18.6 m,171°,  3.84 m/s
09m 10s,19.3 m,186°,  2.28 m/s
09m 15s,19.9 m,174°,  3.54 m/s
09m 20s,20.4 m,177°,  3.41 m/s
09m 35s,19.7 m,176°,  2.70 m/s
09m 40s,19.1 m,175°,  3.15 m/s
09m 45s,18.5 m,166°,  2.92 m/s
10m 00s,19.0 m,199°,  2.41 m/s
10m 15s,20.7 m,187°,  2.10 m/s
10m 25s,20.0 m,184°,  2.91 m/s
10m 30s,19.5 m,184°,  2.14 m/s
10m 35s,18.9 m,187°,  2.97 m/s
10m 45s,18.8 m,169°,  3.01 m/s
10m 55s,37.2 m,164°,  4.32 m/s
11m 15s,49.7 m,178°,  4.77 m/s
