Flight time,Altitude,Wind Direction,Wind Speed
00m 20s,6.6 m,203°,  2.10 m/s
00m 25s,9.9 m,198°,  2.17 m/s
00m 30s,9.9 m,181°,  2.62 m/s
00m 35s,9.9 m,174°,  3.35 m/s
00m 40s,9.9 m,180°,  3.01 m/s
00m 45s,9.8 m,188°,  2.96 m/s
00m 50s,9.9 m,189°,  3.40 m/s
00m 55s,9.9 m,201°,  2.71 m/s
01m 05s,9.9 m,200°,  2.59 m/s
01m 20s,9.2 m,184°,  4.67 m/s
01m 35s,8.6 m,174°,  4.05 m/s
01m 50s,8.9 m,181°,  4.17 m/s
01m 55s,9.2 m,187°,  3.91 m/s
02m 15s,9.0 m,158°,  3.40 m/s
02m 20s,8.8 m,159°,  3.48 m/s
02m 40s,8.9 m,185°,  4.58 m/s
02m 45s,9.2 m,184°,  4.60 m/s
02m 50s,9.4 m,182°,  4.43 m/s
03m 05s,9.1 m,167°,  4.14 m/s
03m 10s,8.9 m,163°,  4.29 m/s
03m 15s,8.6 m,165°,  3.33 m/s
03m 30s,8.9 m,169°,  4.13 m/s
03m 35s,9.2 m,182°,  4.36 m/s
03m 40s,9.5 m,180°,  5.01 m/s
04m 00s,9.1 m,160°,  4.12 m/s
04m 05s,8.8 m,166°,  3.46 m/s
04m 25s,9.2 m,182°,  4.54 m/s
04m 30s,9.5 m,185°,  4.29 m/s
04m 50s,9.4 m,167°,  3.91 m/s
04m 55s,9.0 m,168°,  4.78 m/s
05m 00s,8.6 m,164°,  3.80 m/s
05m 15s,9.1 m,175°,  4.22 m/s
05m 20s,9.5 m,176°,  4.97 m/s
05m 25s,9.9 m,177°,  4.16 m/s
05m 40s,9.7 m,184°,  4.25 m/s
05m 45s,9.2 m,166°,  4.18 m/s
05m 50s,8.8 m,162°,  3.89 m/s
06m 10s,9.3 m,179°,  4.27 m/s
06m 15s,9.9 m,176°,  4.46 m/s
06m 35s,9.6 m,157°,  3.61 m/s
06m 40s,9.1 m,162°,  3.93 m/s
06m 45s,8.5 m,170°,  4.57 m/s
07m 00s,9.1 m,172°,  4.17 m/s
07m 05s,9.7 m,177°,  4.42 m/s
07m 10s,10.2 m,178°,  4.76 m/s
07m 25s,9.9 m,189°,  4.82 m/s
07m 30s,9.4 m,162°,  4.33 m/s
07m 35s,8.8 m,168°,  4.01 m/s
07m 55s,9.5 m,179°,  4.24 m/s
08m 00s,10.1 m,184°,  4.65 m/s
08m 20s,9.7 m,147°,  3.45 m/s
08m 25s,9.1 m,162°,  3.41 m/s
08m 30s,8.4 m,166°,  4.34 m/s
08m 45s,9.1 m,171°,  4.62 m/s
