Flight time,Altitude,Wind Direction,Wind Speed
00m 10s,8.7 m,193°,  2.39 m/s
00m 15s,17.7 m,180°,  2.86 m/s
00m 30s,28.9 m,156°,  3.34 m/s
00m 35s,28.9 m,163°,  2.08 m/s
00m 40s,28.9 m,161°,  4.53 m/s
00m 55s,29.0 m,196°,  3.64 m/s
01m 00s,29.0 m,182°,  3.39 m/s
01m 05s,29.0 m,194°,  2.69 m/s
01m 10s,29.1 m,191°,  3.58 m/s
01m 15s,29.1 m,188°,  4.10 m/s
01m 20s,29.2 m,189°,  4.20 m/s
01m 25s,29.2 m,188°,  4.28 m/s
01m 30s,29.2 m,187°,  4.33 m/s
01m 35s,29.2 m,185°,  3.92 m/s
01m 40s,29.3 m,183°,  3.86 m/s
01m 45s,29.3 m,181°,  3.66 m/s
02m 00s,28.9 m,162°,  2.82 m/s
02m 05s,29.0 m,162°,  3.46 m/s
02m 10s,29.0 m,163°,  3.52 m/s
02m 15s,29.0 m,167°,  3.52 m/s
02m 20s,29.0 m,162°,  3.67 m/s
02m 25s,29.0 m,164°,  3.53 m/s
02m 30s,29.1 m,166°,  3.58 m/s
02m 35s,29.1 m,164°,  3.00 m/s
02m 40s,29.1 m,164°,  3.72 m/s
02m 45s,29.1 m,163°,  2.34 m/s
02m 50s,29.1 m,164°,  3.66 m/s
03m 05s,29.6 m,196°,  4.04 m/s
03m 10s,29.6 m,174°,  4.04 m/s
03m 15s,29.5 m,163°,  2.74 m/s
03m 20s,29.4 m,188°,  3.50 m/s
03m 25s,29.4 m,183°,  4.07 m/s
03m 30s,29.3 m,186°,  4.52 m/s
03m 35s,29.2 m,188°,  4.13 m/s
03m 40s,29.2 m,186°,  3.88 m/s
03m 45s,29.1 m,188°,  4.16 m/s
03m 50s,29.0 m,190°,  4.03 m/s
03m 55s,29.0 m,193°,  4.30 m/s
04m 10s,29.0 m,183°,  3.40 m/s
04m 15s,29.2 m,173°,  3.56 m/s
04m 20s,29.3 m,170°,  3.90 m/s
04m 25s,29.5 m,170°,  3.85 m/s
04m 30s,29.5 m,176°,  3.87 m/s
04m 35s,29.7 m,177°,  2.89 m/s
04m 40s,29.8 m,171°,  3.13 m/s
04m 45s,29.9 m,166°,  3.87 m/s
04m 50s,30.0 m,173°,  3.82 m/s
04m 55s,30.1 m,173°,  3.89 m/s
05m 00s,30.2 m,157°,  2.33 m/s
05m 15s,30.5 m,179°,  3.38 m/s
05m 20s,30.4 m,184°,  3.35 m/s
05m 25s,30.3 m,187°,  3.92 m/s
05m 30s,30.1 m,184°,  2.99 m/s
05m 35s,29.9 m,187°,  3.31 m/s
05m 40s,29.8 m,173°,  3.55 m/s
05m 45s,29.6 m,187°,  3.62 m/s
05m 50s,29.5 m,187°,  4.04 m/s
05m 55s,29.3 m,184°,  3.95 m/s
06m 00s,29.1 m,182°,  3.90 m/s
06m 05s,28.9 m,185°,  4.07 m/s
06m 20s,28.8 m,174°,  4.45 m/s
06m 25s,29.0 m,175°,  4.29 m/s
06m 30s,29.2 m,175°,  4.14 m/s
06m 35s,29.3 m,176°,  3.58 m/s
06m 40s,29.5 m,173°,  3.74 m/s
06m 45s,29.6 m,176°,  3.96 m/s
06m 50s,29.8 m,174°,  4.30 m/s
06m 55s,30.0 m,172°,  4.31 m/s
07m 00s,30.1 m,175°,  4.12 m/s
07m 05s,30.3 m,183°,  4.10 m/s
07m 10s,30.4 m,186°,  2.95 m/s
07m 25s,29.7 m,189°,  3.80 m/s
07m 30s,29.5 m,193°,  3.68 m/s
07m 35s,29.4 m,188°,  4.40 m/s
07m 40s,29.2 m,188°,  4.11 m/s
07m 45s,29.1 m,186°,  3.69 m/s
07m 50s,29.0 m,190°,  3.45 m/s
07m 55s,28.9 m,191°,  3.76 m/s
08m 00s,28.7 m,188°,  4.14 m/s
08m 05s,28.6 m,190°,  3.85 m/s
08m 10s,28.5 m,194°,  3.61 m/s
08m 30s,28.1 m,180°,  3.81 m/s
08m 35s,28.2 m,172°,  3.75 m/s
08m 40s,28.3 m,172°,  3.52 m/s
08m 45s,28.4 m,174°,  3.62 m/s
08m 50s,28.4 m,178°,  3.96 m/s
08m 55s,28.5 m,181°,  4.06 m/s
09m 00s,28.6 m,180°,  4.12 m/s
09m 05s,28.7 m,181°,  4.12 m/s
09m 10s,28.8 m,184°,  4.10 m/s
