TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221212 110509 5 9 ,53.32883835,5.93433857,20.74,76.14,561,178°,,  3.03 m/s
UTC 221212 110530 5 9 ,53.32905579,5.935136795,20.64,255.3,553,175°,,  2.32 m/s
UTC 221212 110535 5 9 ,53.3290062,5.93483448,20.66,254.86,530,175°,,  2.05 m/s
UTC 221212 110550 5 9 ,53.32884979,5.933786392,20.64,255.58,527,193°,,  3.15 m/s
UTC 221212 110554 5 9 ,53.3288269,5.933625698,20.34,254.88,530,182°,,  4.30 m/s
UTC 221212 110600 5 9 ,53.32876205,5.933197022,19.62,255.36,518,180°,,  3.63 m/s
UTC 221212 110620 5 9 ,53.32871628,5.932201386,18.17,65.44,551,184°,,  4.41 m/s
UTC 221212 110625 5 9 ,53.3287468,5.932468891,18.61,76.03,551,176°,,  3.95 m/s
UTC 221212 110630 5 9 ,53.3288002,5.932840824,19.15,75.82,561,174°,,  3.40 m/s
UTC 221212 110644 5 9 ,53.32894897,5.933852196,20.52,75.38,561,159°,,  2.98 m/s
UTC 221212 110650 5 9 ,53.32899094,5.934111595,20.55,75.66,561,183°,,  2.49 m/s
UTC 221212 110710 5 9 ,53.32923889,5.935090065,20.2,343.6,567,198°,,  2.40 m/s
UTC 221212 110715 5 9 ,53.32920074,5.93490839,20.13,255.28,551,166°,,  2.22 m/s
UTC 221212 110720 5 9 ,53.32914734,5.934541225,19.92,254.91,530,183°,,  2.82 m/s
UTC 221212 110725 5 9 ,53.32909393,5.934176922,19.71,255.11,536,183°,,  3.07 m/s
UTC 221212 110730 5 9 ,53.32903671,5.933811665,19.48,254.89,518,179°,,  3.65 m/
UTC 221212 110735 5 9 ,53.32898331,5.933446884,19.26,255.01,505,178°,,  4.22 m/s
UTC 221212 110740 5 9 ,53.3289299,5.933082104,19.01,255.29,500,176°,,  4.81 m/s
UTC 221212 110800 5 9 ,53.32888794,5.932132721,18.54,75.33,553,175°,,  4.30 m/s
UTC 221212 110805 5 9 ,53.32892227,5.932401657,18.69,75.84,561,182°,,  4.66 m/s
UTC 221212 110810 5 9 ,53.32897568,5.93277216,18.85,75.42,567,171°,,  3.98 m/s
UTC 221212 110815 5 9 ,53.32902908,5.933136463,18.98,75.83,567,173°,,  3.89 m/s
UTC 221212 110820 5 9 ,53.3290863,5.933504105,19.14,76.03,577,177°,,  3.46 m/s
UTC 221212 110825 5 9 ,53.32913971,5.933865547,19.27,75.71,580,166°,,  2.36 m/s
UTC 221212 110830 5 9 ,53.32919312,5.934232235,19.44,76.29,577,168°,,  3.58 m/s
UTC 221212 110850 5 9 ,53.32939529,5.934953213,19.14,255.4,561,163°,,  1.90 m/s
UTC 221212 110855 5 9 ,53.3293457,5.934628964,19.28,255.09,527,171°,,  3.06 m/s
UTC 221212 110859 5 9 ,53.32929993,5.934336186,19.38,254.96,530,176°,,  3.59 m/s
UTC 221212 110905 5 9 ,53.32923508,5.933895588,19.54,254.62,518,177°,,  3.89 m/s
UTC 221212 110910 5 9 ,53.32918167,5.933531761,19.64,255.04,505,175°,,  3.54 m/s
UTC 221212 110920 5 9 ,53.32907486,5.9328022,19.86,254.4,505,189°,,  4.21 m/s
UTC 221212 110940 5 9 ,53.32906342,5.93204689,18.5,73.73,561,178°,,  4.73 m/s
UTC 221212 110945 5 9 ,53.32909775,5.932329655,18.79,75.83,561,173°,,  4.18 m/s
UTC 221212 110949 5 9 ,53.32915115,5.93269825,19.14,75.76,577,171°,,  4.30 m/s
UTC 221212 111000 5 9 ,53.32925797,5.933431625,19.83,75.88,580,153°,,  4.52 m/s
UTC 221212 111005 5 9 ,53.32928848,5.93362236,19.72,75.86,580,177°,,  2.47 m/s
UTC 221212 111010 5 9 ,53.32933807,5.933959961,19.5,75.72,577,192°,,  1.98 m/s
UTC 221212 111030 5 9 ,53.32958603,5.934932709,18.32,338.11,577,180°,,  2.25 m/s
UTC 221212 111035 5 9 ,53.32953644,5.934670925,18.73,255.02,567,170°,,  2.28 m/s
UTC 221212 111050 5 9 ,53.32940292,5.933763504,19.79,256.16,527,190°,,  4.59 m/s
UTC 221212 111055 5 9 ,53.32936096,5.933486939,19.59,255.3,508,179°,,  4.63 m/s
UTC 221212 111100 5 9 ,53.32930756,5.933125973,19.34,255.21,505,175°,,  4.60 m/s
UTC 221212 111105 5 9 ,53.32925415,5.932760239,19.03,255.13,500,173°,,  4.00 m/s
UTC 221212 111120 5 9 ,53.32920837,5.931961536,18.17,343.27,551,145°,,  4.67 m/s
UTC 221212 111125 5 9 ,53.32924271,5.932064533,18.26,75.67,577,171°,,  5.15 m/s
UTC 221212 111130 5 9 ,53.3292923,5.932410717,18.56,75.65,577,168°,,  4.75 m/s
UTC 221212 111135 5 9 ,53.32934952,5.932778359,18.93,75.68,577,172°,,  4.65 m/s
UTC 221212 111150 5 9 ,53.32950211,5.933826923,19.83,76.56,567,149°,,  3.16 m/s
UTC 221212 111155 5 9 ,53.32953644,5.934044361,19.43,75.96,577,167°,,  3.65 m/s
UTC 221212 111215 5 9 ,53.32974625,5.934819222,17.9,255.37,561,162°,,  1.76 m/s
UTC 221212 111220 5 9 ,53.32969666,5.934518337,18.37,254.81,530,185°,,  3.20 m/s
UTC 221212 111235 5 9 ,53.32954407,5.93347168,19.82,255.29,508,182°,,  4.01 m/s
UTC 221212 111238 5 9 ,53.32948685,5.933098793,19.32,255.21,530,175°,,  4.08 m/s
UTC 221212 111245 5 9 ,53.32945633,5.932876587,19.06,255.07,508,175°,,  4.63 m/s
UTC 221212 111305 5 9 ,53.32940674,5.931877613,17.34,60.32,577,167°,,  4.40 m/s
UTC 221212 111310 5 9 ,53.32943726,5.932129383,17.79,75.71,561,167°,,  4.32 m/s
UTC 221212 111315 5 9 ,53.32949066,5.932500839,18.36,75.53,577,173°,,  4.40 m/s
UTC 221212 111330 5 9 ,53.32963562,5.933485508,19.78,74.91,588,182°,,  3.80 m/s
UTC 221212 111333 5 9 ,53.32969284,5.933859825,19.24,75.89,588,186°,,  2.65 m/s
UTC 221212 111355 5 9 ,53.32993317,5.934775353,18.1,343.76,588,182°,,  1.92 m/s
UTC 221212 111400 5 9 ,53.32989502,5.934597969,18.35,254.88,561,179°,,  2.96 m/s
UTC 221212 111405 5 9 ,53.32984161,5.934228897,18.86,255.11,536,177°,,  3.47 m/s
UTC 221212 111415 5 9 ,53.32973099,5.933496952,19.8,254.95,508,195°,,  4.31 m/s
UTC 221212 111420 5 9 ,53.32970428,5.933318138,19.63,254.34,527,172°,,  4.06 m/s
UTC 221212 111425 5 9 ,53.32965088,5.932977676,19.09,254.08,508,169°,,  3.98 m/s
UTC 221212 111430 5 9 ,53.32958984,5.932611942,18.5,254.32,508,171°,,  3.23 m/s
UTC 221212 111440 5 9 ,53.3294754,5.931892872,17.36,253.06,518,187°,,  3.47 m/s
UTC 221212 111445 5 9 ,53.32938766,5.931921005,17.4,165.6,551,187°,,  1.79 m/s
UTC 221212 111450 5 9 ,53.32917404,5.932011128,17.55,166.03,561,188°,,  1.70 m/s
UTC 221212 111505 5 9 ,53.32854462,5.932274342,17.93,167.2,580,188°,,  2.73 m/s
UTC 221212 111510 5 9 ,53.32841492,5.932356834,17.94,159.92,580,190°,,  1.74 m/s
UTC 221212 111515 5 9 ,53.32820511,5.932486057,18,159.85,580,182°,,  2.20 m/s
UTC 221212 111530 5 9 ,53.32779694,5.932742596,18.03,344.84,600,176°,,  3.51 m/s
UTC 221212 111535 5 9 ,53.32799912,5.932657242,18.21,344.96,600,173°,,  2.98 m/s
UTC 221212 111540 5 9 ,53.32821655,5.932566166,18.39,345,600,174°,,  2.64 m/s
UTC 221212 111545 5 9 ,53.32843399,5.932475567,18.57,344.99,607,165°,,  2.96 m/s
UTC 221212 111554 5 9 ,53.32883072,5.932310104,18.84,345.37,615,190°,,  1.95 m/s
UTC 221212 111600 5 9 ,53.32899475,5.932242394,18.78,344.88,633,182°,,  3.52 m/s
UTC 221212 111620 5 9 ,53.32950211,5.932195664,17.84,166.46,643,196°,,  2.04 m/s
UTC 221212 111635 5 9 ,53.3289032,5.932434559,19.15,166.05,607,182°,,  2.31 m/s
UTC 221212 111640 5 9 ,53.32876587,5.932491303,19.08,165.97,615,190°,,  2.48 m/s
UTC 221212 111645 5 9 ,53.32855225,5.932581425,18.88,165.86,600,191°,,  3.07 m/s
UTC 221212 111649 5 9 ,53.32837677,5.932655335,18.77,165.83,607,193°,,  2.78 m/s
UTC 221212 111710 5 9 ,53.32781219,5.933058262,18.34,347.09,660,182°,,  3.89 m/s
UTC 221212 111714 5 9 ,53.32793808,5.932993889,18.49,345.32,688,174°,,  3.27 m/
UTC 221212 111720 5 9 ,53.32820129,5.932883263,18.77,344.86,688,181°,,  3.61 m/s
UTC 221212 111725 5 9 ,53.32841873,5.93279171,19.01,345.09,702,179°,,  3.95 m/s
UTC 221212 111735 5 9 ,53.32885361,5.932610512,19.43,344.97,702,193°,,  3.23 m/s
UTC 221212 111740 5 9 ,53.32897949,5.93255949,19.37,345.01,710,179°,,  3.17 m/s
UTC 221212 111800 5 9 ,53.32957077,5.932486057,18.26,88.35,688,188°,,  3.12 m/s
UTC 221212 111805 5 9 ,53.32944489,5.932523251,18.6,166.01,637,183°,,  2.86 m/s
UTC 221212 111815 5 9 ,53.32900238,5.932703018,19.6,166.01,607,177°,,  4.01 m/s
UTC 221212 111820 5 9 ,53.32888031,5.932754517,19.68,165.94,615,186°,,  3.25 m/s
UTC 221212 111825 5 9 ,53.32868576,5.932835579,19.5,165.77,580,194°,,  3.16 m/s
UTC 221212 111830 5 9 ,53.32846451,5.932927609,19.29,165.77,580,187°,,  2.73 m/s
UTC 221212 111835 5 9 ,53.32824707,5.933019161,19.06,165.89,580,177°,,  2.31 m/s
UTC 221212 111850 5 9 ,53.32784653,5.93334055,18.85,75.88,623,195°,,  4.91 m/s
UTC 221212 111900 5 9 ,53.32788086,5.933337688,18.86,34.95,643,193°,,  3.19 m/s
UTC 221212 111919 5 9 ,53.32788467,5.933819771,49.6,88.83,623,181°,,  4.82 m/s
UTC 221212 111925 5 9 ,53.32788849,5.933986664,49.59,88.53,637,178°,,  4.46 m/s
UTC 221212 112040 5 9 ,53.3278923,5.934297562,0.01,308.58,748,179°,,  3.39 m/s
UTC 221212 112055 5 9 ,53.3278923,5.934297562,0.01,309.14,783,173°,,  3.79 m/s
UTC 221212 112059 5 9 ,53.3278923,5.934297562,0,309.1,804,177°,,  4.14 m/s
UTC 221212 112105 5 9 ,53.3278923,5.934297562,0.01,309.08,804,174°,,  4.01 m/s
UTC 221212 112110 5 9 ,53.3278923,5.934297562,0,307.67,804,176°,,  3.88 m/s
UTC 221212 112115 5 9 ,53.3278923,5.934297562,0,307.33,821,174°,,  3.96 m/s
UTC 221212 112125 5 9 ,53.3278923,5.934297562,0,307.24,795,178°,,  1.95 m/s
UTC 221212 112144 5 9 ,53.3278923,5.934297085,0,307.44,804,189°,,  3.99 m/s
UTC 221212 112150 5 9 ,53.3278923,5.934297562,0,307.12,804,198°,,  3.18 m/s
UTC 221212 112155 5 9 ,53.3278923,5.934297562,0,307.15,804,192°,,  2.81 m/s
UTC 221212 112200 5 9 ,53.3278923,5.934297085,0,307.17,783,181°,,  2.97 m/s
UTC 221212 112205 5 9 ,53.3278923,5.934297085,0,307.11,804,182°,,  2.85 m/s
UTC 221212 112210 5 9 ,53.3278923,5.934297085,0,307.13,804,188°,,  2.82 m/s
UTC 221212 112215 5 9 ,53.3278923,5.934297085,0,307.24,821,184°,,  2.71 m/s
UTC 221212 112235 5 9 ,53.3278923,5.934297085,13.55,306.19,732,179°,,  4.22 m/s
UTC 221212 112240 5 9 ,53.32788849,5.934286594,19,264.61,732,179°,,  3.90 m/s
UTC 221212 112245 5 9 ,53.32787704,5.933992386,18.85,264.7,643,171°,,  3.68 m/s
UTC 221212 112250 5 9 ,53.32786179,5.933593273,18.8,264.77,594,170°,,  3.55 m/s
UTC 221212 112255 5 9 ,53.32785034,5.933328152,18.77,337.8,600,173°,,  3.24 m/s
UTC 221212 112300 5 9 ,53.32794571,5.933317661,18.89,344.55,633,161°,,  3.35 m/s
UTC 221212 112305 5 9 ,53.32816315,5.933222771,19.06,344.62,623,168°,,  3.64 m/s
UTC 221212 112320 5 9 ,53.32881546,5.932941437,19.61,344.61,623,178°,,  4.52 m/s
UTC 221212 112325 5 9 ,53.3290329,5.932847023,19.79,344.4,623,188°,,  3.26 m/s
UTC 221212 112330 5 9 ,53.3291626,5.932792187,19.73,344.96,615,188°,,  3.84 m/s
UTC 221212 112335 5 9 ,53.32934952,5.932713509,19.22,344.85,623,189°,,  4.10 m/s
UTC 221212 112340 5 9 ,53.32957077,5.93262291,18.63,344.79,615,188°,,  3.75 m/s
UTC 221212 112345 5 9 ,53.32961273,5.93271637,18.77,75.11,615,191°,,  2.97 m/s
UTC 221212 112350 5 9 ,53.32955551,5.932787895,18.82,166.22,580,192°,,  3.90 m/s
UTC 221212 112410 5 9 ,53.32869339,5.933142185,19,165.82,551,186°,,  3.01 m/s
UTC 221212 112415 5 9 ,53.32847595,5.933233261,19.01,165.89,567,176°,,  3.47 m/s
UTC 221212 112420 5 9 ,53.32825851,5.933324337,19.07,165.92,567,179°,,  3.88 m/
UTC 221212 112425 5 9 ,53.32804108,5.933414459,19.08,165.82,567,178°,,  3.72 m/s
UTC 221212 112430 5 9 ,53.32785416,5.933492184,19.1,158.09,580,182°,,  4.12 m/s
UTC 221212 112435 5 9 ,53.3278923,5.933652878,19.29,61.93,588,182°,,  4.32 m/s
UTC 221212 112440 5 9 ,53.328022,5.933578491,19.32,345.06,600,180°,,  4.43 m/s
UTC 221212 112500 5 9 ,53.32889938,5.93321228,19.22,345.12,633,190°,,  2.41 m/s
UTC 221212 112510 5 9 ,53.32933426,5.933029652,19.13,345.06,637,178°,,  3.20 m/s
UTC 221212 112515 5 9 ,53.3295517,5.932939529,19.1,345,650,182°,,  3.07 m/s
UTC 221212 112520 5 9 ,53.32965469,5.932935715,19.14,74.55,643,174°,,  3.71 m/s
UTC 221212 112525 5 9 ,53.32964325,5.933067799,19.31,166.67,633,177°,,  3.32 m/s
UTC 221212 112530 5 9 ,53.3294487,5.933140278,19.35,165.8,588,181°,,  3.69 m/s
UTC 221212 112550 5 9 ,53.32857895,5.93350029,19.53,165.83,536,181°,,  3.69 m/s
UTC 221212 112605 5 9 ,53.32792282,5.933773994,19.68,166.08,536,179°,,  3.30 m/s
UTC 221212 112610 5 9 ,53.32793045,5.933901787,19.72,75.52,580,179°,,  3.75 m/s
UTC 221212 112615 5 9 ,53.32800674,5.933896065,19.75,345.14,580,180°,,  3.86 m/s
UTC 221212 112620 5 9 ,53.32821655,5.933807373,19.75,344.94,594,179°,,  3.78 m/s
UTC 221212 112639 5 9 ,53.32904816,5.933460712,19.69,344.81,607,180°,,  3.19 m/s
UTC 221212 112644 5 9 ,53.32926559,5.933369637,19.64,345.08,607,187°,,  3.69 m/s
UTC 221212 112649 5 9 ,53.32948303,5.933278084,19.63,344.96,607,188°,,  3.70 m/s
UTC 221212 112654 5 9 ,53.32969666,5.933188915,19.61,344.61,623,183°,,  2.88 m/s
UTC 221212 112705 5 9 ,53.32956696,5.933400631,19.81,166.21,551,178°,,  4.71 m/s
UTC 221212 112710 5 9 ,53.3293457,5.933490276,19.81,165.91,536,184°,,  2.97 m/s
UTC 221212 112730 5 9 ,53.32847595,5.933852196,19.8,165.93,518,175°,,  3.89 m/s
UTC 221212 112735 5 9 ,53.32825851,5.933943749,19.78,165.78,536,175°,,  4.41 m/s
UTC 221212 112745 5 9 ,53.32795715,5.934116364,19.65,74.65,567,173°,,  3.98 m/s
UTC 221212 112750 5 9 ,53.32800293,5.934213162,19.58,345.1,588,168°,,  4.75 m/s
UTC 221212 112755 5 9 ,53.32817841,5.934132576,19.96,344.89,607,173°,,  4.96 m/s
UTC 221212 112800 5 9 ,53.32839966,5.9340415,20.38,345.07,607,177°,,  5.00 m/s
UTC 221212 131220 5 9 ,53.32792282,5.934072018,19.84,277.69,418,210°,,  4.20 m/s
UTC 221212 131235 5 9 ,53.32827377,5.933782578,19.78,344.88,423,185°,,  3.22 m/s
UTC 221212 131240 5 9 ,53.32849121,5.933691979,19.8,344.8,423,186°,,  3.44 m/s
UTC 221212 131245 5 9 ,53.32871246,5.933600903,19.74,344.95,423,187°,,  3.26 m/s
UTC 221212 131250 5 9 ,53.3289299,5.93350935,19.73,344.88,426,191°,,  3.17 m/s
UTC 221212 131255 5 9 ,53.32914734,5.933418274,19.74,345.06,428,191°,,  2.89 m/s
UTC 221212 131300 5 9 ,53.32936478,5.933327675,19.69,345.08,428,198°,,  2.68 m/s
UTC 221212 131305 5 9 ,53.32958603,5.933234692,19.66,344.87,435,195°,,  3.05 m/s
UTC 221212 131325 5 9 ,53.32928085,5.93351841,19.83,165.77,408,209°,,  2.33 m/s
UTC 221212 131330 5 9 ,53.32906342,5.933608532,19.86,165.95,411,204°,,  2.52 m/s
UTC 221212 131335 5 9 ,53.32884598,5.933699131,19.84,165.79,407,204°,,  2.76 m/s
UTC 221212 131340 5 9 ,53.32862854,5.933790684,19.81,165.93,403,199°,,  2.99 m/s
UTC 221212 131345 5 9 ,53.32840729,5.933881283,19.83,165.89,403,203°,,  2.70 m/s
UTC 221212 131350 5 9 ,53.32818985,5.933972836,19.79,165.84,403,199°,,  2.44 m/s
UTC 221212 131355 5 9 ,53.32797241,5.934064388,19.85,166.3,403,203°,,  2.51 m/s
UTC 221212 131410 5 9 ,53.32826996,5.934094906,20.17,344.97,435,197°,,  2.47 m/s
UTC 221212 131415 5 9 ,53.32849121,5.934004307,20.52,344.78,439,194°,,  3.11 m/s
UTC 221212 131430 5 9 ,53.32902145,5.933782101,20.54,344.98,439,206°,,  2.26 m/s
UTC 221212 131435 5 9 ,53.32924271,5.933689594,20.34,344.92,435,191°,,  3.45 m/s
UTC 221212 131440 5 9 ,53.32946014,5.933598518,20.15,345.19,439,188°,,  3.13 m/s
UTC 221212 131445 5 9 ,53.32967758,5.933506966,19.95,344.9,439,190°,,  3.28 m/s
UTC 221212 131459 5 9 ,53.32950211,5.933737755,20.11,166.06,424,192°,,  4.10 m/s
UTC 221212 131505 5 9 ,53.32928085,5.9338274,20.3,165.78,418,200°,,  2.54 m/s
UTC 221212 131510 5 9 ,53.32906342,5.933917522,20.51,165.75,414,200°,,  2.38 m/s
UTC 221212 131515 5 9 ,53.32884598,5.934008598,20.67,165.76,410,194°,,  2.43 m/s
UTC 221212 131530 5 9 ,53.32830048,5.934235573,20.09,165.72,417,193°,,  2.93 m/s
UTC 221212 131535 5 9 ,53.32808304,5.934328556,19.62,165.83,409,199°,,  2.72 m/s
UTC 221212 131555 5 9 ,53.32846451,5.934324741,20.42,344.88,438,183°,,  3.84 m/s
UTC 221212 131610 5 9 ,53.32905197,5.93407917,20.56,344.87,446,187°,,  2.97 m/s
UTC 221212 131615 5 9 ,53.32922363,5.934006214,20.36,345.01,439,188°,,  2.95 m/s
UTC 221212 131620 5 9 ,53.32944489,5.933915138,20.19,344.92,439,189°,,  3.03 m/s
UTC 221212 131625 5 9 ,53.32966232,5.933823586,19.98,345.14,439,191°,,  2.76 m/s
UTC 221212 131645 5 9 ,53.32937622,5.934098244,20.2,165.95,411,200°,,  2.24 m/s
UTC 221212 131649 5 9 ,53.32920456,5.934169292,20.39,165.99,417,194°,,  1.90 m/s
UTC 221212 131655 5 9 ,53.32894135,5.934278488,20.66,165.84,409,183°,,  2.45 m/s
UTC 221212 131710 5 9 ,53.32840347,5.934503555,19.18,165.75,415,190°,,  2.73 m/s
UTC 221212 131720 5 9 ,53.32807541,5.934639931,19.03,166.08,423,176°,,  3.07 m/s
UTC 221212 131745 5 9 ,53.3286438,5.934558392,20.03,344.73,459,167°,,  1.28 m/s
UTC 221212 131800 5 9 ,53.32919312,5.93432951,20.29,344.94,455,187°,,  3.65 m/s
UTC 221212 131805 5 9 ,53.32941055,5.934238911,19.97,344.94,451,189°,,  3.35 m/s
UTC 221212 131810 5 9 ,53.32963181,5.934146881,19.66,345.05,450,185°,,  3.18 m/s
UTC 221212 131830 5 9 ,53.32951736,5.934350014,19.64,165.91,423,196°,,  2.43 m/s
UTC 221212 131835 5 9 ,53.32929993,5.934439659,20.02,165.88,409,190°,,  2.35 m/s
UTC 221212 131840 5 9 ,53.32908249,5.934531212,20.42,165.78,402,192°,,  2.46 m/s
UTC 221212 131855 5 9 ,53.32853317,5.934758186,19.18,165.89,411,178°,,  1.03 m/s
UTC 221212 131930 5 9 ,53.32861328,5.934881687,19.38,345.34,473,176°,,  2.04 m/s
UTC 221212 131935 5 9 ,53.32883453,5.934789181,20.41,344.93,465,186°,,  2.19 m/s
UTC 221212 131945 5 9 ,53.32913971,5.934662819,20.34,344.8,477,204°,,  0.92 m/s
UTC 221212 131950 5 9 ,53.32935333,5.934571743,19.87,345.12,465,160°,,  1.54 m/s
UTC 221212 131955 5 9 ,53.32957459,5.934481621,19.35,344.83,459,175°,,  2.00 m/s
UTC 221212 132000 5 9 ,53.32979202,5.934389591,18.85,344.98,461,168°,,  2.55 m/s
UTC 221212 132015 5 9 ,53.32965851,5.934601784,19.01,165.97,442,170°,,  2.95 m/s
UTC 221212 132020 5 9 ,53.32939529,5.934710026,19.67,165.94,439,194°,,  1.23 m/s
UTC 221212 132025 5 9 ,53.32922363,5.934782505,20.11,165.8,425,201°,,  1.39 m/s
UTC 221212 132030 5 9 ,53.3290062,5.934873104,20.65,165.82,423,198°,,  1.48 m/s
UTC 221212 132040 5 9 ,53.32867813,5.935009003,19.66,165.66,421,182°,,  3.26 m/s
UTC 221212 132045 5 9 ,53.32846069,5.935100555,18.61,166.56,421,187°,,  1.54 m/s
UTC 221212 132055 5 9 ,53.32815933,5.935225487,18.7,166.03,411,171°,,  3.84 m/s
UTC 221212 132110 5 9 ,53.32843781,5.935267448,19.43,344.85,459,186°,,  2.28 m/s
