TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221212 105625 5 9 ,53.32789612,5.934316635,18.96,68.74,650,191°,,  2.43 m/s
UTC 221212 105630 5 9 ,53.32796478,5.934607983,18.87,70.23,633,157°,,  3.24 m/s
UTC 221212 105650 5 9 ,53.32817841,5.935508728,18.87,255.25,577,162°,,  3.66 m/s
UTC 221212 105655 5 9 ,53.328125,5.93515873,19.08,254.9,551,128°,,  1.54 m/s
UTC 221212 105700 5 9 ,53.32807541,5.934792996,19.28,254.84,536,140°,,  2.54 m/s
UTC 221212 105709 5 9 ,53.32797623,5.93413496,19.7,254.94,553,188°,,  4.27 m/s
UTC 221212 105715 5 9 ,53.32793427,5.933857918,19.66,254.68,561,177°,,  4.93 m/s
UTC 221212 105720 5 9 ,53.32788849,5.933543205,19.24,255.36,536,165°,,  4.79 m/s
UTC 221212 105740 5 9 ,53.32785034,5.932623386,18,75.65,580,163°,,  5.07 m/s
UTC 221212 105745 5 9 ,53.32788849,5.932910919,18.42,75.54,577,167°,,  5.07 m/s
UTC 221212 105800 5 9 ,53.32802582,5.933873177,19.65,75.37,600,179°,,  2.67 m/s
UTC 221212 105805 5 9 ,53.32807541,5.934192658,19.5,75.56,594,158°,,  2.84 m/s
UTC 221212 105810 5 9 ,53.32812881,5.934556484,19.36,76.17,567,169°,,  4.28 m/s
UTC 221212 105840 5 9 ,53.32828522,5.934976101,17.98,255.63,553,171°,,  2.56 m/s
UTC 221212 105845 5 9 ,53.32824707,5.934724808,18.45,255.14,542,176°,,  3.20 m/s
UTC 221212 105855 5 9 ,53.32814026,5.933988094,19.54,255.19,530,189°,,  5.11 m/s
UTC 221212 105900 5 9 ,53.32810593,5.933774948,19.64,255.76,530,175°,,  4.10 m/s
UTC 221212 105905 5 9 ,53.32806396,5.933468342,19.29,255.3,527,162°,,  3.32 m/s
UTC 221212 105924 5 9 ,53.328022,5.932543755,18.29,75.87,588,171°,,  4.55 m/s
UTC 221212 105930 5 9 ,53.32806015,5.932845593,18.66,75.72,588,168°,,  4.37 m/s
UTC 221212 105945 5 9 ,53.32821274,5.933864594,19.73,75.63,580,163°,,  3.17 m/s
UTC 221212 105950 5 9 ,53.32824707,5.934110165,19.37,76.53,577,174°,,  2.24 m/s
UTC 221212 110025 5 9 ,53.3284874,5.93509531,18.59,255.02,553,193°,,  3.20 m/s
UTC 221212 110030 5 9 ,53.32846069,5.934909821,18.53,255.54,542,179°,,  1.91 m/s
UTC 221212 110035 5 9 ,53.3284111,5.934569836,18.94,254.94,530,164°,,  2.68 m/s
UTC 221212 110045 5 9 ,53.32830048,5.933839798,19.8,254.81,542,197°,,  4.24 m/s
UTC 221212 110050 5 9 ,53.32827377,5.933656216,19.62,255.17,542,177°,,  4.58 m/s
UTC 221212 110055 5 9 ,53.32822418,5.933313847,19.27,255.34,530,168°,,  4.00 m/s
UTC 221212 110115 5 9 ,53.32819748,5.932504177,18.31,75.54,567,175°,,  4.49 m/s
UTC 221212 110120 5 9 ,53.32824707,5.932838917,18.75,75.8,577,174°,,  3.55 m/s
UTC 221212 110135 5 9 ,53.32839584,5.933857441,19.98,75.34,600,191°,,  2.79 m/s
UTC 221212 110140 5 9 ,53.32843781,5.934129715,19.9,75.83,561,167°,,  2.13 m/s
UTC 221212 110145 5 9 ,53.32849121,5.93449688,19.83,76.11,567,176°,,  3.62 m/s
UTC 221212 110205 5 9 ,53.32870865,5.93530035,19.94,254.57,567,160°,,  3.27 m/s
UTC 221212 110209 5 9 ,53.32866287,5.935013771,20.03,255.07,536,164°,,  2.27 m/s
UTC 221212 110215 5 9 ,53.32860565,5.934642315,20.12,255.2,518,179°,,  2.06 m/s
UTC 221212 110224 5 9 ,53.32849884,5.933913708,20.32,254.97,536,182°,,  4.21 m/s
UTC 221212 110230 5 9 ,53.32846832,5.933719635,20.14,254.9,536,182°,,  4.76 m/s
UTC 221212 110235 5 9 ,53.32842255,5.933405876,19.66,255.52,542,172°,,  4.02 m/s
UTC 221212 110255 5 9 ,53.32836914,5.932356358,18.05,343.84,567,172°,,  3.23 m/s
UTC 221212 110300 5 9 ,53.32838821,5.932557106,18.43,75.8,567,173°,,  4.72 m/s
UTC 221212 110305 5 9 ,53.32844543,5.932927609,19.02,75.22,567,176°,,  4.38 m/s
UTC 221212 110320 5 9 ,53.32860184,5.934000969,20.78,76.8,561,181°,,  1.96 m/s
UTC 221212 110325 5 9 ,53.32863235,5.934203148,20.69,75.92,561,202°,,  3.01 m/s
UTC 221212 110329 5 9 ,53.32868958,5.934572697,20.58,75.6,561,174°,,  4.94 m/s
UTC 221212 110350 5 9 ,53.32886505,5.93512249,20.67,254.82,542,159°,,  3.03 m/s
UTC 221212 110355 5 9 ,53.32881165,5.934761047,20.68,255.35,518,180°,,  2.08 m/s
UTC 221212 110410 5 9 ,53.32866669,5.933808804,20.64,255.71,536,180°,,  3.13 m/s
UTC 221212 110415 5 9 ,53.32862091,5.933503628,20.12,254.96,518,162°,,  2.87 m/s
UTC 221212 110420 5 9 ,53.3285675,5.93313694,19.48,254.97,508,178°,,  2.56 m/s
UTC 221212 110440 5 9 ,53.32854843,5.932359219,18.1,75.32,551,182°,,  2.94 m/s
UTC 221212 110445 5 9 ,53.32859421,5.932703495,18.71,75.85,551,176°,,  3.64 m/s
UTC 221212 110450 5 9 ,53.32864761,5.93307066,19.39,76.19,553,175°,,  3.83 m/s
UTC 221212 110500 5 9 ,53.32875824,5.933800697,20.7,76.95,561,151°,,  1.98 m/s
UTC 221212 110505 5 9 ,53.32878494,5.93398428,20.7,76.05,567,202°,,  2.50 m/s
