TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221212 125620 5 9 ,53.33050537,5.933211327,28.37,346.42,454,196°,,  2.91 m/s
UTC 221212 125625 5 9 ,53.33066177,5.933035374,28.6,265.72,446,197°,,  2.94 m/s
UTC 221212 125630 5 9 ,53.33052063,5.932889938,28.88,167.26,432,194°,,  2.88 m/s
UTC 221212 125634 5 9 ,53.33030319,5.932977676,29.02,167.19,418,195°,,  2.83 m/s
UTC 221212 125640 5 9 ,53.33008575,5.933060646,29.09,167.23,421,194°,,  2.83 m/s
UTC 221212 125645 5 9 ,53.3298645,5.933141708,29.14,167.17,421,194°,,  2.85 m/s
UTC 221212 125705 5 9 ,53.32899094,5.933468819,29.53,167.4,421,190°,,  3.86 m/s
UTC 221212 125710 5 9 ,53.32876968,5.933550358,29.56,167.28,414,192°,,  3.86 m/s
UTC 221212 125716 5 9 ,53.32851028,5.933647156,29.65,167.22,411,195°,,  3.75 m/s
UTC 221212 125720 5 9 ,53.32833481,5.933713436,29.73,167.43,411,189°,,  3.53 m/s
UTC 221212 125725 5 9 ,53.32811356,5.933796406,29.82,167.3,411,189°,,  3.64 m/s
UTC 221212 125729 5 9 ,53.32795715,5.93378067,29.72,227.57,411,193°,,  3.88 m/s
UTC 221212 125735 5 9 ,53.32805634,5.933500767,29.38,346.88,432,191°,,  4.08 m/s
UTC 221212 125740 5 9 ,53.3282814,5.933424473,29.32,346.49,434,190°,,  4.14 m/s
UTC 221212 125745 5 9 ,53.32850266,5.933342934,29.31,346.45,443,189°,,  3.91 m/s
UTC 221212 125750 5 9 ,53.32872009,5.933260918,29.29,346.43,446,193°,,  3.65 m/s
UTC 221212 125805 5 9 ,53.32937622,5.933016777,29.18,346.43,459,225°,,  2.06 m/s
UTC 221212 125809 5 9 ,53.3295517,5.932950974,29.14,346.47,454,206°,,  2.67 m/s
UTC 221212 125815 5 9 ,53.32981491,5.932853699,29.11,346.48,454,204°,,  2.75 m/s
UTC 221212 125820 5 9 ,53.33003235,5.932771683,29.07,346.37,451,198°,,  2.64 m/s
UTC 221212 125825 5 9 ,53.3302536,5.932690144,29.03,346.43,451,200°,,  2.54 m/s
UTC 221212 125830 5 9 ,53.33047104,5.932608128,28.98,346.52,451,194°,,  2.72 m/s
UTC 221212 125835 5 9 ,53.33057785,5.932388783,29.01,256.19,436,195°,,  2.49 m/s
UTC 221212 125839 5 9 ,53.33044815,5.932301045,28.95,167.26,436,195°,,  2.75 m/s
UTC 221212 125845 5 9 ,53.33018875,5.932404995,28.95,167.23,421,201°,,  2.87 m/s
UTC 221212 125850 5 9 ,53.32997131,5.932486534,28.97,167.21,414,199°,,  2.96 m/s
UTC 221212 125855 5 9 ,53.32975006,5.932568073,28.97,167.25,421,199°,,  2.94 m/s
UTC 221212 125910 5 9 ,53.32909393,5.932813644,28.94,167.22,421,192°,,  5.26 m/s
UTC 221212 125914 5 9 ,53.32891846,5.932878971,28.95,167.19,407,193°,,  4.11 m/s
UTC 221212 125922 5 9 ,53.3285675,5.933009148,28.93,167.41,407,193°,,  4.00 m/s
UTC 221212 125924 5 9 ,53.32843781,5.933058739,28.95,167.41,418,195°,,  4.09 m/s
UTC 221212 125930 5 9 ,53.32821655,5.933140755,28.92,167.31,421,195°,,  3.88 m/s
UTC 221212 125940 5 9 ,53.32786179,5.933067322,28.69,260.86,423,190°,,  3.73 m/s
UTC 221212 125945 5 9 ,53.328022,5.932899952,28.58,346.68,436,191°,,  3.87 m/s
UTC 221212 125950 5 9 ,53.32824707,5.932821274,28.51,346.44,443,186°,,  3.33 m/s
UTC 221212 125955 5 9 ,53.32846451,5.932740212,28.52,346.41,447,194°,,  3.40 m/s
UTC 221212 130000 5 9 ,53.32868195,5.932659626,28.51,346.5,447,195°,,  3.44 m/s
UTC 221212 130015 5 9 ,53.32934189,5.932413578,28.49,346.39,447,204°,,  2.21 m/s
UTC 221212 130020 5 9 ,53.32955933,5.932332039,28.54,346.36,447,190°,,  2.29 m/s
UTC 221212 130024 5 9 ,53.3297348,5.932267189,28.57,346.46,446,193°,,  2.52 m/s
UTC 221212 130030 5 9 ,53.32999802,5.932168484,28.54,346.44,443,201°,,  2.43 m/s
UTC 221212 130034 5 9 ,53.33016968,5.932103157,28.55,346.47,451,200°,,  2.32 m/s
UTC 221212 130040 5 9 ,53.33043289,5.932004929,28.55,346.34,451,200°,,  2.45 m/s
UTC 221212 130045 5 9 ,53.33047867,5.931739807,28.16,233.63,434,203°,,  2.41 m/s
UTC 221212 130049 5 9 ,53.33032227,5.931735992,28.07,166.94,436,199°,,  2.78 m/s
UTC 221212 130055 5 9 ,53.33005905,5.931838036,28.11,167.2,411,198°,,  2.77 m/s
UTC 221212 130059 5 9 ,53.32987976,5.931903362,28.1,167.4,421,195°,,  2.90 m/s
UTC 221212 130105 5 9 ,53.32961655,5.932001114,28.12,167.35,408,190°,,  2.79 m/s
UTC 221212 130120 5 9 ,53.32891846,5.932263374,28.11,167.17,407,198°,,  3.60 m/s
UTC 221212 130125 5 9 ,53.32874298,5.932328224,28.1,167.21,414,194°,,  3.57 m/s
UTC 221212 130130 5 9 ,53.32852554,5.932409763,28.1,167.21,414,194°,,  3.37 m/s
UTC 221212 130134 5 9 ,53.32830429,5.932491303,28.12,167.42,418,190°,,  3.75 m/s
UTC 221212 130140 5 9 ,53.32808685,5.932573319,28.12,167.42,423,189°,,  3.67 m/s
UTC 221212 130145 5 9 ,53.32786942,5.932651997,28.1,170.04,421,197°,,  3.64 m/s
UTC 221212 130150 5 9 ,53.32780075,5.932394505,28.05,299.79,426,189°,,  3.31 m/s
UTC 221212 130155 5 9 ,53.32799912,5.932295322,28.07,346.6,439,187°,,  3.77 m/s
UTC 221212 130200 5 9 ,53.32821655,5.932214737,28,346.49,446,188°,,  3.56 m/s
UTC 221212 130205 5 9 ,53.32843781,5.932134152,28.07,346.42,447,188°,,  3.37 m/s
UTC 221212 130209 5 9 ,53.32865524,5.932053089,28.06,346.39,454,188°,,  3.27 m/s
UTC 221212 130225 5 9 ,53.32931137,5.931807041,28,346.36,451,196°,,  2.43 m/s
UTC 221212 130230 5 9 ,53.32953262,5.931725502,28.02,346.33,454,192°,,  2.36 m/s
UTC 221212 130235 5 9 ,53.32975006,5.931643486,28.01,346.44,454,193°,,  2.24 m/s
UTC 221212 130240 5 9 ,53.32997131,5.93156147,28.02,346.41,454,197°,,  2.36 m/s
UTC 221212 130245 5 9 ,53.33018875,5.931480408,28.03,346.45,454,201°,,  2.23 m/s
UTC 221212 130250 5 9 ,53.33039856,5.931392193,28.01,330.95,459,202°,,  2.35 m/s
UTC 221212 130255 5 9 ,53.3303566,5.931111813,28.06,195.06,443,191°,,  2.40 m/s
UTC 221212 130300 5 9 ,53.33014679,5.931188107,27.98,167.29,434,190°,,  2.29 m/s
UTC 221212 130305 5 9 ,53.32992554,5.931270123,28.1,167.22,421,192°,,  2.37 m/s
UTC 221212 130310 5 9 ,53.32970428,5.931352615,28.08,167.24,414,190°,,  2.44 m/s
UTC 221212 130315 5 9 ,53.32948685,5.931434155,28.17,167.31,408,193°,,  2.40 m/s
