TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221212 101324 5 9 ,53.3278923,5.934302807,9.93,347.32,400,198°,,  2.17 m/s
UTC 221212 101330 5 9 ,53.3278923,5.934302807,9.93,347.28,405,181°,,  2.62 m/s
UTC 221212 101335 5 9 ,53.32792282,5.934285164,9.91,339.55,413,174°,,  3.35 m/s
UTC 221212 101340 5 9 ,53.32811737,5.934173107,9.9,339.03,410,180°,,  3.01 m/s
UTC 221212 101345 5 9 ,53.328228,5.934104443,9.45,339.77,415,188°,,  2.96 m/s
UTC 221212 101350 5 9 ,53.32820511,5.934029579,9.42,253.15,400,189°,,  3.40 m/s
UTC 221212 101355 5 9 ,53.32814789,5.933703899,9.25,252.85,445,201°,,  2.71 m/s
UTC 221212 101405 5 9 ,53.32806396,5.933172226,8.89,256.81,435,200°,,  2.59 m/s
UTC 221212 101420 5 9 ,53.32805252,5.932991982,8.71,73.47,464,184°,,  4.67 m/s
UTC 221212 101434 5 9 ,53.32823944,5.93407774,9.47,74.82,485,174°,,  3.35 m/s
UTC 221212 101440 5 9 ,53.32827377,5.934083939,9.48,285.95,481,180°,,  3.01 m/s
UTC 221212 101445 5 9 ,53.328228,5.933850288,9.36,252.85,459,188°,,  2.96 m/s
UTC 221212 101450 5 9 ,53.32816315,5.933478832,9.1,252.71,445,189°,,  3.40 m/s
UTC 221212 101454 5 9 ,53.32810211,5.93311739,8.88,252.89,439,201°,,  2.71 m/s
UTC 221212 101505 5 9 ,53.32805252,5.932657242,8.54,339.3,454,200°,,  2.59 m/s
UTC 221212 101520 5 9 ,53.32820511,5.933561802,9.17,73.55,470,184°,,  4.67 m/s
UTC 221212 101535 5 9 ,53.32830048,5.933944225,9.49,252.77,459,174°,,  4.05 m/s
UTC 221212 101550 5 9 ,53.32811356,5.932868481,8.75,252.91,439,181°,,  4.17 m/s
UTC 221212 101555 5 9 ,53.32807541,5.932624817,8.53,329.69,450,187°,,  3.91 m/s
UTC 221212 101615 5 9 ,53.32829666,5.933753014,9.48,73.5,470,158°,,  3.40 m/s
UTC 221212 101620 5 9 ,53.32835007,5.93407011,9.67,73.92,470,159°,,  3.48 m/s
UTC 221212 101640 5 9 ,53.32818985,5.932988167,8.91,253.09,420,185°,,  4.58 m/s
UTC 221212 101645 5 9 ,53.32812881,5.932629108,8.63,251.95,420,184°,,  4.60 m/s
UTC 221212 101650 5 9 ,53.32815552,5.932600021,8.51,41.97,450,182°,,  4.43 m/s
UTC 221212 101705 5 9 ,53.32831955,5.933567524,9.49,73.58,476,167°,,  4.14 m/s
UTC 221212 101710 5 9 ,53.32838058,5.933927536,9.83,73.21,481,163°,,  4.29 m/s
UTC 221212 101715 5 9 ,53.32842636,5.934009552,10.02,342.07,470,165°,,  3.33 m/s
UTC 221212 101730 5 9 ,53.32826996,5.933118343,9.11,252.94,426,169°,,  4.13 m/s
UTC 221212 101735 5 9 ,53.32820892,5.932757378,8.7,252.7,420,182°,,  4.36 m/s
UTC 221212 101740 5 9 ,53.32818604,5.932566643,8.44,339.58,439,180°,,  5.01 m/s
UTC 221212 101800 5 9 ,53.32840729,5.93374157,9.87,73.84,491,160°,,  4.12 m/s
UTC 221212 101805 5 9 ,53.32845306,5.934019089,10.12,29.76,485,166°,,  3.46 m/s
UTC 221212 101825 5 9 ,53.32828903,5.932898521,8.89,252.92,420,182°,,  4.54 m/s
UTC 221212 101830 5 9 ,53.328228,5.932548523,8.49,251.67,426,185°,,  4.29 m/s
UTC 221212 101850 5 9 ,53.32842636,5.933535576,9.81,73.46,470,167°,,  3.91 m/s
UTC 221212 101855 5 9 ,53.32849121,5.933898926,10.3,73.51,481,168°,,  4.78 m/s
UTC 221212 101900 5 9 ,53.32852936,5.933954716,10.44,341.83,476,164°,,  3.80 m/s
UTC 221212 101915 5 9 ,53.32836914,5.933049679,9.2,253.04,445,175°,,  4.22 m/s
UTC 221212 101920 5 9 ,53.32830811,5.932688713,8.66,253.18,450,176°,,  4.97 m/s
UTC 221212 101926 5 9 ,53.32830429,5.9325037,8.34,339.11,454,177°,,  4.16 m/s
UTC 221212 101940 5 9 ,53.32845688,5.933391094,9.75,73.45,485,184°,,  4.25 m/s
UTC 221212 101945 5 9 ,53.32852173,5.933753014,10.3,73.5,491,166°,,  4.18 m/s
UTC 221212 101950 5 9 ,53.32855606,5.933967114,10.54,40.36,485,162°,,  3.89 m/s
UTC 221212 102010 5 9 ,53.32839203,5.932847977,8.95,252.84,428,179°,,  4.27 m/s
UTC 221212 102015 5 9 ,53.32833099,5.93249464,8.38,252.13,426,176°,,  4.46 m/s
UTC 221212 102034 5 9 ,53.32852554,5.933460712,9.98,73.56,485,157°,,  3.61 m/s
UTC 221212 102040 5 9 ,53.32858658,5.933822632,10.62,73.54,496,162°,,  3.93 m/s
UTC 221212 102045 5 9 ,53.32862854,5.933904648,10.76,342.22,496,170°,,  4.57 m/s
UTC 221212 102100 5 9 ,53.32847214,5.933001995,9.23,252.56,459,172°,,  4.17 m/s
UTC 221212 102105 5 9 ,53.3284111,5.932641983,8.59,252.95,439,177°,,  4.42 m/s
UTC 221212 102110 5 9 ,53.32838821,5.932445049,8.23,339.34,445,178°,,  4.76 m/s
UTC 221212 102125 5 9 ,53.32854843,5.933258057,9.68,73.38,485,189°,,  4.82 m/s
UTC 221212 102130 5 9 ,53.32860947,5.933618546,10.32,73.55,491,162°,,  4.33 m/s
