TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221212 102135 5 9 ,53.32865906,5.933912754,10.72,49.11,496,168°,,  4.01 m/s
UTC 221212 102154 5 9 ,53.32851028,5.93287611,9.04,253.07,454,179°,,  4.24 m/s
UTC 221212 102159 5 9 ,53.32844543,5.932515621,8.4,253.23,439,184°,,  4.65 m/s
UTC 221212 102220 5 9 ,53.32862473,5.933393002,9.95,73.77,481,147°,,  3.45 m/s
UTC 221212 102225 5 9 ,53.32868958,5.933754921,10.59,73.48,485,162°,,  3.41 m/s
UTC 221212 102230 5 9 ,53.32873154,5.93385458,10.71,342.17,485,166°,,  4.34 m/s
UTC 221212 102240 5 9 ,53.32863235,5.933265209,9.74,252.44,464,171°,,  4.62 m/s
UTC 221212 102250 5 9 ,53.32851791,5.932612896,8.58,253.03,450,176°,,  4.35 m/s
UTC 221212 102255 5 9 ,53.32847977,5.932376385,8.11,333.7,445,181°,,  4.14 m/s
UTC 221212 102310 5 9 ,53.3286438,5.933160782,9.54,73.55,485,181°,,  4.25 m/s
UTC 221212 102315 5 9 ,53.32870483,5.933524132,10.2,73.83,491,155°,,  3.24 m/s
UTC 221212 102320 5 9 ,53.32876205,5.933859348,10.75,74.42,491,163°,,  3.91 m/s
UTC 221212 102340 5 9 ,53.32860565,5.932792664,8.9,252.81,439,176°,,  4.55 m/s
UTC 221212 102344 5 9 ,53.32855606,5.93250227,8.38,253.05,459,182°,,  3.80 m/s
UTC 221212 102350 5 9 ,53.32856369,5.932352066,8.1,346.31,470,187°,,  4.08 m/s
UTC 221212 102405 5 9 ,53.32871628,5.933274746,9.78,73.73,481,149°,,  3.25 m/s
UTC 221212 102410 5 9 ,53.32878113,5.93363905,10.4,73.55,485,160°,,  3.74 m/s
UTC 221212 102415 5 9 ,53.32882309,5.933819771,10.65,342.35,498,164°,,  3.64 m/s
UTC 221212 102430 5 9 ,53.3286972,5.932984829,9.26,253.18,464,168°,,  4.05 m/s
UTC 221212 102435 5 9 ,53.32863235,5.932623863,8.6,252.93,459,180°,,  4.00 m/s
UTC 221212 103845 5 9 ,53.32791138,5.934117794,8.87,279.71,460,156°,,  3.23 m/s
UTC 221212 103850 5 9 ,53.32795715,5.933746815,8.85,279.97,447,154°,,  3.98 m/s
UTC 221212 103855 5 9 ,53.32800293,5.933377266,8.87,279.68,422,168°,,  3.58 m/s
UTC 221212 103909 5 9 ,53.32810211,5.933079243,8.89,342.9,450,165°,,  5.23 m/s
UTC 221212 103915 5 9 ,53.32835007,5.932957649,9.13,342.34,472,161°,,  3.76 m/s
UTC 221212 103920 5 9 ,53.3285675,5.932851315,9.34,342.82,482,165°,,  3.48 m/s
UTC 221212 103940 5 9 ,53.32865143,5.93285799,9.47,163.75,418,163°,,  3.69 m/s
UTC 221212 103944 5 9 ,53.32847977,5.932941437,9.3,163.82,417,164°,,  3.69 m/s
UTC 221212 104005 5 9 ,53.32826233,5.933092117,9.12,342.74,472,150°,,  3.35 m/s
UTC 221212 104010 5 9 ,53.32847977,5.932985306,9.36,343.15,477,169°,,  3.41 m/s
UTC 221212 104015 5 9 ,53.3286972,5.932880402,9.59,342.75,482,178°,,  3.78 m/s
UTC 221212 104030 5 9 ,53.32872009,5.932919025,9.63,163.77,452,172°,,  3.71 m/s
UTC 221212 104035 5 9 ,53.32854843,5.933001518,9.46,163.72,418,166°,,  3.75 m/s
UTC 221212 104039 5 9 ,53.32833099,5.93310833,9.23,163.66,434,162°,,  3.46 m/s
UTC 221212 104055 5 9 ,53.32818222,5.933225155,9.05,342.92,455,165°,,  4.13 m/s
UTC 221212 104100 5 9 ,53.32839966,5.933119774,9.31,342.72,472,169°,,  3.68 m/s
UTC 221212 104105 5 9 ,53.3286171,5.933013916,9.54,342.76,491,166°,,  3.79 m/s
UTC 221212 104120 5 9 ,53.32887268,5.93294096,9.78,164.2,466,168°,,  1.42 m/s
UTC 221212 104125 5 9 ,53.32866287,5.933040619,9.59,163.82,439,166°,,  4.36 m/s
UTC 221212 104130 5 9 ,53.32844543,5.933146,9.4,163.65,427,169°,,  4.53 m/s
UTC 221212 104150 5 9 ,53.32830811,5.933258057,9.27,342.79,466,173°,,  3.13 m/s
UTC 221212 104155 5 9 ,53.32852936,5.933151722,9.48,342.9,482,166°,,  2.77 m/s
UTC 221212 104200 5 9 ,53.32874298,5.933046818,9.67,342.79,491,170°,,  3.46 m/s
UTC 221212 104216 5 9 ,53.32873154,5.933102608,9.68,163.78,439,170°,,  4.95 m/s
UTC 221212 104220 5 9 ,53.3285141,5.933206081,9.49,163.81,427,172°,,  4.33 m/s
UTC 221212 104226 5 9 ,53.32829666,5.933311462,9.34,163.84,418,163°,,  3.81 m/s
UTC 221212 104240 5 9 ,53.32823181,5.93338871,9.28,342.86,455,174°,,  3.62 m/s
UTC 221212 104245 5 9 ,53.32844925,5.933283806,9.47,342.8,482,165°,,  3.40 m/s
UTC 221212 104250 5 9 ,53.32866669,5.933178425,9.65,342.16,493,171°,,  3.20 m/s
UTC 221212 104305 5 9 ,53.32888031,5.933125019,9.79,163.88,460,177°,,  2.55 m/s
UTC 221212 104309 5 9 ,53.32866287,5.933228493,9.66,163.71,439,165°,,  3.25 m/s
UTC 221212 104314 5 9 ,53.32844543,5.93333292,9.54,163.72,434,161°,,  3.01 m/s
UTC 221212 104335 5 9 ,53.32837296,5.933415413,9.51,342.65,466,172°,,  4.24 m/s
UTC 221212 104340 5 9 ,53.32859039,5.933310032,9.65,342.62,472,171°,,  3.11 m/s
UTC 221212 104400 5 9 ,53.3287735,5.933269978,9.78,163.7,439,164°,,  3.33 m/s
UTC 221212 104405 5 9 ,53.32855606,5.933373451,9.62,163.7,424,170°,,  3.21 m/s
UTC 221212 104410 5 9 ,53.32833862,5.933479309,9.56,163.66,418,173°,,  3.29 m/s
UTC 221212 104425 5 9 ,53.3282814,5.933552742,9.58,343.04,477,185°,,  4.12 m/s
UTC 221212 104430 5 9 ,53.32850266,5.933447361,9.68,343.32,477,171°,,  2.76 m/s
UTC 221212 104435 5 9 ,53.32871628,5.93334198,9.75,342.53,482,166°,,  2.96 m/s
UTC 221212 104450 5 9 ,53.32888794,5.933309078,9.8,163.93,452,177°,,  1.67 m/s
UTC 221212 104455 5 9 ,53.3286705,5.933412552,9.77,163.79,434,169°,,  3.49 m/s
UTC 221212 104500 5 9 ,53.32845306,5.933516026,9.74,163.78,439,161°,,  3.59 m/s
UTC 221212 104515 5 9 ,53.32820892,5.933683395,9.64,342.42,491,164°,,  5.30 m/s
UTC 221212 104520 5 9 ,53.32841492,5.933582306,9.71,342.84,491,155°,,  2.53 m/s
UTC 221212 104525 5 9 ,53.32863235,5.933477402,9.77,342.75,493,163°,,  2.81 m/s
UTC 221212 104545 5 9 ,53.32878876,5.933449745,9.86,163.73,455,169°,,  3.33 m/s
UTC 221212 104550 5 9 ,53.32857132,5.933553219,9.82,163.59,443,178°,,  2.95 m/s
UTC 221212 104555 5 9 ,53.3283577,5.933658123,9.76,163.49,439,150°,,  3.03 m/s
UTC 221212 104610 5 9 ,53.32832718,5.933719158,9.77,342.9,477,172°,,  2.55 m/s
UTC 221212 104615 5 9 ,53.32854843,5.9336133,9.83,342.81,482,178°,,  2.94 m/s
UTC 221212 104620 5 9 ,53.32876205,5.933508396,9.89,342.91,477,180°,,  3.19 m/s
UTC 221212 104635 5 9 ,53.32891083,5.933486462,9.92,163.79,460,192°,,  1.76 m/s
UTC 221212 104640 5 9 ,53.32868958,5.933589935,9.89,163.65,443,179°,,  4.04 m/s
UTC 221212 104645 5 9 ,53.32847595,5.933694363,9.87,163.54,434,173°,,  3.11 m/s
UTC 221212 104659 5 9 ,53.32824326,5.933853149,9.74,343.15,472,173°,,  4.65 m/s
UTC 221212 104705 5 9 ,53.32845306,5.93375206,9.79,342.99,491,157°,,  1.79 m/s
UTC 221212 104710 5 9 ,53.3286705,5.933646202,9.88,342.65,493,181°,,  1.37 m/s
UTC 221212 104730 5 9 ,53.32880783,5.933627129,9.93,163.71,452,170°,,  1.80 m/s
UTC 221212 104734 5 9 ,53.32859039,5.933732033,9.86,163.82,447,178°,,  2.10 m/s
UTC 221212 104740 5 9 ,53.32837677,5.933837414,9.81,163.78,447,147°,,  2.20 m/s
UTC 221212 104755 5 9 ,53.32840729,5.933869362,9.78,342.63,491,167°,,  1.24 m/s
UTC 221212 104800 5 9 ,53.32858276,5.933784485,9.85,342.51,477,161°,,  1.10 m/s
UTC 221212 104805 5 9 ,53.3288002,5.933677197,9.93,342.81,477,164°,,  1.53 m/s
UTC 221212 104820 5 9 ,53.32888031,5.933688641,9.99,164.02,472,172°,,  2.28 m/s
UTC 221212 104825 5 9 ,53.32870483,5.933771133,9.89,163.74,455,149°,,  2.61 m/s
UTC 221212 104829 5 9 ,53.32853317,5.93385458,9.81,163.73,455,166°,,  2.18 m/s
UTC 221212 104845 5 9 ,53.32828903,5.934018612,9.56,342.45,498,171°,,  2.10 m/s
UTC 221212 104925 5 9 ,53.32840729,5.934010029,10.06,163.81,472,163°,,  2.27 m/s
UTC 221212 132955 5 9 ,53.3285408,5.93235302,7.97,297.37,530,184°,,  3.18 m/s
UTC 221212 133000 5 9 ,53.32857132,5.9324193,8.08,72.79,548,178°,,  3.79 m/s
UTC 221212 133005 5 9 ,53.32862473,5.932737351,8.67,73.85,556,179°,,  3.66 m/s
UTC 221212 133020 5 9 ,53.32881165,5.933806419,10.56,74.16,561,169°,,  2.29 m/s
UTC 221212 133025 5 9 ,53.32882309,5.933714867,10.41,252.85,536,173°,,  2.38 m/s
UTC 221212 133029 5 9 ,53.32877731,5.933447361,9.96,252.48,530,179°,,  2.78 m/s
UTC 221212 133045 5 9 ,53.32858276,5.932331085,7.99,259.44,497,183°,,  3.36 m/s
UTC 221212 133050 5 9 ,53.32862854,5.932432175,8.18,73.44,536,180°,,  3.07 m/s
UTC 221212 133110 5 9 ,53.32886887,5.933795452,10.51,38.86,561,169°,,  2.20 m/s
UTC 221212 133115 5 9 ,53.32886505,5.933636665,10.29,252.91,530,172°,,  2.99 m/s
UTC 221212 133130 5 9 ,53.32867813,5.932558537,8.5,252.86,497,134°,,  3.13 m/s
UTC 221212 133135 5 9 ,53.32863998,5.932293415,8.01,313.62,508,180°,,  3.87 m/s
UTC 221212 133140 5 9 ,53.32868958,5.932442665,8.37,73.72,542,191°,,  2.63 m/s
UTC 221212 133154 5 9 ,53.32886124,5.933448315,10.01,73.78,548,208°,,  3.76 m/s
UTC 221212 133200 5 9 ,53.32892609,5.933765411,10.41,358.54,574,174°,,  2.60 m/s
UTC 221212 133205 5 9 ,53.32891083,5.93358469,10.15,252.92,530,175°,,  2.70 m/s
UTC 221212 133220 5 9 ,53.32872391,5.932501316,8.55,252.83,505,146°,,  2.94 m/s
UTC 221212 133225 5 9 ,53.32871246,5.932266712,8.25,28.32,536,186°,,  3.56 m/s
UTC 221212 133230 5 9 ,53.32874298,5.932435036,8.55,73.77,548,187°,,  2.97 m/s
UTC 221212 133245 5 9 ,53.3289299,5.933517933,10.09,73.71,542,208°,,  3.30 m/s
UTC 221212 133250 5 9 ,53.32898331,5.933731556,10.26,344.16,556,172°,,  2.27 m/s
UTC 221212 133254 5 9 ,53.32897186,5.933596134,10.07,252.69,556,166°,,  2.28 m/s
UTC 221212 133309 5 9 ,53.32878494,5.932528496,8.75,252.98,530,147°,,  2.25 m/s
UTC 221212 133315 5 9 ,53.32875061,5.932229519,8.33,338.99,524,186°,,  3.04 m/s
UTC 221212 133320 5 9 ,53.32879257,5.932415009,8.64,73.71,556,191°,,  2.51 m/s
UTC 221212 133335 5 9 ,53.32899475,5.933571339,10,73.72,542,203°,,  3.63 m/s
UTC 221212 133340 5 9 ,53.32903671,5.93370533,10.13,340.21,561,172°,,  1.93 m/s
UTC 221212 133345 5 9 ,53.32901001,5.933504105,9.95,253.08,556,180°,,  2.85 m/s
UTC 221212 133400 5 9 ,53.32882309,5.932419777,8.73,252.67,524,147°,,  2.91 m/s
UTC 221212 133454 5 9 ,53.32883072,5.932251453,8.67,343.64,548,198°,,  2.36 m/s
UTC 221212 133500 5 9 ,53.32875061,5.932342053,8.73,163.8,530,200°,,  1.81 m/s
UTC 221212 133515 5 9 ,53.32810974,5.932651043,8.55,163.57,497,208°,,  1.33 m/s
UTC 221212 133520 5 9 ,53.32798004,5.932740688,8.5,76.98,518,173°,,  3.10 m/s
UTC 221212 133525 5 9 ,53.32809067,5.932707787,8.54,342.88,548,175°,,  3.44 m/s
UTC 221212 133540 5 9 ,53.32873535,5.93239212,8.81,342.99,542,188°,,  3.17 m/s
UTC 221212 133545 5 9 ,53.32885361,5.932372093,8.9,89.85,556,208°,,  1.29 m/s
UTC 221212 133550 5 9 ,53.32873154,5.932446003,8.92,164.04,542,205°,,  1.44 m/s
UTC 221212 133605 5 9 ,53.32804108,5.932778835,8.64,163.59,505,201°,,  1.43 m/s
UTC 221212 133610 5 9 ,53.32800293,5.932841301,8.64,24.61,530,177°,,  2.56 m/s
UTC 221212 133615 5 9 ,53.32813644,5.932777882,8.73,342.45,548,175°,,  3.19 m/s
UTC 221212 133630 5 9 ,53.32878876,5.932461262,8.99,342.65,548,191°,,  2.17 m/s
UTC 221212 133635 5 9 ,53.32885742,5.932476044,9.13,152.16,561,204°,,  1.17 m/s
UTC 221212 133640 5 9 ,53.32870865,5.932550907,9.07,163.73,536,198°,,  1.44 m/s
UTC 221212 133650 5 9 ,53.32827377,5.932759285,8.94,163.59,508,164°,,  1.68 m/s
UTC 221212 133720 5 9 ,53.32801056,5.934218407,12.68,315.11,508,193°,,  2.04 m/s
UTC 221212 133745 5 9 ,53.3278923,5.934300423,7.23,345.33,618,194°,,  4.12 m/s
UTC 221212 133750 5 9 ,53.3278923,5.9343009,7.23,345.34,641,193°,,  3.57 m/s
UTC 221212 133755 5 9 ,53.32788849,5.934296131,7.23,345.32,656,201°,,  4.15 m/s
UTC 221212 133815 5 9 ,53.32788849,5.934296131,7.23,345.42,699,201°,,  2.46 m/s
UTC 221212 133820 5 9 ,53.32788849,5.934296131,7.23,345.38,672,193°,,  2.87 m/s
UTC 221212 133825 5 9 ,53.32788849,5.934296608,7.23,345.38,699,189°,,  3.23 m/s
UTC 221212 133840 5 9 ,53.32789612,5.934266567,16.21,282.21,591,181°,,  3.45 m/s
UTC 221212 133845 5 9 ,53.32794189,5.933964729,16.17,282.75,536,179°,,  3.48 m/s
UTC 221212 133850 5 9 ,53.3279953,5.933594704,16.14,282.67,518,174°,,  3.62 m/s
UTC 221212 133905 5 9 ,53.32809448,5.932843208,16.06,163.26,492,187°,,  2.95 m/s
UTC 221212 133910 5 9 ,53.32801056,5.932925224,15.92,54.1,505,189°,,  2.75 m/s
UTC 221212 133915 5 9 ,53.32814026,5.932869434,16.04,342.85,524,194°,,  2.79 m/s
UTC 221212 133930 5 9 ,53.32879257,5.932552815,16.44,342.69,530,168°,,  3.08 m/s
UTC 221212 133935 5 9 ,53.3288765,5.932558537,16.6,133.67,542,174°,,  3.09 m/s
UTC 221212 133940 5 9 ,53.32872772,5.932635784,16.51,163.7,505,170°,,  2.78 m/s
UTC 221212 133955 5 9 ,53.32807922,5.932948113,16.04,163.53,476,190°,,  2.74 m/s
UTC 221212 134000 5 9 ,53.32804489,5.933013916,16.02,344.48,505,187°,,  2.57 m/s
UTC 221212 134020 5 9 ,53.32885742,5.932615757,16.64,342.62,530,176°,,  3.71 m/s
UTC 221212 134025 5 9 ,53.32886887,5.932660103,16.75,163.64,536,165°,,  2.75 m/s
UTC 221212 134040 5 9 ,53.3282547,5.932956696,16.26,163.65,483,226°,,  1.29 m/s
UTC 221212 134045 5 9 ,53.32804871,5.933056831,16.08,164.28,486,190°,,  2.79 m/s
UTC 221212 134050 5 9 ,53.32808304,5.933086395,16.11,342.57,518,186°,,  2.55 m/s
UTC 221212 134104 5 9 ,53.32871246,5.932780266,16.69,342.84,542,171°,,  4.41 m/s
UTC 221212 134110 5 9 ,53.32891464,5.932695866,16.86,49.36,548,169°,,  2.86 m/s
UTC 221212 134114 5 9 ,53.32888031,5.932750225,16.9,163.41,542,165°,,  3.64 m/s
UTC 221212 134130 5 9 ,53.32821655,5.933068752,16.28,163.61,476,182°,,  2.70 m/s
UTC 221212 134135 5 9 ,53.32804489,5.933157444,16.07,132.19,492,167°,,  3.80 m/s
UTC 221212 134140 5 9 ,53.32813263,5.933154583,16.19,342.53,530,176°,,  3.76 m/s
UTC 221212 134155 5 9 ,53.32881546,5.932823181,16.92,342.95,556,170°,,  3.32 m/s
UTC 221212 134200 5 9 ,53.32892609,5.932786465,17.03,59.55,556,162°,,  3.63 m/s
UTC 221212 134205 5 9 ,53.3288269,5.932869434,16.99,163.85,518,164°,,  3.80 m/s
UTC 221212 134240 5 9 ,53.32862473,5.933011532,16.77,342.65,548,165°,,  1.27 m/s
UTC 221212 134245 5 9 ,53.32883835,5.932906628,16.98,342.65,548,172°,,  1.85 m/s
UTC 221212 134255 5 9 ,53.32879257,5.932979584,16.97,163.64,505,172°,,  2.37 m/s
UTC 221212 134300 5 9 ,53.32857132,5.933084011,16.74,163.67,476,176°,,  2.11 m/s
UTC 221212 134305 5 9 ,53.3283577,5.933187008,16.53,163.71,470,162°,,  1.87 m/s
UTC 221212 134311 5 9 ,53.32810211,5.933312416,16.31,164.16,461,143°,,  2.48 m/s
UTC 221212 134320 5 9 ,53.32825851,5.933283329,16.46,342.74,505,142°,,  2.06 m/s
