TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter ASL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221221 113500 5 9 ,53.32808685,5.93333149,9.04,255.01,408,210°,,  9.45 m/s
UTC 221221 113505 5 9 ,53.32803726,5.932974815,8.83,256.31,400,202°,,  5.77 m/s
UTC 221221 113525 5 9 ,53.32819748,5.9338274,9.34,73.42,445,189°,,  7.19 m/s
UTC 221221 113530 5 9 ,53.32825089,5.934109211,9.5,32.78,454,193°,,  7.93 m/s
UTC 221221 113545 5 9 ,53.328125,5.933237076,8.97,253.63,414,200°,,  7.23 m/s
UTC 221221 113550 5 9 ,53.32806015,5.932871819,8.75,252.4,407,196°,,  7.63 m/s
UTC 221221 113555 5 9 ,53.32804108,5.932655811,8.54,344.5,420,196°,,  7.51 m/s
UTC 221221 113610 5 9 ,53.32822418,5.933657646,9.29,73.73,455,189°,,  6.95 m/s
UTC 221221 113615 5 9 ,53.32827377,5.93394804,9.48,73.69,456,193°,,  7.30 m/s
UTC 221221 113620 5 9 ,53.32831955,5.934051037,9.6,273.69,446,202°,,  8.45 m/s
UTC 221221 113635 5 9 ,53.32814789,5.933066368,8.93,252.77,405,195°,,  7.76 m/s
UTC 221221 113640 5 9 ,53.32808685,5.93270731,8.69,252.48,405,197°,,  7.51 m/s
UTC 221221 113645 5 9 ,53.32810974,5.932664394,8.62,72.48,432,191°,,  7.62 m/s
UTC 221221 113700 5 9 ,53.32828522,5.933691025,9.45,73.99,455,197°,,  8.42 m/s
UTC 221221 113705 5 9 ,53.32834625,5.934035301,9.71,74.88,456,204°,,  8.27 m/s
UTC 221221 113720 5 9 ,53.32823944,5.933263779,9.18,253.06,411,205°,,  7.71 m/s
UTC 221221 113725 5 9 ,53.32817841,5.932902336,8.89,253.18,401,196°,,  7.18 m/s
UTC 221221 113730 5 9 ,53.328125,5.932602406,8.61,276.17,407,198°,,  8.22 m/s
UTC 221221 113745 5 9 ,53.32829666,5.93342638,9.39,73.48,455,197°,,  7.38 m/s
UTC 221221 113750 5 9 ,53.3283577,5.9337883,9.75,73.72,451,202°,,  8.11 m/s
UTC 221221 113755 5 9 ,53.3284111,5.934027195,10,350.96,446,193°,,  7.80 m/s
UTC 221221 113809 5 9 ,53.3282814,5.933189869,9.22,253.8,415,192°,,  7.08 m/s
UTC 221221 113815 5 9 ,53.32820511,5.93275547,8.78,252.84,410,199°,,  8.58 m/s
UTC 221221 113820 5 9 ,53.32819748,5.932567596,8.48,8.65,423,198°,,  7.69 m/s
UTC 221221 113835 5 9 ,53.32837677,5.93358469,9.71,73.44,463,198°,,  7.00 m/s
UTC 221221 113840 5 9 ,53.32843018,5.93387413,10.08,73.72,463,202°,,  7.37 m/s
UTC 221221 113845 5 9 ,53.32847214,5.933969021,10.3,266.48,459,202°,,  6.57 m/s
UTC 221221 113900 5 9 ,53.32830429,5.932988167,9.1,253.11,414,190°,,  7.37 m/s
UTC 221221 113905 5 9 ,53.32823944,5.932624817,8.6,253.2,422,196°,,  9.49 m/s
UTC 221221 113909 5 9 ,53.32826233,5.932567596,8.5,72.17,444,188°,,  6.24 m/s
UTC 221221 113925 5 9 ,53.32843399,5.933582783,9.91,73.25,466,196°,,  9.14 m/s
UTC 221221 113930 5 9 ,53.32849503,5.933939934,10.37,74.76,473,192°,,  8.55 m/s
UTC 221221 113950 5 9 ,53.32833862,5.932865143,8.96,253.19,414,194°,,  7.94 m/s
UTC 221221 113955 5 9 ,53.3282814,5.93252945,8.51,252.09,418,195°,,  7.68 m/s
UTC 221221 114010 5 9 ,53.32843781,5.933274746,9.6,73.68,473,186°,,  5.76 m/s
UTC 221221 114015 5 9 ,53.32849884,5.933637619,10.13,73.72,480,207°,,  8.56 m/s
UTC 221221 114020 5 9 ,53.32855606,5.933953285,10.6,64.72,483,197°,,  7.13 m/s
UTC 221221 114035 5 9 ,53.32843781,5.93310976,9.42,253.42,422,198°,,  9.51 m/s
UTC 221221 114040 5 9 ,53.32837677,5.932750225,8.82,253.36,414,195°,,  6.89 m/s
UTC 221221 114045 5 9 ,53.32833481,5.932474136,8.37,306.95,426,196°,,  8.26 m/s
UTC 221221 114100 5 9 ,53.32850266,5.933338642,9.83,73.95,462,198°,,  7.46 m/s
UTC 221221 114105 5 9 ,53.3285675,5.933701992,10.44,73.7,466,199°,,  7.50 m/s
UTC 221221 114110 5 9 ,53.32862091,5.933920384,10.79,344.7,459,198°,,  8.34 m/s
UTC 221221 114124 5 9 ,53.32847214,5.932995319,9.3,253.58,423,197°,,  7.95 m/s
UTC 221221 114131 5 9 ,53.32839966,5.932559967,8.55,253.59,422,198°,,  8.19 m/s
UTC 221221 114135 5 9 ,53.32839966,5.932443619,8.28,5.54,439,196°,,  8.33 m/s
UTC 221221 114150 5 9 ,53.32857132,5.93338871,9.97,73.59,473,203°,,  6.71 m/s
UTC 221221 114155 5 9 ,53.32863235,5.933746338,10.6,73.49,476,204°,,  8.00 m/s
UTC 221221 114200 5 9 ,53.32867813,5.933867455,10.76,282.4,473,200°,,  5.96 m/s
UTC 221221 114216 5 9 ,53.32850266,5.932831287,9.01,253.15,422,193°,,  6.21 m/s
UTC 221221 114220 5 9 ,53.32845306,5.932542801,8.48,253.56,418,196°,,  7.55 m/s
UTC 221221 114225 5 9 ,53.32846451,5.932434082,8.3,68.99,444,198°,,  7.34 m/s
UTC 221221 114240 5 9 ,53.3286438,5.933485031,10.14,73.92,486,199°,,  6.29 m/s
UTC 221221 114245 5 9 ,53.32869339,5.933773041,10.65,73.84,476,199°,,  7.23 m/s
UTC 221221 114250 5 9 ,53.32873154,5.933824062,10.72,256.07,463,200°,,  8.36 m/s
UTC 221221 114305 5 9 ,53.32855606,5.932826996,9.01,253.78,426,197°,,  6.73 m/s
UTC 221221 114310 5 9 ,53.32849503,5.932462692,8.36,252.31,426,197°,,  9.11 m/s
UTC 221221 114316 5 9 ,53.32852173,5.932459831,8.32,73.72,459,189°,,  8.08 m/
UTC 221221 114331 5 9 ,53.32870102,5.933502197,10.18,74,476,197°,,  8.82 m/s
UTC 221221 114335 5 9 ,53.32875061,5.933787823,10.71,74.39,480,203°,,  6.89 m/s
UTC 221221 114355 5 9 ,53.32859802,5.932750225,8.89,252.48,426,193°,,  8.49 m/s
UTC 221221 114400 5 9 ,53.32853317,5.932361603,8.2,258.82,443,192°,,  7.74 m/s
UTC 221221 114420 5 9 ,53.32875061,5.933456898,10.12,73.9,476,200°,,  7.75 m/s
UTC 221221 114426 5 9 ,53.32881546,5.933823109,10.7,40.96,483,195°,,  7.77 m/s
UTC 221221 114438 5 9 ,53.32871628,5.933104515,9.51,253.73,434,202°,,  9.98 m/s
UTC 221221 114445 5 9 ,53.3286438,5.932670593,8.72,254.07,426,192°,,  6.39 m/s
UTC 221221 114451 5 9 ,53.32858658,5.932321072,8.11,303.45,443,191°,,  9.56 m/s
UTC 221221 114505 5 9 ,53.3287468,5.933114052,9.5,73.59,480,187°,,  7.74 m/s
UTC 221221 114510 5 9 ,53.32881927,5.933549404,10.28,73.2,480,201°,,  8.22 m/s
UTC 221221 114515 5 9 ,53.32886505,5.933792114,10.64,68.15,480,199°,,  7.46 m/s
UTC 221221 114530 5 9 ,53.3287468,5.932950974,9.26,252.93,443,192°,,  9.22 m/s
UTC 221221 114535 5 9 ,53.32868195,5.932589054,8.64,253.5,439,190°,,  6.15 m/s
UTC 221221 114540 5 9 ,53.32863617,5.932293892,8.15,280.33,447,193°,,  7.12 m/s
UTC 221221 114556 5 9 ,53.32881927,5.933206081,9.71,73.72,483,185°,,  6.28 m/s
UTC 221221 114600 5 9 ,53.32886887,5.933497429,10.14,73.76,486,199°,,  6.93 m/s
UTC 221221 114604 5 9 ,53.32891464,5.933759213,10.55,74.74,502,199°,,  7.70 m/s
UTC 221221 114620 5 9 ,53.32879257,5.932891369,9.22,253.15,447,197°,,  8.11 m/s
UTC 221221 114625 5 9 ,53.32873154,5.932530403,8.66,254.21,444,195°,,  7.61 m/s
UTC 221221 114630 5 9 ,53.32868958,5.932260513,8.3,311.22,459,195°,,  7.49 m/s
UTC 221221 114645 5 9 ,53.32886124,5.933134079,9.56,73.27,483,192°,,  7.56 m/s
UTC 221221 114650 5 9 ,53.32892609,5.933498859,10.07,73.64,486,197°,,  7.67 m/s
UTC 221221 114655 5 9 ,53.32897949,5.933740616,10.36,354.13,476,200°,,  8.42 m/s
UTC 221221 114710 5 9 ,53.32883835,5.932840824,9.25,253.16,439,197°,,  9.61 m/s
UTC 221221 114715 5 9 ,53.32877731,5.932476521,8.73,253.46,434,198°,,  8.98 m/s
UTC 221221 114721 5 9 ,53.32875824,5.932233334,8.44,22.4,447,195°,,  9.50 m/s
UTC 221221 114735 5 9 ,53.32891464,5.933115959,9.56,73.42,486,195°,,  7.21 m/s
UTC 221221 114740 5 9 ,53.32897568,5.933480263,10,73.68,486,192°,,  7.83 m/s
UTC 221221 114745 5 9 ,53.3290329,5.933711052,10.2,348.42,483,195°,,  6.71 m/s
UTC 221221 114800 5 9 ,53.32888794,5.932804585,9.27,252.85,447,197°,,  8.51 m/s
UTC 221221 114805 5 9 ,53.3288269,5.932444572,8.84,252.9,447,191°,,  6.81 m/s
UTC 221221 114810 5 9 ,53.32879639,5.932198048,8.51,332.24,462,191°,,  6.99 m/s
UTC 221221 114915 5 9 ,53.32835007,5.932532787,8.69,163.49,459,198°,,  8.81 m/s
UTC 221221 114920 5 9 ,53.32809067,5.932659149,8.6,163.31,462,202°,,  6.12 m/s
UTC 221221 114925 5 9 ,53.32797241,5.932726383,8.53,114.57,480,208°,,  5.83 m/s
UTC 221221 114940 5 9 ,53.32849884,5.932508946,8.79,342.85,495,201°,,  6.35 m/s
UTC 221221 114945 5 9 ,53.32871628,5.932401657,8.88,342.56,506,195°,,  7.53 m/s
UTC 221221 114950 5 9 ,53.32885742,5.932357788,8.96,70.63,497,187°,,  6.36 m/s
UTC 221221 115007 5 9 ,53.32876205,5.932437897,8.97,163.73,497,197°,,  6.77 m/s
UTC 221221 115010 5 9 ,53.32876205,5.93243742,8.98,163.6,491,192°,,  6.98 m/s
UTC 221221 115015 5 9 ,53.32876205,5.932437897,9,163.42,495,196°,,  6.29 m/s
UTC 221221 115020 5 9 ,53.32876205,5.932437897,9.01,163.33,497,198°,,  5.66 m/s
UTC 221221 115025 5 9 ,53.32876205,5.932436466,9.03,163.75,491,202°,,  6.70 m/s
