TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter ASL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221221 121310 5 9 ,53.32806778,5.935041428,18.85,69.12,451,201°,,  7.07 m/s
UTC 221221 121325 5 9 ,53.32816696,5.935441494,18.83,254.87,413,214°,,  8.08 m/s
UTC 221221 121330 5 9 ,53.32812119,5.935081959,18.69,256.28,400,192°,,  5.50 m/s
UTC 221221 121350 5 9 ,53.32789993,5.933616638,18.29,256.08,400,195°,,  8.83 m/s
UTC 221221 121355 5 9 ,53.32784653,5.933256626,18.18,256.29,400,196°,,  9.20 m/
UTC 221221 121359 5 9 ,53.32778931,5.932889462,18.14,256.02,402,196°,,  7.67 m/s
UTC 221221 121407 5 9 ,53.3278389,5.932623386,18.01,36.4,424,194°,,  10.95 m/s
UTC 221221 121411 5 9 ,53.32787704,5.932849407,18.06,75.42,450,197°,,  9.87 m/s
UTC 221221 121415 5 9 ,53.32791901,5.933146954,18.13,75.79,446,199°,,  11.56 m/s
UTC 221221 121430 5 9 ,53.32808304,5.934243202,18.48,75.89,461,200°,,  9.74 m/s
UTC 221221 121435 5 9 ,53.32813644,5.93460846,18.61,75.97,461,206°,,  9.82 m/s
UTC 221221 121441 5 9 ,53.32820129,5.93504858,18.71,76.52,463,197°,,  8.74 m/s
UTC 221221 121445 5 9 ,53.32824707,5.935340881,18.8,76.02,465,207°,,  9.28 m/s
UTC 221221 121450 5 9 ,53.32832718,5.93551302,18.88,343.48,465,203°,,  10.07 m/s
UTC 221221 121455 5 9 ,53.32833099,5.935256004,18.88,255.18,446,204°,,  8.03 m/s
UTC 221221 121500 5 9 ,53.32827377,5.934886932,18.79,256.13,424,212°,,  7.97 m/s
UTC 221221 121515 5 9 ,53.32810974,5.933791161,18.56,255.17,407,192°,,  7.03 m/s
UTC 221221 121520 5 9 ,53.32805634,5.933426857,18.44,255.43,416,198°,,  10.26 m/s
UTC 221221 121525 5 9 ,53.32800293,5.933058262,18.34,255.28,416,200°,,  10.82 m/s
UTC 221221 121530 5 9 ,53.32794571,5.932693481,18.28,255.78,418,201°,,  9.02 m/s
UTC 221221 121535 5 9 ,53.32800293,5.932531834,18.26,12.76,444,195°,,  8.18 m/s
UTC 221221 121541 5 9 ,53.32806778,5.932885647,18.38,75.95,465,196°,,  9.18 m/s
UTC 221221 121545 5 9 ,53.32810974,5.933179379,18.51,75.81,465,194°,,  8.49 m/s
UTC 221221 121600 5 9 ,53.32827377,5.934279442,18.81,76.09,470,201°,,  8.56 m/s
UTC 221221 121605 5 9 ,53.32833099,5.934644699,18.89,75.91,470,201°,,  9.45 m/s
UTC 221221 121610 5 9 ,53.3283844,5.93501091,18.99,75.98,470,208°,,  10.48 m/s
