TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter ASL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221221 124735 5 9 ,53.32822418,5.93566227,28.91,354.86,552,210°,,  10.85 m/s
UTC 221221 124750 5 9 ,53.32810974,5.934831619,29.01,256.5,492,208°,,  10.00 m/s
UTC 221221 124755 5 9 ,53.32806396,5.934468746,29.03,257.68,496,201°,,  9.64 m/s
UTC 221221 124800 5 9 ,53.32801437,5.934098721,29.12,257.38,502,211°,,  10.40 m/s
UTC 221221 124815 5 9 ,53.3278656,5.932999134,29.19,257.91,486,199°,,  9.47 m/s
UTC 221221 124820 5 9 ,53.32781982,5.932630539,29.28,257.61,486,205°,,  8.03 m/s
UTC 221221 124825 5 9 ,53.32777023,5.932265759,29.26,257.74,480,204°,,  10.19 m/s
UTC 221221 124830 5 9 ,53.32772064,5.931898594,29.37,256.81,477,203°,,  10.83 m/s
UTC 221221 124835 5 9 ,53.32767105,5.931529045,29.36,257.89,482,202°,,  10.60 m/s
UTC 221221 124840 5 9 ,53.32764435,5.931175232,29.4,296.63,496,207°,,  10.09 m/s
UTC 221221 124845 5 9 ,53.32781219,5.931181908,28.88,58.48,530,207°,,  9.54 m/s
UTC 221221 124848 5 9 ,53.32786179,5.931591511,28.93,77.44,548,207°,,  10.24 m/s
UTC 221221 124856 5 9 ,53.32791138,5.931959629,28.94,77.34,552,211°,,  10.10 m/s
UTC 221221 124900 5 9 ,53.32794952,5.932249546,28.95,77.21,561,204°,,  10.93 m/s
UTC 221221 124905 5 9 ,53.32799912,5.932619572,28.98,77.35,567,207°,,  10.48 m/s
UTC 221221 124910 5 9 ,53.32805252,5.932986736,29,77.35,561,206°,,  9.05 m/s
UTC 221221 124924 5 9 ,53.32820511,5.934163094,29.06,77.71,567,201°,,  10.43 m/s
UTC 221221 124930 5 9 ,53.32824707,5.934454441,29.05,77.3,555,201°,,  10.16 m/s
UTC 221221 124935 5 9 ,53.32829285,5.934823513,29.07,77.53,548,204°,,  10.10 m/s
UTC 221221 124940 5 9 ,53.32834244,5.935189247,29.09,77.05,555,206°,,  8.12 m/s
UTC 221221 124945 5 9 ,53.32840347,5.935530663,29.15,43.98,555,203°,,  9.07 m/s
UTC 221221 124950 5 9 ,53.32855988,5.935415745,29.64,275.1,543,202°,,  11.46 m/
UTC 221221 124955 5 9 ,53.3285141,5.935090065,29.63,257.03,506,202°,,  10.45 m/s
UTC 221221 125000 5 9 ,53.32846451,5.934720993,29.53,257.35,496,202°,,  10.00 m/s
UTC 221221 125004 5 9 ,53.32842636,5.934426785,29.5,257.1,486,204°,,  8.94 m/s
UTC 221221 125010 5 9 ,53.32836533,5.933983803,29.46,256.57,463,208°,,  9.67 m/s
UTC 221221 125015 5 9 ,53.32831573,5.933615685,29.37,256.89,477,202°,,  10.79 m/s
UTC 221221 125030 5 9 ,53.32817078,5.932515621,29.16,257.05,486,211°,,  8.17 m/s
UTC 221221 125035 5 9 ,53.32812119,5.93214798,29.1,256.78,480,213°,,  8.87 m/s
UTC 221221 125040 5 9 ,53.32807159,5.93178606,29.02,257.77,477,209°,,  8.51 m/s
UTC 221221 125045 5 9 ,53.32802582,5.931414127,28.95,257.38,486,211°,,  9.10 m/s
UTC 221221 125050 5 9 ,53.3279953,5.931061745,28.95,293.68,498,211°,,  9.39 m/s
UTC 221221 125055 5 9 ,53.32816315,5.931061268,28.93,58.07,537,210°,,  9.82 m/s
UTC 221221 125100 5 9 ,53.32820511,5.931398392,29.04,77.27,555,212°,,  10.19 m/s
UTC 221221 125105 5 9 ,53.3282547,5.931769848,29.14,77.55,561,209°,,  9.60 m/s
UTC 221221 125110 5 9 ,53.32830429,5.932136536,29.25,77.47,572,211°,,  9.70 m/s
UTC 221221 125115 5 9 ,53.32835388,5.932503223,29.37,77.63,572,209°,,  8.59 m/s
UTC 221221 125120 5 9 ,53.32840347,5.932870865,29.48,77.18,567,207°,,  7.22 m/s
UTC 221221 125132 5 9 ,53.32851791,5.933752537,29.79,77.5,555,198°,,  6.69 m/s
UTC 221221 125140 5 9 ,53.32859802,5.934339523,29.96,77.6,555,194°,,  7.04 m/s
UTC 221221 125145 5 9 ,53.32864761,5.934705257,30.06,77.53,567,195°,,  6.99 m/s
UTC 221221 125151 5 9 ,53.32870483,5.935144424,30.21,77.27,561,198°,,  7.72 m/s
UTC 221221 125155 5 9 ,53.32875824,5.935410023,30.32,38.95,586,199°,,  7.70 m/s
UTC 221221 125200 5 9 ,53.32891083,5.935282707,30.79,273.29,555,197°,,  7.90 m/s
UTC 221221 125205 5 9 ,53.32886124,5.934931755,30.62,257.04,530,199°,,  7.97 m/s
UTC 221221 125210 5 9 ,53.32881165,5.934562206,30.48,257.05,514,196°,,  8.45 m/s
UTC 221221 125215 5 9 ,53.32876205,5.934194088,30.32,257.18,514,195°,,  8.80 m/s
UTC 221221 125220 5 9 ,53.32871628,5.933827877,30.16,256.69,502,193°,,  8.65 m/s
UTC 221221 125225 5 9 ,53.32866669,5.93346262,30.01,256.68,506,194°,,  7.27 m/s
UTC 221221 125240 5 9 ,53.32851791,5.932357788,29.49,257.19,523,203°,,  7.93 m/s
UTC 221221 125245 5 9 ,53.32846832,5.9319911,29.35,256.69,523,201°,,  8.06 m/s
UTC 221221 125250 5 9 ,53.32842255,5.931623936,29.19,257.1,534,201°,,  7.88 m/s
UTC 221221 125254 5 9 ,53.32836914,5.931259155,29.02,256.53,534,195°,,  7.62 m/s
UTC 221221 125300 5 9 ,53.32836151,5.930916786,28.82,311.46,543,199°,,  7.68 m/s
UTC 221221 125305 5 9 ,53.32852554,5.930988312,28.65,74,572,194°,,  6.90 m/s
UTC 221221 125310 5 9 ,53.3285675,5.931349754,28.79,77.42,572,201°,,  8.11 m/s
UTC 221221 125315 5 9 ,53.3286171,5.93171835,28.95,77.3,575,190°,,  6.97 m/s
UTC 221221 125320 5 9 ,53.32866669,5.932085514,29.08,77.42,575,196°,,  9.02 m/s
UTC 221221 125325 5 9 ,53.32871246,5.932450771,29.25,76.97,561,203°,,  8.97 m/s
UTC 221221 125330 5 9 ,53.32876205,5.932819843,29.43,77.46,561,198°,,  9.79 m/s
UTC 221221 125343 5 9 ,53.32889175,5.933773994,29.83,77,561,191°,,  11.19 m/s
UTC 221221 125350 5 9 ,53.32896042,5.934288502,30.04,77.26,567,191°,,  9.81 m/s
UTC 221221 125355 5 9 ,53.32901001,5.93465662,30.22,77.57,567,195°,,  9.96 m/s
