TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221212 122754 5 9 ,351,53.32791138,5.934297085,0,0,0,0,326.7,326.7,0.01,406,0,143,285,180,147,12.57,101337,16.64
UTC 221212 122755 5 9 ,352,53.32791138,5.934297085,0,0,0,0,326.67,326.67,0.01,410,1,143,285,180,147,12.57,101333,16.64
UTC 221212 122756 5 9 ,353,53.32791138,5.934297085,0,0,0,0,326.6,326.6,0.01,410,1,144,284,180,147,12.57,101333,16.64
UTC 221212 122757 5 9 ,354,53.32791138,5.934297562,0,0,0,0,326.54,326.54,0.01,410,1,143,284,179,146,12.49,101331,16.64
UTC 221212 122758 5 9 ,355,53.32790756,5.934298039,0.72,0,0,0,325.78,325.78,0.01,400,0,141,282,179,145,12.35,101326,16.64
UTC 221212 122758 5 9 ,356,53.32790756,5.934296608,4.66,0,0,0,325.93,325.93,0.01,400,0,141,283,179,146,12.32,101275,24.96
UTC 221212 122800 5 9 ,357,53.32791138,5.934296131,8.33,0,0,0,326.47,326.47,0.01,400,0,140,282,178,145,12.33,101232,24.96
UTC 221212 122801 5 9 ,358,53.32791138,5.934296131,8.79,0,0,0,325.99,325.99,0.01,400,0,138,282,177,144,12.19,101219,24.96
UTC 221212 122802 5 9 ,359,53.32791138,5.934296608,8.73,0,0,0,326.23,326.23,0.01,403,0,136,281,177,145,12.1,101219,24.96
UTC 221212 122803 5 9 ,360,53.32790756,5.934297085,8.7,0,0,0,326.15,326.15,0.01,403,0,135,282,177,144,11.99,101219,24.96
UTC 221212 122803 5 9 ,361,53.32790756,5.934296608,8.7,0,0,0,326.37,326.37,0.01,400,0,134,282,176,143,11.89,101218,24.96
UTC 221212 122805 5 9 ,362,53.32790756,5.934296608,8.73,0,0,0,326.23,326.23,0.01,400,0,133,282,176,143,11.79,101218,24.96
UTC 221212 122806 5 9 ,363,53.32790756,5.934296131,8.96,0,0,0,326.15,326.15,0.01,405,0,130,281,175,143,11.65,101214,24.96
UTC 221212 122807 5 9 ,364,53.32790756,5.934295654,11.07,0,0,0,325.93,325.93,0.01,405,0,129,282,175,142,11.46,101189,33.3
