TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221212 101240 5 9 ,1186,53.3278923,5.934298039,0,0,0,0,349.07,349.07,0.01,432,4,159,274,197,135,8.29,101360,16.64
UTC 221212 101240 5 9 ,1187,53.3278923,5.934298039,0.01,0,0,0,348.65,348.65,0.01,416,2,158,274,197,134,8.23,101348,16.64
UTC 221212 101242 5 9 ,1188,53.3278923,5.934296608,0.41,0,0,0,346.85,346.85,0.01,423,3,156,274,198,134,8.09,101356,16.64
UTC 221212 101243 5 9 ,1189,53.3278923,5.934296608,1.69,0,0,0,346.82,346.82,0.01,415,2,156,274,197,134,8.12,101336,16.64
UTC 221212 101244 5 9 ,1190,53.3278923,5.934296131,3.83,0,0,0,347.11,347.11,0.01,415,2,155,274,197,134,8.13,101316,16.64
UTC 221212 101245 5 9 ,1191,53.3278923,5.934296131,4.62,0,0,0,346.8,346.8,0.01,411,1,153,274,197,133,8.11,101302,16.64
UTC 221212 101245 5 9 ,1192,53.3278923,5.934296608,4.57,0,0,0,346.97,346.97,0.01,401,0,152,274,197,133,8.01,101304,16.64
UTC 221212 101247 5 9 ,1193,53.3278923,5.934297085,4.55,0,0,0,347.17,347.17,0.01,405,0,151,274,197,133,7.94,101304,16.64
UTC 221212 101248 5 9 ,1194,53.3278923,5.93430233,4.55,0,0,0,347.42,347.42,0.01,408,1,151,275,197,133,7.87,101305,16.64
UTC 221212 101249 5 9 ,1195,53.3278923,5.934303284,4.57,0,0,0,347.55,347.55,0.01,400,0,149,274,197,133,7.84,101300,16.64
UTC 221212 101250 5 9 ,1196,53.3278923,5.9343009,4.58,0,0,0,347.43,347.43,0.01,400,0,147,274,196,132,7.8,101302,16.64
UTC 221212 101251 5 9 ,1197,53.3278923,5.934301376,4.6,0,0,0,347.43,347.43,0.01,400,0,147,274,196,133,7.78,101299,24.96
UTC 221212 101252 5 9 ,1198,53.3278923,5.934301853,4.7,0,0,0,347.29,347.29,0.01,407,1,146,275,196,132,7.74,101302,16.64
UTC 221212 101253 5 9 ,1199,53.3278923,5.934301853,5.54,0,0,0,347.13,347.13,0.01,402,0,145,275,195,132,7.67,101290,24.96
UTC 221212 101254 5 9 ,1200,53.3278923,5.93430233,6.45,0,0,0,347.19,347.19,0.01,400,0,144,275,195,132,7.58,101278,24.96
UTC 221212 101254 5 9 ,1201,53.3278923,5.934301853,6.69,0,0,0,347.28,347.28,0.01,400,0,144,275,195,132,7.52,101277,24.96
UTC 221212 101256 5 9 ,1202,53.3278923,5.93430233,6.67,0,0,0,347.39,347.39,0.01,400,0,144,275,195,131,7.44,101275,24.96
UTC 221212 101257 5 9 ,1203,53.3278923,5.93430233,7.35,0,0,0,347.42,347.42,0.01,400,0,143,275,195,132,7.42,101266,24.96
UTC 221212 101258 5 9 ,1204,53.3278923,5.93430233,8.42,0,0,0,347.38,347.38,0.01,409,1,143,275,195,132,7.39,101255,24.96
UTC 221212 101259 5 9 ,1205,53.3278923,5.934301853,9.1,0,0,0,347.39,347.39,0.01,405,0,142,276,195,132,7.35,101246,24.96
UTC 221212 101259 5 9 ,1206,53.3278923,5.934301853,9.55,0,0,0,347.51,347.51,0.01,407,1,142,275,195,132,7.31,101238,24.96
UTC 221212 101301 5 9 ,1207,53.3278923,5.934301853,9.92,0,0,0,347.22,347.22,0.01,407,1,141,276,194,131,7.26,101236,24.96
UTC 221212 101302 5 9 ,1208,53.3278923,5.934301853,9.9,0,0,0,347.22,347.22,0.01,409,1,141,275,194,131,7.24,101237,24.96
UTC 221212 101303 5 9 ,1209,53.3278923,5.934301853,9.9,0,0,0,347.19,347.19,0.01,423,3,140,275,193,131,7.22,101236,24.96
UTC 221212 101304 5 9 ,1210,53.3278923,5.934301376,9.9,0,0,0,347.04,347.04,0.01,413,1,139,276,193,131,7.2,101235,24.96
UTC 221212 101304 5 9 ,1211,53.3278923,5.934301853,9.91,0,0,0,347.3,347.3,0.01,409,1,139,274,193,130,7.16,101234,24.96
UTC 221212 101306 5 9 ,1212,53.3278923,5.934301853,9.91,0,0,0,347.27,347.27,0.01,409,1,138,275,192,130,7.15,101235,24.96
UTC 221212 101307 5 9 ,1213,53.3278923,5.93430233,9.92,0,0,0,347.36,347.36,0.01,407,1,136,275,193,131,7.13,101228,24.96
UTC 221212 101308 5 9 ,1214,53.3278923,5.93430233,9.93,0,0,0,346.95,346.95,0.01,416,2,136,275,192,131,7.08,101228,24.96
