TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221212 105605 5 9 ,41,53.3278923,5.934297562,0,0,0,0,309.29,309.29,0.01,759,54,143,302,169,152,3.04,101350,16.64
UTC 221212 105606 5 9 ,42,53.3278923,5.934297562,0,0,0,0,309.28,309.28,0.01,759,54,142,302,169,151,3.09,101352,16.64
UTC 221212 105607 5 9 ,43,53.3278923,5.934297562,0,0,0,0,309.28,309.28,0.01,740,51,142,302,169,151,3.12,101353,16.64
UTC 221212 105608 5 9 ,44,53.3278923,5.934297562,0,0,0,0,309.29,309.29,0.01,740,51,141,302,169,151,3.12,101357,16.64
UTC 221212 105609 5 9 ,45,53.3278923,5.934297562,0,0,0,0,309.3,309.3,0.01,748,53,140,301,169,150,3.14,101350,16.64
UTC 221212 105610 5 9 ,46,53.3278923,5.934297562,0,0,0,0,309.27,309.27,0.01,740,51,140,301,169,150,3.17,101348,16.64
UTC 221212 105611 5 9 ,47,53.3278923,5.934297562,0,0,0,0,309.29,309.29,0.01,732,50,139,301,169,150,3.16,101346,16.64
UTC 221212 105612 5 9 ,48,53.3278923,5.934297562,0.02,0,0,0,308.33,308.33,0.01,748,53,137,301,168,150,3.17,101346,16.64
UTC 221212 105613 5 9 ,49,53.3278923,5.934297085,0.58,0,0,0,308.12,308.12,0.01,697,45,136,300,168,150,3.16,101341,16.64
UTC 221212 105614 5 9 ,50,53.3278923,5.934296608,1.05,0,0,0,308.02,308.02,0.01,688,43,135,300,168,149,3.14,101334,16.64
UTC 221212 105615 5 9 ,51,53.3278923,5.934296131,1.86,0,0,0,307.75,307.75,0.01,688,43,134,299,168,148,3.17,101324,16.64
UTC 221212 105616 5 9 ,52,53.3278923,5.934296131,4.81,0,0,0,308.04,308.04,0.01,678,42,132,300,167,149,3.16,101282,24.96
UTC 221212 105616 5 9 ,53,53.3278923,5.934295654,7.98,0,0,0,308.13,308.13,0.01,688,43,132,302,167,148,3.12,101240,24.96
