TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221222 103848 5 9 ,1,53.32782745,5.934483051,0.13,0,0,0,80.91,80.91,0.01,478,11,70,309,139,143,12.92,100414,91.83
UTC 221222 103849 5 9 ,2,53.32782745,5.93448019,0.77,0,0,0,80.75,80.75,0.01,481,12,70,308,139,143,12.88,100414,91.83
UTC 221222 103850 5 9 ,3,53.32782745,5.934479237,1.11,0,0,0,80.56,80.56,0.01,488,13,69,309,139,143,12.85,100414,91.83
UTC 221222 103851 5 9 ,4,53.32782745,5.934479237,2.6,0,0,0,80.26,80.26,0.01,475,11,69,308,138,142,12.83,100390,100.22
UTC 221222 103852 5 9 ,5,53.32782745,5.934481621,5.78,0,0,0,80.67,80.67,0.01,459,8,69,308,139,142,12.77,100356,100.22
UTC 221222 103853 5 9 ,6,53.32782745,5.934484005,8.91,0,0,0,80.97,80.97,0.01,456,8,67,308,138,140,12.67,100325,100.22
UTC 221222 103854 5 9 ,7,53.32783127,5.934485436,11.95,0,0,0,81.07,81.07,0.01,456,8,67,308,137,140,12.63,100290,108.61
UTC 221222 103855 5 9 ,8,53.32783127,5.934485912,14.98,0,0,0,80.96,80.96,0.01,461,9,66,308,137,139,12.57,100249,108.61
UTC 221222 103855 5 9 ,9,53.32783127,5.934485912,17.88,0,0,0,81.34,81.34,0.01,447,7,66,307,137,140,12.49,100215,108.61
UTC 221222 103857 5 9 ,10,53.32783127,5.934485912,18.83,0,0,0,77.46,77.46,0.01,452,7,64,307,137,140,12.49,100194,117.01
UTC 221222 103858 5 9 ,11,53.32783127,5.934484482,18.66,0,0,0,59.9,59.9,0.01,442,6,63,305,135,141,12.43,100178,117.01
UTC 221222 103858 5 9 ,12,53.32783127,5.934492111,18.55,0,0,0,59.6,59.6,0.01,418,2,63,308,136,140,12.28,100170,117.01
UTC 221222 103858 5 9 ,13,53.32784653,5.934529781,18.44,0,0,0,60.16,60.16,0.01,418,2,62,308,136,141,12.16,100192,117.01
UTC 221222 103901 5 9 ,14,53.32786179,5.93458128,18.36,0,0,0,60.61,60.61,0.01,417,2,61,307,136,140,12.16,100202,108.61
UTC 221222 103902 5 9 ,15,53.32788467,5.934645176,18.32,0,0,0,60.68,60.68,0.01,418,2,61,308,135,140,12.17,100201,108.61
UTC 221222 103903 5 9 ,16,53.32790756,5.934715748,18.3,0,0,0,60.63,60.63,0.01,438,5,61,307,135,140,12.19,100205,108.61
UTC 221222 103904 5 9 ,17,53.32793045,5.934784889,18.29,0,0,0,60.66,60.66,0.01,427,4,60,307,135,140,12.18,100209,108.61
UTC 221222 103905 5 9 ,18,53.32794952,5.934852123,18.29,0,0,0,60.55,60.55,0.01,427,4,60,307,134,140,12.17,100207,108.61
UTC 221222 103906 5 9 ,19,53.32797241,5.934918404,18.3,0,0,0,60.57,60.57,0.01,427,4,60,307,134,139,12.17,100203,108.61
UTC 221222 103907 5 9 ,20,53.3279953,5.934984207,18.31,0,0,0,60.55,60.55,0.01,425,3,59,307,134,139,12.19,100205,108.61
UTC 221222 103908 5 9 ,21,53.32801819,5.935050011,18.31,0,0,0,60.46,60.46,0.01,438,5,58,308,134,140,12.18,100204,108.61
UTC 221222 103909 5 9 ,22,53.32803726,5.935115337,18.3,0,0,0,60.46,60.46,0.01,427,4,59,308,133,139,12.16,100204,108.61
UTC 221222 103910 5 9 ,23,53.32806015,5.935180187,18.29,0,0,0,60.56,60.56,0.01,425,3,59,307,134,138,12.15,100209,108.61
UTC 221222 103911 5 9 ,24,53.32808304,5.935245514,18.29,0,0,0,60.6,60.6,0.01,427,4,58,308,133,139,12.14,100207,108.61
UTC 221222 103912 5 9 ,25,53.32810211,5.935312748,18.29,0,0,0,60.56,60.56,0.01,425,3,58,308,133,139,12.13,100208,108.61
UTC 221222 103913 5 9 ,26,53.328125,5.935376644,18.3,0,0,0,60.42,60.42,0.01,438,5,58,308,133,139,12.1,100207,108.61
UTC 221222 103914 5 9 ,27,53.32814789,5.935442448,18.3,0,0,0,60.37,60.37,0.01,438,5,57,308,133,139,12.07,100206,108.61
UTC 221222 103915 5 9 ,28,53.32816696,5.935507774,18.3,0,0,0,60.5,60.5,0.01,425,3,57,308,132,140,12.06,100208,108.61
UTC 221222 103916 5 9 ,29,53.32818985,5.935569286,18.29,0,0,0,60.7,60.7,0.01,425,3,57,308,132,138,12.04,100205,108.61
UTC 221222 103917 5 9 ,30,53.32819748,5.935595512,18.25,0,0,0,56.21,56.21,0.01,422,3,56,308,132,139,12.01,100201,108.61
UTC 221222 103918 5 9 ,31,53.32819748,5.935591221,18.28,0,0,0,327.94,327.94,0.01,417,2,57,308,132,139,11.96,100173,117.01
UTC 221222 103919 5 9 ,32,53.32819366,5.935585022,18.3,0,0,0,256,256,0.01,418,2,57,309,132,139,11.93,100176,117.01
UTC 221222 103920 5 9 ,33,53.32818985,5.935576916,18.29,0,0,0,255.23,255.23,0.01,400,0,57,309,132,139,11.64,100168,117.01
UTC 221222 103921 5 9 ,34,53.32818604,5.935553074,18.29,0,0,0,255.33,255.33,0.01,400,0,56,309,132,138,11.43,100162,117.01
UTC 221222 103922 5 9 ,35,53.32818222,5.935510635,18.3,0,0,0,255.54,255.54,0.01,400,0,56,308,131,138,11.29,100161,117.01
UTC 221222 103923 5 9 ,36,53.32817459,5.935454369,18.27,0,0,0,255.57,255.57,0.01,405,0,56,306,131,137,11.09,100149,117.01
UTC 221222 103924 5 9 ,37,53.32816315,5.935389042,18.23,0,0,0,255.32,255.32,0.01,414,2,56,308,131,138,10.89,100151,117.01
UTC 221222 103925 5 9 ,38,53.3281517,5.935315132,18.22,0,0,0,255.02,255.02,0.01,400,0,55,309,130,138,10.71,100147,117.01
UTC 221222 103926 5 9 ,39,53.32814026,5.935237885,18.2,0,0,0,255.05,255.05,0.01,400,0,54,308,131,137,10.54,100154,117.01
UTC 221222 103927 5 9 ,40,53.32812881,5.935163975,18.16,0,0,0,255.07,255.07,0.01,400,0,54,308,130,137,10.37,100151,117.01
UTC 221222 103928 5 9 ,41,53.32811737,5.935090542,18.13,0,0,0,255.2,255.2,0.01,400,0,53,308,130,137,10.24,100151,117.01
UTC 221222 103929 5 9 ,42,53.32810593,5.935017586,18.11,0,0,0,255.2,255.2,0.01,405,0,53,308,130,137,10.1,100155,117.01
UTC 221222 103930 5 9 ,43,53.32809448,5.93494463,18.11,0,0,0,255.32,255.32,0.01,402,0,52,308,129,136,9.98,100145,117.01
UTC 221222 103931 5 9 ,44,53.32808304,5.93487072,18.1,0,0,0,254.87,254.87,0.01,402,0,53,310,129,135,9.88,100155,117.01
UTC 221222 103932 5 9 ,45,53.32807541,5.93479681,18.07,0,0,0,254.86,254.86,0.01,400,0,53,310,130,137,9.77,100161,117.01
UTC 221222 103933 5 9 ,46,53.32806396,5.934723854,18.03,0,0,0,255.47,255.47,0.02,400,0,52,309,129,136,9.65,100149,117.01
UTC 221222 103934 5 9 ,47,53.32805252,5.934651375,18.01,0,0,0,255.67,255.67,0.02,405,0,52,309,129,137,9.57,100159,117.01
UTC 221222 103935 5 9 ,48,53.32804108,5.934578896,18.01,0,0,0,255.16,255.16,0.02,407,1,52,310,129,137,9.47,100160,117.01
UTC 221222 103936 5 9 ,49,53.32802963,5.934504032,17.99,0,0,0,254.85,254.85,0.02,401,0,52,310,128,137,9.4,100162,117.01
UTC 221222 103937 5 9 ,50,53.32801819,5.934431076,17.98,0,0,0,254.94,254.94,0.02,401,0,51,309,128,136,9.32,100155,117.01
UTC 221222 103938 5 9 ,51,53.32801056,5.934359074,17.95,0,0,0,255.32,255.32,0.02,401,0,51,309,128,136,9.23,100154,117.01
UTC 221222 103939 5 9 ,52,53.32799912,5.934288025,17.92,0,0,0,255.41,255.41,0.02,400,0,51,311,128,136,9.15,100151,117.01
UTC 221222 103940 5 9 ,53,53.32798767,5.934216499,17.88,0,0,0,255.85,255.85,0.02,408,1,52,310,128,136,9.08,100148,117.01
