TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221222 100344 5 9 ,1,53.32782364,5.934483051,0.07,0,0,0,79.59,79.59,0.01,406,0,149,300,267,146,11.63,100413,91.83
UTC 221222 100345 5 9 ,2,53.32782745,5.934480667,0.68,0,0,0,78.92,78.92,0.01,402,0,148,299,266,146,11.59,100410,91.83
UTC 221222 100346 5 9 ,3,53.32782745,5.934480667,2.67,0,0,0,79.61,79.61,0.01,406,0,149,300,266,146,11.59,100381,100.22
UTC 221222 100347 5 9 ,4,53.32782745,5.934481144,5.04,0,0,0,80.07,80.07,0.01,409,1,148,299,266,145,11.55,100356,100.22
UTC 221222 100347 5 9 ,5,53.32782745,5.934483051,6.67,0,0,0,79.96,79.96,0.01,403,0,147,300,266,145,11.53,100343,100.22
UTC 221222 100347 5 9 ,6,53.32782745,5.934484959,6.85,0,0,0,79.84,79.84,0.01,400,0,146,298,265,144,11.55,100337,100.22
UTC 221222 100350 5 9 ,7,53.32783127,5.934484959,6.82,0,0,0,80.1,80.1,0.01,400,0,146,299,264,145,11.55,100334,100.22
UTC 221222 100351 5 9 ,8,53.32783127,5.93448782,6.8,0,0,0,79.35,79.35,0.01,400,0,145,299,264,144,11.54,100332,100.22
UTC 221222 100352 5 9 ,9,53.32783127,5.93448925,6.79,0,0,0,59.93,59.93,0.01,407,1,143,297,263,144,11.49,100323,100.22
UTC 221222 100353 5 9 ,10,53.32783127,5.934489727,6.82,0,0,0,81.93,81.93,0.01,400,0,142,299,263,144,11.42,100333,100.22
UTC 221222 100354 5 9 ,11,53.32783127,5.934492111,6.84,0,0,0,81.71,81.71,0.01,400,0,141,298,263,144,11.45,100332,100.22
UTC 221222 100355 5 9 ,12,53.32783127,5.934492111,6.86,0,0,0,81.44,81.44,0.01,403,0,140,299,263,144,11.47,100334,100.22
UTC 221222 100356 5 9 ,13,53.32783127,5.934493065,6.86,0,0,0,81.59,81.59,0.01,403,0,140,299,262,143,11.48,100337,100.22
UTC 221222 100356 5 9 ,14,53.32783127,5.934493542,6.86,0,0,0,81.64,81.64,0.01,411,1,139,299,261,143,11.49,100333,100.22
UTC 221222 100358 5 9 ,15,53.32783127,5.934493542,6.84,0,0,0,81.51,81.51,0.01,403,0,138,299,260,143,11.5,100330,100.22
UTC 221222 100359 5 9 ,16,53.32783127,5.934493542,6.84,0,0,0,81.39,81.39,0.01,400,0,137,300,261,143,11.45,100332,100.22
UTC 221222 100400 5 9 ,17,53.32783127,5.934493065,6.82,0,0,0,81.53,81.53,0.01,403,0,137,300,260,143,11.45,100332,100.22
UTC 221222 100401 5 9 ,18,53.32783127,5.934493065,6.82,0,0,0,81.35,81.35,0.01,400,0,136,299,259,143,11.44,100333,100.22
UTC 221222 100402 5 9 ,19,53.32783127,5.934493065,6.81,0,0,0,81.78,81.78,0.01,406,0,136,299,259,142,11.44,100332,100.22
UTC 221222 100403 5 9 ,20,53.32783127,5.934493065,6.82,0,0,0,81.53,81.53,0.01,403,0,136,300,259,142,11.42,100330,100.22
UTC 221222 100404 5 9 ,21,53.32783127,5.934492588,6.81,0,0,0,81.01,81.01,0.01,405,0,135,300,258,143,11.41,100330,100.22
UTC 221222 100404 5 9 ,22,53.32783127,5.934493065,7.21,0,0,0,81.61,81.61,0.01,408,1,134,300,258,142,11.41,100326,100.22
UTC 221222 100404 5 9 ,23,53.32783127,5.934494019,8.55,0,0,0,81.63,81.63,0.01,411,1,134,299,258,142,11.37,100317,100.22
UTC 221222 100407 5 9 ,24,53.32783127,5.934494972,9.11,0,0,0,68.16,68.16,0.01,408,1,133,300,257,143,11.33,100304,100.22
UTC 221222 100408 5 9 ,25,53.32783127,5.934494972,9.04,0,0,0,340.76,340.76,0.01,410,1,133,300,257,142,11.23,100282,108.61
UTC 221222 100409 5 9 ,26,53.32783127,5.934495926,8.99,0,0,0,328.12,328.12,0.01,407,1,133,300,257,143,11.17,100282,108.61
UTC 221222 100410 5 9 ,27,53.32783508,5.934489727,8.97,0,0,0,328.62,328.62,0.01,407,1,132,301,257,143,11.16,100284,108.61
UTC 221222 100411 5 9 ,28,53.32785416,5.934470654,8.96,0,0,0,328.31,328.31,0.01,407,1,133,300,257,143,11.09,100282,108.61
UTC 221222 100412 5 9 ,29,53.32787704,5.934446335,8.96,0,0,0,328.54,328.54,0.01,407,1,133,300,256,143,10.97,100278,108.61
UTC 221222 100413 5 9 ,30,53.32790756,5.934418201,8.95,0,0,0,328.51,328.51,0.01,410,1,133,300,256,143,10.87,100279,108.61
UTC 221222 100414 5 9 ,31,53.32794189,5.934384346,8.96,0,0,0,328.42,328.42,0.01,401,0,132,300,255,143,10.75,100277,108.61
UTC 221222 100415 5 9 ,32,53.32798004,5.934346199,8.97,0,0,0,328.42,328.42,0.01,400,0,132,300,255,143,10.64,100278,108.61
UTC 221222 100416 5 9 ,33,53.328022,5.934306145,8.98,0,0,0,327.97,327.97,0.01,400,0,131,301,255,143,10.53,100275,108.61
UTC 221222 100417 5 9 ,34,53.32806015,5.934265614,8.97,0,0,0,328.53,328.53,0.01,400,0,131,301,255,143,10.4,100271,108.61
UTC 221222 100418 5 9 ,35,53.32810211,5.934227467,8.96,0,0,0,328.43,328.43,0.01,406,0,131,301,254,143,10.32,100274,108.61
UTC 221222 100419 5 9 ,36,53.32814026,5.934189796,8.97,0,0,0,328.59,328.59,0.01,403,0,130,300,254,143,10.23,100277,108.61
UTC 221222 100420 5 9 ,37,53.32817841,5.93415165,8.97,0,0,0,328.41,328.41,0.01,400,0,130,301,253,143,10.14,100274,108.61
UTC 221222 100421 5 9 ,38,53.32821655,5.93411541,8.98,0,0,0,327.44,327.44,0.01,400,0,130,300,253,143,10.05,100277,108.61
UTC 221222 100422 5 9 ,39,53.32823563,5.93409729,8.94,0,0,0,327.19,327.19,0.01,406,0,130,300,253,143,10.07,100283,108.61
UTC 221222 100423 5 9 ,40,53.32823181,5.934098244,8.93,0,0,0,257.23,257.23,0.01,413,1,130,300,253,143,10.09,100284,108.61
UTC 221222 100424 5 9 ,41,53.32822418,5.934105396,8.93,0,0,0,252.35,252.35,0.01,409,1,130,301,252,143,9.92,100279,108.61
UTC 221222 100424 5 9 ,42,53.32822037,5.93409729,8.92,0,0,0,252.78,252.78,0.01,400,0,129,300,252,143,9.74,100278,108.61
UTC 221222 100426 5 9 ,43,53.32821274,5.934062004,8.91,0,0,0,253.03,253.03,0.01,400,0,128,301,251,142,9.6,100270,108.61
UTC 221222 100426 5 9 ,44,53.32820129,5.934015274,8.88,0,0,0,253.01,253.01,0.01,400,0,127,300,251,142,9.44,100269,108.61
UTC 221222 100428 5 9 ,45,53.32819366,5.933959007,8.84,0,0,0,253.06,253.06,0.01,400,0,127,300,250,142,9.29,100267,108.61
UTC 221222 100429 5 9 ,46,53.32818222,5.933895588,8.81,0,0,0,252.94,252.94,0.01,411,1,126,301,251,142,9.16,100263,108.61
UTC 221222 100430 5 9 ,47,53.32817078,5.933825493,8.77,0,0,0,252.86,252.86,0.01,400,0,125,300,249,142,9.06,100263,108.61
UTC 221222 100431 5 9 ,48,53.32815552,5.933750629,8.74,0,0,0,252.92,252.92,0.01,400,0,125,300,250,141,8.93,100271,108.61
UTC 221222 100432 5 9 ,49,53.32814407,5.933675766,8.71,0,0,0,252.43,252.43,0.01,400,0,125,301,249,140,8.82,100276,108.61
UTC 221222 100433 5 9 ,50,53.32812881,5.93360281,8.66,0,0,0,252.51,252.51,0.01,401,0,124,302,249,141,8.72,100275,108.61
UTC 221222 100434 5 9 ,51,53.32811737,5.933529854,8.63,0,0,0,253.22,253.22,0.01,415,2,124,301,249,141,8.62,100283,108.61
UTC 221222 100435 5 9 ,52,53.32810593,5.933456421,8.58,0,0,0,253.77,253.77,0.01,400,0,124,300,248,141,8.55,100279,108.61
UTC 221222 100436 5 9 ,53,53.32809448,5.933382511,8.53,0,0,0,254.63,254.63,0.01,401,0,123,302,247,141,8.46,100280,108.61
UTC 221222 100437 5 9 ,54,53.32808304,5.933309555,8.48,0,0,0,254.73,254.73,0.01,400,0,123,302,247,140,8.38,100285,108.61
UTC 221222 100438 5 9 ,55,53.32807159,5.933237553,8.42,0,0,0,255.56,255.56,0.01,405,0,122,302,247,140,8.3,100284,108.61
UTC 221222 100439 5 9 ,56,53.32806015,5.93316412,8.37,0,0,0,255.91,255.91,0.01,408,1,122,302,246,140,8.22,100280,108.61
UTC 221222 100440 5 9 ,57,53.32805252,5.933092117,8.31,0,0,0,256.7,256.7,0.01,408,1,121,301,246,140,8.15,100274,108.61
UTC 221222 100441 5 9 ,58,53.32804108,5.933020115,8.25,0,0,0,256.65,256.65,0.01,400,0,121,301,245,141,8.1,100276,108.61
UTC 221222 100442 5 9 ,59,53.32803345,5.93296051,8.24,0,0,0,255.21,255.21,0.01,400,0,120,302,245,140,8.03,100292,108.61
UTC 221222 100443 5 9 ,60,53.328022,5.932918549,8.15,0,0,0,240.3,240.3,0.01,405,0,120,301,244,140,7.99,100294,108.61
