TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221222 111638 5 9 ,37,53.32822037,5.935650826,28.34,0,0,0,256.81,256.81,0.01,497,14,29,309,62,125,10.77,100061,125.42
UTC 221222 111638 5 9 ,38,53.32821655,5.935640812,28.33,0,0,0,256.26,256.26,0.01,492,14,28,308,63,125,10.65,100063,125.42
UTC 221222 111638 5 9 ,39,53.32821274,5.935611248,28.34,0,0,0,256.24,256.24,0.01,487,13,28,308,63,124,10.57,100055,125.42
UTC 221222 111641 5 9 ,40,53.32820892,5.935568333,28.32,0,0,0,256.36,256.36,0.01,485,12,28,309,63,124,10.45,100057,125.42
UTC 221222 111642 5 9 ,41,53.32820129,5.935514927,28.34,0,0,0,256.47,256.47,0.01,476,11,28,308,62,124,10.35,100051,125.42
UTC 221222 111642 5 9 ,42,53.32819366,5.9354496,28.34,0,0,0,256.65,256.65,0.01,460,9,28,309,63,124,10.23,100042,125.42
UTC 221222 111644 5 9 ,43,53.32818222,5.935378075,28.32,0,0,0,256.65,256.65,0.01,452,7,28,306,62,123,10.11,100040,125.42
UTC 221222 111644 5 9 ,44,53.32817459,5.935302258,28.37,0,0,0,256.74,256.74,0.01,441,6,28,309,62,122,9.99,100038,125.42
UTC 221222 111646 5 9 ,45,53.32816315,5.935226917,28.39,0,0,0,256.51,256.51,0.01,441,6,28,308,62,123,9.89,100050,125.42
UTC 221222 111647 5 9 ,46,53.32815552,5.935152531,28.38,0,0,0,256.55,256.55,0.01,448,7,28,306,62,122,9.81,100046,125.42
UTC 221222 111648 5 9 ,47,53.32814407,5.935076237,28.38,0,0,0,256.71,256.71,0.01,427,4,28,309,62,122,9.74,100036,125.42
UTC 221222 111649 5 9 ,48,53.32813263,5.935003281,28.39,0,0,0,256.72,256.72,0.01,423,3,28,310,62,123,9.64,100045,125.42
UTC 221222 111650 5 9 ,49,53.328125,5.934931755,28.41,0,0,0,256.66,256.66,0.01,417,2,27,310,62,123,9.57,100040,125.42
UTC 221222 111651 5 9 ,50,53.32811356,5.934857845,28.42,0,0,0,256.65,256.65,0.01,418,2,27,310,62,122,9.5,100045,125.42
UTC 221222 111652 5 9 ,51,53.32810593,5.934783459,28.42,0,0,0,256.85,256.85,0.01,423,3,28,309,62,122,9.43,100036,125.42
UTC 221222 111652 5 9 ,52,53.32809448,5.934710503,28.43,0,0,0,256.92,256.92,0.01,408,1,28,310,61,121,9.36,100033,125.42
UTC 221222 111654 5 9 ,53,53.32808685,5.934637547,28.41,0,0,0,256.95,256.95,0.01,406,0,28,310,62,122,9.31,100035,125.42
UTC 221222 111655 5 9 ,54,53.32807541,5.934566021,28.43,0,0,0,257.17,257.17,0.01,401,0,28,309,62,121,9.25,100037,125.42
UTC 221222 111656 5 9 ,55,53.32806778,5.934489727,28.45,0,0,0,256.43,256.43,0.01,401,0,27,309,61,122,9.2,100043,125.42
UTC 221222 111657 5 9 ,56,53.32805634,5.934415817,28.49,0,0,0,256.4,256.4,0.01,414,2,27,310,62,122,9.16,100047,125.42
UTC 221222 111658 5 9 ,57,53.32804489,5.934342384,28.49,0,0,0,256.4,256.4,0.01,408,1,27,310,61,122,9.11,100037,125.42
UTC 221222 111659 5 9 ,58,53.32803726,5.934268951,28.48,0,0,0,256.45,256.45,0.01,401,0,27,311,62,121,9.06,100041,125.42
UTC 221222 111700 5 9 ,59,53.32802582,5.934197426,28.49,0,0,0,256.58,256.58,0.01,401,0,27,311,61,121,9.03,100042,125.42
UTC 221222 111701 5 9 ,60,53.32801437,5.934122086,28.51,0,0,0,256.48,256.48,0.01,401,0,27,309,61,121,8.97,100046,125.42
UTC 221222 111702 5 9 ,61,53.32800674,5.934048653,28.47,0,0,0,256.66,256.66,0.01,406,0,27,312,61,121,8.94,100054,125.42
UTC 221222 111703 5 9 ,62,53.3279953,5.93397665,28.46,0,0,0,257.06,257.06,0.01,410,1,27,311,61,121,8.9,100043,125.42
UTC 221222 111704 5 9 ,63,53.32798767,5.933903694,28.48,0,0,0,256.7,256.7,0.01,401,0,28,310,60,120,8.87,100044,125.42
UTC 221222 111705 5 9 ,64,53.32797623,5.933830261,28.49,0,0,0,256.59,256.59,0.01,410,1,27,310,61,121,8.84,100045,125.42
UTC 221222 111706 5 9 ,65,53.3279686,5.933756828,28.52,0,0,0,256.56,256.56,0.01,400,0,27,312,61,119,8.8,100030,125.42
UTC 221222 111707 5 9 ,66,53.32795715,5.933685303,28.52,0,0,0,256.87,256.87,0.01,464,9,27,312,61,121,8.77,100043,125.42
UTC 221222 111708 5 9 ,67,53.32794952,5.933609486,28.54,0,0,0,256.43,256.43,0.01,454,8,26,311,61,122,8.74,100049,125.42
UTC 221222 111709 5 9 ,68,53.32793808,5.933535576,28.55,0,0,0,256.33,256.33,0,459,8,27,312,60,122,8.71,100048,125.42
UTC 221222 111710 5 9 ,69,53.32793045,5.93346262,28.53,0,0,0,256.82,256.82,0,470,10,27,311,61,121,8.69,100041,125.42
UTC 221222 111711 5 9 ,70,53.32791901,5.933387756,28.56,0,0,0,256.47,256.47,0,464,9,27,313,61,122,8.68,100047,125.42
UTC 221222 111712 5 9 ,71,53.32791138,5.933313847,28.56,0,0,0,256.61,256.61,0,459,8,27,313,61,122,8.67,100045,125.42
UTC 221222 111713 5 9 ,72,53.32789993,5.933240891,28.6,0,0,0,256.56,256.56,0,476,11,27,310,60,121,8.65,100036,125.42
